cercocebus_atys ENSCATG00000042986
theropithecus_gelada ENSTGEG00000003134
macaca_mulatta ENSMMUG00000017058
piliocolobus_tephrosceles ENSPTEG00000039591
papio_anubis ENSPANG00000022875
rhinopithecus_bieti ENSRBIG00000011288
macaca_nemestrina ENSMNEG00000035524
homo_sapiens ENSG00000164853
pan_troglodytes ENSPTRG00000046961
nomascus_leucogenys ENSNLEG00000008468
cebus_capucinus ENSCCAG00000017911
callithrix_jacchus ENSCJAG00000039117
propithecus_coquereli ENSPCOG00000024270
prolemur_simus ENSPSMG00000021140
microcebus_murinus ENSMICG00000026882
otolemur_garnettii ENSOGAG00000029082
heterocephalus_glaber_female ENSHGLG00000013399
octodon_degus ENSODEG00000011386
urocitellus_parryii ENSUPAG00010021511
cricetulus_griseus_chok1gshd ENSCGRG00001001364
cricetulus_griseus_crigri-picr ENSCGRG00015012432
mesocricetus_auratus ENSMAUG00000022201
microtus_ochrogaster ENSMOCG00000003910
peromyscus_maniculatus_bairdii ENSPEMG00000023875
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028940
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027936
mus_musculus ENSMUSG00000029546
mus_pahari MGP_PahariEiJ_G0024508
rattus_norvegicus ENSRNOG00000001284
meriones_unguiculatus ENSMUGG00000011944
nannospalax_galili ENSNGAG00000010557
castor_canadensis ENSCCNG00000002875
capra_hircus ENSCHIG00000009156
tursiops_truncatus ENSTTRG00000011507
sus_scrofa ENSSSCG00000007555
equus_caballus ENSECAG00000033656
equus_asinus_asinus ENSEASG00005020419
felis_catus ENSFCAG00000041563
panthera_pardus ENSPPRG00000013410
canis_lupus_dingo ENSCAFG00020020561
canis_lupus_familiaris ENSCAFG00000011794
pteropus_vampyrus ENSPVAG00000002725
procavia_capensis ENSPCAG00000011228
jaculus_jaculus ENSJJAG00000013064
cavia_porcellus ENSCPOG00000023875
pongo_abelii ENSPPYG00000029706
gorilla_gorilla ENSGGOG00000002642
chlorocebus_sabaeus ENSCSAG00000017559
neovison_vison ENSNVIG00000003617
mustela_putorius_furo ENSMPUG00000017899
monodelphis_domestica ENSMODG00000008820
echinops_telfairi ENSETEG00000007768
ovis_aries ENSOARG00000006268
gallus_gallus ENSGALG00000051930
numida_meleagris ENSNMEG00000008976
coturnix_japonica ENSCJPG00005014135
anser_brachyrhynchus ENSABRG00000006453
anas_platyrhynchos_platyrhynchos ENSAPLG00000022255
calidris_pygmaea ENSCPGG00000016362
parus_major ENSPMJG00000017276
gopherus_agassizii ENSGAGG00000002474
chelonoidis_abingdonii ENSCABG00000007896
salvator_merianae ENSSMRG00000020300
dromaius_novaehollandiae ENSDNVG00000009942
apteryx_rowi ENSARWG00000017737
nothoprocta_perdicaria ENSNPEG00000001599
lepidothrix_coronata ENSLCOG00000001647
ficedula_albicollis ENSFALG00000013932
melopsittacus_undulatus ENSMUNG00000005324
gallus_gallus ENSGALG00000039292
calidris_pugnax ENSCPUG00000004841
zonotrichia_albicollis ENSZALG00000004485
junco_hyemalis ENSJHYG00000007662
lonchura_striata_domestica ENSLSDG00000002169
apteryx_owenii ENSAOWG00000017629
chrysemys_picta_bellii ENSCPBG00000020597
sphenodon_punctatus ENSSPUG00000001626
pogona_vitticeps ENSPVIG00000014163
aotus_nancymaae ENSANAG00000024132
marmota_marmota_marmota ENSMMMG00000009501
chinchilla_lanigera ENSCLAG00000005753
mus_spicilegus ENSMSIG00000029993
macaca_fascicularis ENSMFAG00000035569
ursus_americanus ENSUAMG00000004212
scleropages_formosus ENSSFOG00015006814
paramormyrops_kingsleyae ENSPKIG00000000519
takifugu_rubripes ENSTRUG00000015845
tetraodon_nigroviridis ENSTNIG00000008239
mola_mola ENSMMOG00000011279
hippocampus_comes ENSHCOG00000003079
amphiprion_percula ENSAPEG00000009771
amphiprion_ocellaris ENSAOCG00000016357
pundamilia_nyererei ENSPNYG00000007885
neolamprologus_brichardi ENSNBRG00000007637
amphilophus_citrinellus ENSACIG00000012841
poecilia_latipinna ENSPLAG00000000254
fundulus_heteroclitus ENSFHEG00000020006
cyprinodon_variegatus ENSCVAG00000006198
xiphophorus_maculatus ENSXMAG00000025256
xiphophorus_couchianus ENSXCOG00000015942
gambusia_affinis ENSGAFG00000011219
poecilia_mexicana ENSPMEG00000018099
poecilia_formosa ENSPFOG00000013598
kryptolebias_marmoratus ENSKMAG00000010087
oryzias_latipes ENSORLG00020009290
oryzias_latipes_asm223469v1 ENSORLG00015008583
oryzias_latipes ENSORLG00000025780
oryzias_melastigma ENSOMEG00000018064
astatotilapia_calliptera ENSACLG00000006094
maylandia_zebra ENSMZEG00005013940
haplochromis_burtoni ENSHBUG00000006707
oreochromis_niloticus ENSONIG00000003846
stegastes_partitus ENSSPAG00000000520
acanthochromis_polyacanthus ENSAPOG00000002143
labrus_bergylta ENSLBEG00000010466
monopterus_albus ENSMALG00000000644
mastacembelus_armatus ENSMAMG00000006206
scophthalmus_maximus ENSSMAG00000021248
seriola_dumerili ENSSDUG00000013842
seriola_lalandi_dorsalis ENSSLDG00000006910
cynoglossus_semilaevis ENSCSEG00000020875
anabas_testudineus ENSATEG00000004053
esox_lucius ENSELUG00000013488
pygocentrus_nattereri ENSPNAG00000007828
astyanax_mexicanus ENSAMXG00000041431
danio_rerio ENSDARG00000037760
monopterus_albus ENSMALG00000021136
mastacembelus_armatus ENSMAMG00000002191
anabas_testudineus ENSATEG00000003850
seriola_dumerili ENSSDUG00000018575
seriola_lalandi_dorsalis ENSSLDG00000009939
astatotilapia_calliptera ENSACLG00000005200
maylandia_zebra ENSMZEG00005022512
haplochromis_burtoni ENSHBUG00000003066
pundamilia_nyererei ENSPNYG00000008924
neolamprologus_brichardi ENSNBRG00000015795
oreochromis_niloticus ENSONIG00000001352
amphilophus_citrinellus ENSACIG00000005307
amphiprion_percula ENSAPEG00000016145
amphiprion_ocellaris ENSAOCG00000007634
acanthochromis_polyacanthus ENSAPOG00000001507
labrus_bergylta ENSLBEG00000023500
gasterosteus_aculeatus ENSGACG00000014079
mola_mola ENSMMOG00000020393
periophthalmus_magnuspinnatus ENSPMGG00000006806
stegastes_partitus ENSSPAG00000010312
fundulus_heteroclitus ENSFHEG00000014900
cyprinodon_variegatus ENSCVAG00000003123
poecilia_formosa ENSPFOG00000012255
poecilia_mexicana ENSPMEG00000023648
poecilia_latipinna ENSPLAG00000010753
poecilia_reticulata ENSPREG00000008377
xiphophorus_maculatus ENSXMAG00000029018
xiphophorus_couchianus ENSXCOG00000016579
gambusia_affinis ENSGAFG00000018048
kryptolebias_marmoratus ENSKMAG00000019024
oryzias_latipes ENSORLG00020005893
oryzias_latipes ENSORLG00000004749
oryzias_latipes_asm223469v1 ENSORLG00015019156
oryzias_melastigma ENSOMEG00000024002
scophthalmus_maximus ENSSMAG00000005540
cynoglossus_semilaevis ENSCSEG00000021217
hippocampus_comes ENSHCOG00000006736
takifugu_rubripes ENSTRUG00000013503
tetraodon_nigroviridis ENSTNIG00000018604
gadus_morhua ENSGMOG00000004901
esox_lucius ENSELUG00000020472
pygocentrus_nattereri ENSPNAG00000011063
astyanax_mexicanus ENSAMXG00000039907
ictalurus_punctatus ENSIPUG00000018883
danio_rerio ENSDARG00000102976
scleropages_formosus ENSSFOG00015014422
paramormyrops_kingsleyae ENSPKIG00000023244
ictalurus_punctatus ENSIPUG00000001186
lepisosteus_oculatus ENSLOCG00000001224
latimeria_chalumnae ENSLACG00000009869
xenopus_tropicalis ENSXETG00000004021
notamacropus_eugenii ENSMEUG00000016020
phascolarctos_cinereus ENSPCIG00000026308
sarcophilus_harrisii ENSSHAG00000001025
taeniopygia_guttata ENSTGUG00000008332
bos_taurus ENSBTAG00000030721
bison_bison_bison ENSBBBG00000000310
dipodomys_ordii ENSDORG00000026329
pelodiscus_sinensis ENSPSIG00000005438
