pundamilia_nyererei ENSPNYG00000009868
oryzias_melastigma ENSOMEG00000013336
periophthalmus_magnuspinnatus ENSPMGG00000021861
gambusia_affinis ENSGAFG00000021372
oryzias_melastigma ENSOMEG00000004034
maylandia_zebra ENSMZEG00005025389
maylandia_zebra ENSMZEG00005025384
stegastes_partitus ENSSPAG00000022957
seriola_lalandi ENSSLDG00000019071
apteryx_haastii ENSAHAG00000005844
apteryx_rowi ENSARWG00000001310
apteryx_owenii ENSAOWG00000012735
lonchura_striata ENSLSDG00000003455
lepidothrix_coronata ENSLCOG00000005668
ficedula_albicollis ENSFALG00000006080
chelonoidis_abingdonii ENSCABG00000002829
panthera_pardus ENSPPRG00000005863
panthera_tigris ENSPTIG00000011000
felis_catus ENSFCAG00000045637
ursus_maritimus ENSUMAG00000021518
equus_caballus ENSECAG00000030578
equus_asinus ENSEASG00005005115
cricetulus_griseus ENSCGRG00000002414
mesocricetus_auratus ENSMAUG00000015135
ornithorhynchus_anatinus ENSOANG00000013716
ciona_savignyi ENSCSAVG00000005977
