cyanistes_caeruleus ENSCCEG00000017044
ficedula_albicollis ENSFALG00000002798
taeniopygia_guttata ENSTGUG00000012502
lepidothrix_coronata ENSLCOG00000016015
meleagris_gallopavo ENSMGAG00000013713
coturnix_japonica ENSCJPG00005004293
calidris_pugnax ENSCPUG00000009929
calidris_pygmaea ENSCPGG00000003800
serinus_canaria ENSSCAG00000003471
junco_hyemalis ENSJHYG00000015408
parus_major ENSPMJG00000002981
manacus_vitellinus ENSMVIG00005003968
numida_meleagris ENSNMEG00000011527
nothoprocta_perdicaria ENSNPEG00000013806
crocodylus_porosus ENSCPRG00005016646
pelodiscus_sinensis ENSPSIG00000013220
anolis_carolinensis ENSACAG00000003806
monodelphis_domestica ENSMODG00000028864
monodelphis_domestica ENSMODG00000027549
phascolarctos_cinereus ENSPCIG00000011842
sarcophilus_harrisii ENSSHAG00000013724
ornithorhynchus_anatinus ENSOANG00000000555
latimeria_chalumnae ENSLACG00000016713
paramormyrops_kingsleyae ENSPKIG00000023952
scleropages_formosus ENSSFOG00015016905
pygocentrus_nattereri ENSPNAG00000025802
astyanax_mexicanus ENSAMXG00000004435
ictalurus_punctatus ENSIPUG00000009990
danio_rerio ENSDARG00000086679
fundulus_heteroclitus ENSFHEG00000005590
cyprinodon_variegatus ENSCVAG00000012566
xiphophorus_maculatus ENSXMAG00000024806
xiphophorus_couchianus ENSXCOG00000008346
gambusia_affinis ENSGAFG00000009106
poecilia_formosa ENSPFOG00000001252
poecilia_latipinna ENSPLAG00000017397
poecilia_mexicana ENSPMEG00000012912
poecilia_reticulata ENSPREG00000017221
kryptolebias_marmoratus ENSKMAG00000002338
oryzias_latipes_asm223469v1 ENSORLG00015014700
oryzias_latipes ENSORLG00020001199
oryzias_latipes ENSORLG00000010406
oryzias_melastigma ENSOMEG00000020676
amphiprion_percula ENSAPEG00000016627
amphiprion_ocellaris ENSAOCG00000000624
acanthochromis_polyacanthus ENSAPOG00000022864
stegastes_partitus ENSSPAG00000009918
pundamilia_nyererei ENSPNYG00000022551
maylandia_zebra ENSMZEG00005010314
astatotilapia_calliptera ENSACLG00000025333
haplochromis_burtoni ENSHBUG00000000734
neolamprologus_brichardi ENSNBRG00000019290
oreochromis_niloticus ENSONIG00000001053
amphilophus_citrinellus ENSACIG00000005743
scophthalmus_maximus ENSSMAG00000004690
cynoglossus_semilaevis ENSCSEG00000002529
seriola_lalandi_dorsalis ENSSLDG00000003062
seriola_dumerili ENSSDUG00000007591
mastacembelus_armatus ENSMAMG00000010429
monopterus_albus ENSMALG00000018964
anabas_testudineus ENSATEG00000017898
mola_mola ENSMMOG00000001767
takifugu_rubripes ENSTRUG00000025715
labrus_bergylta ENSLBEG00000006882
periophthalmus_magnuspinnatus ENSPMGG00000012752
hippocampus_comes ENSHCOG00000000107
gadus_morhua ENSGMOG00000003547
esox_lucius ENSELUG00000007959
lepisosteus_oculatus ENSLOCG00000016257
