maylandia_zebra ENSMZEG00005015191
astatotilapia_calliptera ENSACLG00000003948
haplochromis_burtoni ENSHBUG00000016652
neolamprologus_brichardi ENSNBRG00000018171
pundamilia_nyererei ENSPNYG00000015296
oreochromis_niloticus ENSONIG00000011837
amphilophus_citrinellus ENSACIG00000006220
amphilophus_citrinellus ENSACIG00000006232
amphilophus_citrinellus ENSACIG00000006241
fundulus_heteroclitus ENSFHEG00000001271
anabas_testudineus ENSATEG00000004469
takifugu_rubripes ENSTRUG00000021139
tetraodon_nigroviridis ENSTNIG00000001715
mola_mola ENSMMOG00000010266
hippocampus_comes ENSHCOG00000010218
hippocampus_comes ENSHCOG00000010875
cynoglossus_semilaevis ENSCSEG00000018244
labrus_bergylta ENSLBEG00000000960
gasterosteus_aculeatus ENSGACG00000019173
mastacembelus_armatus ENSMAMG00000000504
monopterus_albus ENSMALG00000010552
seriola_dumerili ENSSDUG00000014987
seriola_lalandi_dorsalis ENSSLDG00000014441
scophthalmus_maximus ENSSMAG00000012356
xiphophorus_maculatus ENSXMAG00000022072
xiphophorus_couchianus ENSXCOG00000008230
gambusia_affinis ENSGAFG00000004135
poecilia_mexicana ENSPMEG00000021127
poecilia_latipinna ENSPLAG00000014946
poecilia_reticulata ENSPREG00000017695
poecilia_reticulata ENSPREG00000015622
poecilia_latipinna ENSPLAG00000004429
poecilia_mexicana ENSPMEG00000014831
xiphophorus_maculatus ENSXMAG00000024638
fundulus_heteroclitus ENSFHEG00000007491
cyprinodon_variegatus ENSCVAG00000002485
oryzias_melastigma ENSOMEG00000012008
amphiprion_percula ENSAPEG00000022821
amphiprion_ocellaris ENSAOCG00000014843
acanthochromis_polyacanthus ENSAPOG00000007057
stegastes_partitus ENSSPAG00000002322
