poecilia_mexicana ENSPMEG00000022159
poecilia_latipinna ENSPLAG00000005835
xiphophorus_maculatus ENSXMAG00000016571
poecilia_formosa ENSPFOG00000008457
gambusia_affinis ENSGAFG00000003703
kryptolebias_marmoratus ENSKMAG00000010571
seriola_dumerili ENSSDUG00000019583
cynoglossus_semilaevis ENSCSEG00000017875
anabas_testudineus ENSATEG00000019835
betta_splendens ENSBSLG00000015172
mastacembelus_armatus ENSMAMG00000024170
oreochromis_niloticus ENSONIG00000016976
pundamilia_nyererei ENSPNYG00000018055
neolamprologus_brichardi ENSNBRG00000012619
stegastes_partitus ENSSPAG00000000137
stegastes_partitus ENSSPAG00000022423
acanthochromis_polyacanthus ENSAPOG00000015286
amphiprion_ocellaris ENSAOCG00000023138
amphiprion_percula ENSAPEG00000018199
poecilia_reticulata ENSPREG00000005345
xiphophorus_couchianus ENSXCOG00000012957
cyprinodon_variegatus ENSCVAG00000023019
fundulus_heteroclitus ENSFHEG00000008729
oryzias_latipes ENSORLG00020015702
oryzias_latipes ENSORLG00015009758
mola_mola ENSMMOG00000011728
labrus_bergylta ENSLBEG00000008947
seriola_lalandi ENSSLDG00000007999
monopterus_albus ENSMALG00000022447
oryzias_melastigma ENSOMEG00000005055
hippocampus_comes ENSHCOG00000020487
astyanax_mexicanus ENSAMXG00000039389
astyanax_mexicanus ENSAMXG00005006695
pygocentrus_nattereri ENSPNAG00000002330
electrophorus_electricus ENSEEEG00000007173
ictalurus_punctatus ENSIPUG00000024877
danio_rerio ENSDARG00000070951
scleropages_formosus ENSSFOG00015022540
ictalurus_punctatus ENSIPUG00000015643
denticeps_clupeoides ENSDCDG00000021021
paramormyrops_kingsleyae ENSPKIG00000001356
astyanax_mexicanus ENSAMXG00000035516
astyanax_mexicanus ENSAMXG00005013110
pygocentrus_nattereri ENSPNAG00000024330
electrophorus_electricus ENSEEEG00000013597
danio_rerio ENSDARG00000028335
lepisosteus_oculatus ENSLOCG00000009932
erpetoichthys_calabaricus ENSECRG00000003125
