chrysemys_picta_bellii ENSCPBG00000008906
chelonoidis_abingdonii ENSCABG00000019187
crocodylus_porosus ENSCPRG00005015329
salvator_merianae ENSSMRG00000007544
anolis_carolinensis ENSACAG00000007850
sphenodon_punctatus ENSSPUG00000010237
chinchilla_lanigera ENSCLAG00000016357
octodon_degus ENSODEG00000018046
cavia_aperea ENSCAPG00000013393
cavia_porcellus ENSCPOG00000034697
heterocephalus_glaber_female ENSHGLG00000013391
heterocephalus_glaber_male ENSHGLG00100018355
sorex_araneus ENSSARG00000008642
echinops_telfairi ENSETEG00000005676
myotis_lucifugus ENSMLUG00000012150
pteropus_vampyrus ENSPVAG00000016153
erinaceus_europaeus ENSEEUG00000011056
tursiops_truncatus ENSTTRG00000006197
vicugna_pacos ENSVPAG00000002747
capra_hircus ENSCHIG00000024601
ovis_aries ENSOARG00000009037
bos_taurus ENSBTAG00000016736
bison_bison_bison ENSBBBG00000019205
sus_scrofa ENSSSCG00000017347
equus_caballus ENSECAG00000023226
equus_asinus_asinus ENSEASG00005010315
bos_mutus ENSBMUG00000009339
neovison_vison ENSNVIG00000022744
mustela_putorius_furo ENSMPUG00000009155
ursus_americanus ENSUAMG00000001052
ursus_maritimus ENSUMAG00000014319
ailuropoda_melanoleuca ENSAMEG00000018389
canis_lupus_familiaris ENSCAFG00000014086
canis_lupus_dingo ENSCAFG00020009669
vulpes_vulpes ENSVVUG00000018101
panthera_tigris_altaica ENSPTIG00000007136
panthera_pardus ENSPPRG00000011151
felis_catus ENSFCAG00000005465
castor_canadensis ENSCCNG00000022108
dipodomys_ordii ENSDORG00000011564
cricetulus_griseus_crigri ENSCGRG00000003713
cricetulus_griseus_chok1gshd ENSCGRG00001000778
cricetulus_griseus_crigri-picr ENSCGRG00015026235
mesocricetus_auratus ENSMAUG00000020566
peromyscus_maniculatus_bairdii ENSPEMG00000024663
mus_musculus ENSMUSG00000020928
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018105
mus_spicilegus ENSMSIG00000027857
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017262
mus_pahari MGP_PahariEiJ_G0018392
rattus_norvegicus ENSRNOG00000002814
meriones_unguiculatus ENSMUGG00000006105
nannospalax_galili ENSNGAG00000016293
microtus_ochrogaster ENSMOCG00000015008
jaculus_jaculus ENSJJAG00000018346
marmota_marmota_marmota ENSMMMG00000002903
ictidomys_tridecemlineatus ENSSTOG00000012186
urocitellus_parryii ENSUPAG00010001713
spermophilus_dauricus ENSSDAG00000014043
oryctolagus_cuniculus ENSOCUG00000006870
ochotona_princeps ENSOPRG00000016311
pan_troglodytes ENSPTRG00000009286
pan_paniscus ENSPPAG00000037224
homo_sapiens ENSG00000131097
gorilla_gorilla ENSGGOG00000012991
pongo_abelii ENSPPYG00000008322
nomascus_leucogenys ENSNLEG00000005226
rhinopithecus_bieti ENSRBIG00000043428
rhinopithecus_roxellana ENSRROG00000044316
piliocolobus_tephrosceles ENSPTEG00000024740
colobus_angolensis_palliatus ENSCANG00000032429
mandrillus_leucophaeus ENSMLEG00000035387
cercocebus_atys ENSCATG00000029339
macaca_fascicularis ENSMFAG00000045678
macaca_nemestrina ENSMNEG00000034105
theropithecus_gelada ENSTGEG00000015900
papio_anubis ENSPANG00000021282
chlorocebus_sabaeus ENSCSAG00000003609
saimiri_boliviensis_boliviensis ENSSBOG00000033731
cebus_capucinus ENSCCAG00000030511
callithrix_jacchus ENSCJAG00000039133
aotus_nancymaae ENSANAG00000022480
carlito_syrichta ENSTSYG00000013168
carlito_syrichta ENSTSYG00000029123
prolemur_simus ENSPSMG00000014497
propithecus_coquereli ENSPCOG00000016676
microcebus_murinus ENSMICG00000016587
otolemur_garnettii ENSOGAG00000012913
dasypus_novemcinctus ENSDNOG00000040820
loxodonta_africana ENSLAFG00000015338
procavia_capensis ENSPCAG00000000777
notamacropus_eugenii ENSMEUG00000015607
phascolarctos_cinereus ENSPCIG00000015024
sarcophilus_harrisii ENSSHAG00000008111
monodelphis_domestica ENSMODG00000011357
xenopus_tropicalis ENSXETG00000003392
