sorex_araneus ENSSARG00000002956
erinaceus_europaeus ENSEEUG00000006617
prolemur_simus ENSPSMG00000023616
equus_caballus ENSECAG00000010626
equus_asinus_asinus ENSEASG00005017589
bison_bison_bison ENSBBBG00000007130
ursus_maritimus ENSUMAG00000006324
ursus_americanus ENSUAMG00000011249
ailuropoda_melanoleuca ENSAMEG00000004335
mustela_putorius_furo ENSMPUG00000000057
neovison_vison ENSNVIG00000015100
canis_lupus_familiaris ENSCAFG00000018151
canis_lupus_dingo ENSCAFG00020021314
vulpes_vulpes ENSVVUG00000030033
panthera_pardus ENSPPRG00000022431
pteropus_vampyrus ENSPVAG00000007745
capra_hircus ENSCHIG00000019959
ovis_aries ENSOARG00000018005
bos_taurus ENSBTAG00000038548
bos_mutus ENSBMUG00000014739
tursiops_truncatus ENSTTRG00000007698
sus_scrofa ENSSSCG00000018042
myotis_lucifugus ENSMLUG00000001801
loxodonta_africana ENSLAFG00000028504
ochotona_princeps ENSOPRG00000017164
oryctolagus_cuniculus ENSOCUG00000011911
tupaia_belangeri ENSTBEG00000015814
pan_paniscus ENSPPAG00000043309
pan_troglodytes ENSPTRG00000008873
gorilla_gorilla ENSGGOG00000007670
homo_sapiens ENSG00000180638
pongo_abelii ENSPPYG00000008839
nomascus_leucogenys ENSNLEG00000010596
cercocebus_atys ENSCATG00000040057
mandrillus_leucophaeus ENSMLEG00000022890
theropithecus_gelada ENSTGEG00000001680
papio_anubis ENSPANG00000023618
chlorocebus_sabaeus ENSCSAG00000007842
macaca_fascicularis ENSMFAG00000038845
macaca_mulatta ENSMMUG00000014134
macaca_nemestrina ENSMNEG00000040271
colobus_angolensis_palliatus ENSCANG00000039491
piliocolobus_tephrosceles ENSPTEG00000017178
rhinopithecus_roxellana ENSRROG00000025539
rhinopithecus_bieti ENSRBIG00000027945
saimiri_boliviensis_boliviensis ENSSBOG00000023086
callithrix_jacchus ENSCJAG00000011748
cebus_capucinus ENSCCAG00000037971
aotus_nancymaae ENSANAG00000030903
dasypus_novemcinctus ENSDNOG00000025154
echinops_telfairi ENSETEG00000000416
phascolarctos_cinereus ENSPCIG00000037411
monodelphis_domestica ENSMODG00000010978
sarcophilus_harrisii ENSSHAG00000006401
ornithorhynchus_anatinus ENSOANG00000012711
chelonoidis_abingdonii ENSCABG00000022424
gopherus_agassizii ENSGAGG00000008045
chrysemys_picta_bellii ENSCPBG00000015803
chrysemys_picta_bellii ENSCPBG00000015805
pelodiscus_sinensis ENSPSIG00000014969
crocodylus_porosus ENSCPRG00005012649
salvator_merianae ENSSMRG00000002147
pogona_vitticeps ENSPVIG00000010572
sphenodon_punctatus ENSSPUG00000008589
calidris_pugnax ENSCPUG00000019808
calidris_pygmaea ENSCPGG00000007794
melopsittacus_undulatus ENSMUNG00000002285
anas_platyrhynchos_platyrhynchos ENSAPLG00000018341
gallus_gallus ENSGALG00000004778
meleagris_gallopavo ENSMGAG00000006906
coturnix_japonica ENSCJPG00005016487
numida_meleagris ENSNMEG00000003107
anas_platyrhynchos_platyrhynchos ENSAPLG00000020164
anser_brachyrhynchus ENSABRG00000011412
calidris_pygmaea ENSCPGG00000007781
calidris_pugnax ENSCPUG00000019807
serinus_canaria ENSSCAG00000010523
lonchura_striata_domestica ENSLSDG00000009171
parus_major ENSPMJG00000019796
cyanistes_caeruleus ENSCCEG00000013924
ficedula_albicollis ENSFALG00000005864
zonotrichia_albicollis ENSZALG00000015105
junco_hyemalis ENSJHYG00000002927
lepidothrix_coronata ENSLCOG00000009324
manacus_vitellinus ENSMVIG00005014093
apteryx_owenii ENSAOWG00000016950
apteryx_owenii ENSAOWG00000016953
apteryx_rowi ENSARWG00000015518
apteryx_haastii ENSAHAG00000005613
dromaius_novaehollandiae ENSDNVG00000002949
nothoprocta_perdicaria ENSNPEG00000010844
anolis_carolinensis ENSACAG00000001193
ursus_americanus ENSUAMG00000011250
