cyanistes_caeruleus ENSCCEG00000022495
parus_major ENSPMJG00000017393
lonchura_striata_domestica ENSLSDG00000006910
taeniopygia_guttata ENSTGUG00000007726
zonotrichia_albicollis ENSZALG00000007546
junco_hyemalis ENSJHYG00000006289
serinus_canaria ENSSCAG00000009114
ficedula_albicollis ENSFALG00000013836
lepidothrix_coronata ENSLCOG00000000506
manacus_vitellinus ENSMVIG00005000421
calidris_pygmaea ENSCPGG00000006421
calidris_pugnax ENSCPUG00000002963
meleagris_gallopavo ENSMGAG00000003819
coturnix_japonica ENSCJPG00005000255
numida_meleagris ENSNMEG00000009143
apteryx_owenii ENSAOWG00000016748
apteryx_haastii ENSAHAG00000009194
apteryx_rowi ENSARWG00000017602
dromaius_novaehollandiae ENSDNVG00000010876
nothoprocta_perdicaria ENSNPEG00000000438
crocodylus_porosus ENSCPRG00005016281
gopherus_agassizii ENSGAGG00000008996
chelonoidis_abingdonii ENSCABG00000005794
chrysemys_picta_bellii ENSCPBG00000020769
pelodiscus_sinensis ENSPSIG00000010464
pogona_vitticeps ENSPVIG00000007592
anolis_carolinensis ENSACAG00000010276
salvator_merianae ENSSMRG00000020268
sphenodon_punctatus ENSSPUG00000002669
scleropages_formosus ENSSFOG00015003759
paramormyrops_kingsleyae ENSPKIG00000010889
paramormyrops_kingsleyae ENSPKIG00000018421
scleropages_formosus ENSSFOG00015006189
astatotilapia_calliptera ENSACLG00000002411
maylandia_zebra ENSMZEG00005012327
pundamilia_nyererei ENSPNYG00000020553
neolamprologus_brichardi ENSNBRG00000009524
stegastes_partitus ENSSPAG00000018978
gasterosteus_aculeatus ENSGACG00000016661
amphiprion_ocellaris ENSAOCG00000015562
amphiprion_percula ENSAPEG00000022945
acanthochromis_polyacanthus ENSAPOG00000004091
seriola_dumerili ENSSDUG00000016202
seriola_lalandi_dorsalis ENSSLDG00000022535
mastacembelus_armatus ENSMAMG00000008225
mola_mola ENSMMOG00000003590
anabas_testudineus ENSATEG00000007894
fundulus_heteroclitus ENSFHEG00000012996
cyprinodon_variegatus ENSCVAG00000022574
xiphophorus_maculatus ENSXMAG00000003490
xiphophorus_couchianus ENSXCOG00000005647
poecilia_latipinna ENSPLAG00000018532
poecilia_formosa ENSPFOG00000007577
poecilia_mexicana ENSPMEG00000021536
poecilia_reticulata ENSPREG00000000048
gambusia_affinis ENSGAFG00000012884
kryptolebias_marmoratus ENSKMAG00000008075
oryzias_latipes ENSORLG00020011748
oryzias_latipes_asm223469v1 ENSORLG00015011097
oryzias_latipes ENSORLG00000025252
oryzias_melastigma ENSOMEG00000021473
amphilophus_citrinellus ENSACIG00000017651
takifugu_rubripes ENSTRUG00000012397
takifugu_rubripes ENSTRUG00000002201
cynoglossus_semilaevis ENSCSEG00000002229
scophthalmus_maximus ENSSMAG00000000119
labrus_bergylta ENSLBEG00000006373
monopterus_albus ENSMALG00000018024
periophthalmus_magnuspinnatus ENSPMGG00000021096
hippocampus_comes ENSHCOG00000010257
gadus_morhua ENSGMOG00000007769
esox_lucius ENSELUG00000010692
pygocentrus_nattereri ENSPNAG00000009305
astyanax_mexicanus ENSAMXG00000016038
ictalurus_punctatus ENSIPUG00000005684
danio_rerio ENSDARG00000108505
danio_rerio ENSDARG00000089090
pygocentrus_nattereri ENSPNAG00000022319
astyanax_mexicanus ENSAMXG00000030134
fundulus_heteroclitus ENSFHEG00000010533
cyprinodon_variegatus ENSCVAG00000003594
gambusia_affinis ENSGAFG00000010395
xiphophorus_maculatus ENSXMAG00000028136
poecilia_formosa ENSPFOG00000004107
poecilia_mexicana ENSPMEG00000011900
poecilia_latipinna ENSPLAG00000007502
poecilia_reticulata ENSPREG00000018489
kryptolebias_marmoratus ENSKMAG00000016187
oryzias_latipes ENSORLG00000027433
oryzias_latipes_asm223469v1 ENSORLG00015020004
oryzias_latipes ENSORLG00020009023
oryzias_melastigma ENSOMEG00000004957
labrus_bergylta ENSLBEG00000010108
gasterosteus_aculeatus ENSGACG00000007947
takifugu_rubripes ENSTRUG00000004208
tetraodon_nigroviridis ENSTNIG00000003992
mola_mola ENSMMOG00000001779
anabas_testudineus ENSATEG00000006514
cynoglossus_semilaevis ENSCSEG00000006170
amphiprion_percula ENSAPEG00000010952
amphiprion_ocellaris ENSAOCG00000022620
acanthochromis_polyacanthus ENSAPOG00000004480
stegastes_partitus ENSSPAG00000008221
maylandia_zebra ENSMZEG00005007185
astatotilapia_calliptera ENSACLG00000010994
pundamilia_nyererei ENSPNYG00000018238
haplochromis_burtoni ENSHBUG00000014183
oreochromis_niloticus ENSONIG00000008524
amphilophus_citrinellus ENSACIG00000008496
mastacembelus_armatus ENSMAMG00000005812
monopterus_albus ENSMALG00000007388
seriola_dumerili ENSSDUG00000018411
seriola_lalandi_dorsalis ENSSLDG00000019987
scophthalmus_maximus ENSSMAG00000006771
hippocampus_comes ENSHCOG00000007105
periophthalmus_magnuspinnatus ENSPMGG00000011964
gadus_morhua ENSGMOG00000016138
esox_lucius ENSELUG00000012408
lepisosteus_oculatus ENSLOCG00000004492
gallus_gallus ENSGALG00000004530
anser_brachyrhynchus ENSABRG00000002148
melopsittacus_undulatus ENSMUNG00000004400
ornithorhynchus_anatinus ENSOANG00000020170
danio_rerio ENSDARG00000087446
ictalurus_punctatus ENSIPUG00000017843
amphiprion_percula ENSAPEG00000022910
haplochromis_burtoni ENSHBUG00000018723
phascolarctos_cinereus ENSPCIG00000017376
notamacropus_eugenii ENSMEUG00000005593
monodelphis_domestica ENSMODG00000000933
castor_canadensis ENSCCNG00000002581
dipodomys_ordii ENSDORG00000011018
peromyscus_maniculatus_bairdii ENSPEMG00000029470
microtus_ochrogaster ENSMOCG00000014153
cricetulus_griseus_crigri-picr ENSCGRG00015013648
cricetulus_griseus_crigri ENSCGRG00000006619
cricetulus_griseus_chok1gshd ENSCGRG00001024751
mesocricetus_auratus ENSMAUG00000020302
mus_spicilegus ENSMSIG00000029643
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028967
mus_musculus ENSMUSG00000039533
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027963
mus_pahari MGP_PahariEiJ_G0024535
rattus_norvegicus ENSRNOG00000001113
meriones_unguiculatus ENSMUGG00000003668
nannospalax_galili ENSNGAG00000001256
jaculus_jaculus ENSJJAG00000013135
heterocephalus_glaber_male ENSHGLG00100006687
heterocephalus_glaber_female ENSHGLG00000006470
fukomys_damarensis ENSFDAG00000018670
chinchilla_lanigera ENSCLAG00000004912
octodon_degus ENSODEG00000011588
cavia_porcellus ENSCPOG00000034159
cavia_aperea ENSCAPG00000013011
cavia_porcellus ENSCPOG00000039734
ictidomys_tridecemlineatus ENSSTOG00000023967
urocitellus_parryii ENSUPAG00010011575
marmota_marmota_marmota ENSMMMG00000007303
spermophilus_dauricus ENSSDAG00000017818
ochotona_princeps ENSOPRG00000005222
tursiops_truncatus ENSTTRG00000011911
sus_scrofa ENSSSCG00000007578
ursus_maritimus ENSUMAG00000007636
ailuropoda_melanoleuca ENSAMEG00000006506
neovison_vison ENSNVIG00000005381
mustela_putorius_furo ENSMPUG00000016644
canis_lupus_dingo ENSCAFG00020017313
panthera_tigris_altaica ENSPTIG00000008440
panthera_pardus ENSPPRG00000014336
felis_catus ENSFCAG00000045566
pteropus_vampyrus ENSPVAG00000016061
erinaceus_europaeus ENSEEUG00000008097
bos_mutus ENSBMUG00000020771
bos_taurus ENSBTAG00000021913
capra_hircus ENSCHIG00000024011
myotis_lucifugus ENSMLUG00000010336
equus_caballus ENSECAG00000015536
equus_asinus_asinus ENSEASG00005021534
carlito_syrichta ENSTSYG00000013325
dasypus_novemcinctus ENSDNOG00000019436
echinops_telfairi ENSETEG00000007716
propithecus_coquereli ENSPCOG00000012905
microcebus_murinus ENSMICG00000008159
prolemur_simus ENSPSMG00000014169
otolemur_garnettii ENSOGAG00000011163
callithrix_jacchus ENSCJAG00000046225
cebus_capucinus ENSCCAG00000031853
aotus_nancymaae ENSANAG00000025553
pan_paniscus ENSPPAG00000042041
pan_troglodytes ENSPTRG00000018878
gorilla_gorilla ENSGGOG00000012091
homo_sapiens ENSG00000136297
pongo_abelii ENSPPYG00000029476
nomascus_leucogenys ENSNLEG00000015480
macaca_mulatta ENSMMUG00000011672
macaca_fascicularis ENSMFAG00000045932
papio_anubis ENSPANG00000015670
rhinopithecus_roxellana ENSRROG00000034610
colobus_angolensis_palliatus ENSCANG00000028609
rhinopithecus_bieti ENSRBIG00000034471
piliocolobus_tephrosceles ENSPTEG00000021876
chlorocebus_sabaeus ENSCSAG00000017648
cercocebus_atys ENSCATG00000028036
theropithecus_gelada ENSTGEG00000002331
mandrillus_leucophaeus ENSMLEG00000035083
saimiri_boliviensis_boliviensis ENSSBOG00000034941
macaca_nemestrina ENSMNEG00000028953
tupaia_belangeri ENSTBEG00000010372
loxodonta_africana ENSLAFG00000006633
procavia_capensis ENSPCAG00000000843
ornithorhynchus_anatinus ENSOANG00000021476
petromyzon_marinus ENSPMAG00000005544
eptatretus_burgeri ENSEBUG00000009190
eptatretus_burgeri ENSEBUG00000005660
