choloepus_hoffmanni ENSCHOG00000001934
dasypus_novemcinctus ENSDNOG00000045541
loxodonta_africana ENSLAFG00000008823
procavia_capensis ENSPCAG00000002418
echinops_telfairi ENSETEG00000002105
pan_troglodytes ENSPTRG00000014213
pan_paniscus ENSPPAG00000030170
homo_sapiens ENSG00000100249
gorilla_gorilla ENSGGOG00000026866
pongo_abelii ENSPPYG00000011680
nomascus_leucogenys ENSNLEG00000002576
papio_anubis ENSPANG00000000468
theropithecus_gelada ENSTGEG00000026158
chlorocebus_sabaeus ENSCSAG00000009908
macaca_mulatta ENSMMUG00000021369
macaca_fascicularis ENSMFAG00000042862
macaca_nemestrina ENSMNEG00000036704
cercocebus_atys ENSCATG00000037307
mandrillus_leucophaeus ENSMLEG00000029207
rhinopithecus_roxellana ENSRROG00000029162
rhinopithecus_bieti ENSRBIG00000040702
piliocolobus_tephrosceles ENSPTEG00000023524
colobus_angolensis_palliatus ENSCANG00000007078
cebus_capucinus ENSCCAG00000037887
saimiri_boliviensis_boliviensis ENSSBOG00000029516
callithrix_jacchus ENSCJAG00000020058
aotus_nancymaae ENSANAG00000032628
carlito_syrichta ENSTSYG00000007738
propithecus_coquereli ENSPCOG00000020182
microcebus_murinus ENSMICG00000045788
prolemur_simus ENSPSMG00000013983
otolemur_garnettii ENSOGAG00000008977
tupaia_belangeri ENSTBEG00000006356
oryctolagus_cuniculus ENSOCUG00000009696
ochotona_princeps ENSOPRG00000014019
urocitellus_parryii ENSUPAG00010002854
spermophilus_dauricus ENSSDAG00000024922
marmota_marmota_marmota ENSMMMG00000017634
ursus_americanus ENSUAMG00000012615
ursus_maritimus ENSUMAG00000015959
ailuropoda_melanoleuca ENSAMEG00000008434
neovison_vison ENSNVIG00000003948
mustela_putorius_furo ENSMPUG00000013516
canis_lupus_familiaris ENSCAFG00000011982
canis_lupus_dingo ENSCAFG00020000289
vulpes_vulpes ENSVVUG00000025795
panthera_pardus ENSPPRG00000018496
panthera_tigris_altaica ENSPTIG00000014856
felis_catus ENSFCAG00000012685
pteropus_vampyrus ENSPVAG00000009810
sorex_araneus ENSSARG00000000871
erinaceus_europaeus ENSEEUG00000002812
myotis_lucifugus ENSMLUG00000012013
capra_hircus ENSCHIG00000012543
ovis_aries ENSOARG00000003136
bos_mutus ENSBMUG00000025106
bos_taurus ENSBTAG00000012892
bison_bison_bison ENSBBBG00000010593
tursiops_truncatus ENSTTRG00000011861
sus_scrofa ENSSSCG00000025404
equus_asinus_asinus ENSEASG00005010044
equus_caballus ENSECAG00000011607
phascolarctos_cinereus ENSPCIG00000006208
notamacropus_eugenii ENSMEUG00000004329
sarcophilus_harrisii ENSSHAG00000003195
monodelphis_domestica ENSMODG00000008597
