anas_platyrhynchos ENSAPLG00000017680
anser_brachyrhynchus ENSABRG00000011532
gallus_gallus ENSGALG00000002792
coturnix_japonica ENSCJPG00005017897
meleagris_gallopavo ENSMGAG00000002725
numida_meleagris ENSNMEG00000003964
calidris_pugnax ENSCPUG00000017632
calidris_pygmaea ENSCPGG00000018060
melopsittacus_undulatus ENSMUNG00000013073
lepidothrix_coronata ENSLCOG00000015689
manacus_vitellinus ENSMVIG00005018735
parus_major ENSPMJG00000012520
junco_hyemalis ENSJHYG00000016724
lonchura_striata ENSLSDG00000007231
serinus_canaria ENSSCAG00000015977
taeniopygia_guttata ENSTGUG00000001781
zonotrichia_albicollis ENSZALG00000009881
ficedula_albicollis ENSFALG00000003770
apteryx_owenii ENSAOWG00000005027
apteryx_haastii ENSAHAG00000017989
apteryx_rowi ENSARWG00000000578
dromaius_novaehollandiae ENSDNVG00000014260
nothoprocta_perdicaria ENSNPEG00000004381
crocodylus_porosus ENSCPRG00005014151
gopherus_agassizii ENSGAGG00000003084
chelonoidis_abingdonii ENSCABG00000006333
chrysemys_picta ENSCPBG00000027138
pelodiscus_sinensis ENSPSIG00000004860
anolis_carolinensis ENSACAG00000015770
pogona_vitticeps ENSPVIG00000010117
notechis_scutatus ENSNSUG00000011915
salvator_merianae ENSSMRG00000000860
sphenodon_punctatus ENSSPUG00000002521
equus_asinus ENSEASG00005020995
equus_caballus ENSECAG00000021717
panthera_pardus ENSPPRG00000009413
panthera_tigris ENSPTIG00000001491
felis_catus ENSFCAG00000015357
vicugna_pacos ENSVPAG00000011404
sorex_araneus ENSSARG00000011301
heterocephalus_glaber ENSHGLG00100013868
heterocephalus_glaber ENSHGLG00000016872
fukomys_damarensis ENSFDAG00000002491
cavia_porcellus ENSCPOG00000020697
cavia_aperea ENSCAPG00000013550
octodon_degus ENSODEG00000017318
chinchilla_lanigera ENSCLAG00000008792
urocitellus_parryii ENSUPAG00010014371
ictidomys_tridecemlineatus ENSSTOG00000028807
castor_canadensis ENSCCNG00000025965
dipodomys_ordii ENSDORG00000016134
cricetulus_griseus ENSCGRG00015014121
cricetulus_griseus ENSCGRG00000005399
cricetulus_griseus ENSCGRG00001013540
mesocricetus_auratus ENSMAUG00000007348
microtus_ochrogaster ENSMOCG00000015432
peromyscus_maniculatus ENSPEMG00000018293
mus_spretus MGP_SPRETEiJ_G0022219
mus_musculus ENSMUSG00000024215
mus_spicilegus ENSMSIG00000006129
mus_caroli MGP_CAROLIEiJ_G0021306
mus_pahari MGP_PahariEiJ_G0023624
rattus_norvegicus ENSRNOG00000000491
meriones_unguiculatus ENSMUGG00000018951
nannospalax_galili ENSNGAG00000021086
jaculus_jaculus ENSJJAG00000019742
carlito_syrichta ENSTSYG00000011393
loxodonta_africana ENSLAFG00000002253
procavia_capensis ENSPCAG00000000551
myotis_lucifugus ENSMLUG00000025914
pteropus_vampyrus ENSPVAG00000015594
erinaceus_europaeus ENSEEUG00000010400
bos_taurus ENSBTAG00000021993
bos_indicus ENSBIXG00005012540
bos_mutus ENSBMUG00000002535
bison_bison ENSBBBG00000013970
capra_hircus ENSCHIG00000017087
ovis_aries ENSOARG00000010751
tursiops_truncatus ENSTTRG00000007816
ursus_americanus ENSUAMG00000019946
ailuropoda_melanoleuca ENSAMEG00000000981
mustela_putorius ENSMPUG00000003167
neovison_vison ENSNVIG00000012148
canis_lupus ENSCAFG00020006289
canis_lupus ENSCAFG00000001227
vulpes_vulpes ENSVVUG00000026127
microcebus_murinus ENSMICG00000013437
propithecus_coquereli ENSPCOG00000027590
prolemur_simus ENSPSMG00000008512
otolemur_garnettii ENSOGAG00000011260
cebus_capucinus ENSCCAG00000032174
callithrix_jacchus ENSCJAG00000015294
saimiri_boliviensis ENSSBOG00000026084
aotus_nancymaae ENSANAG00000028395
pan_paniscus ENSPPAG00000042558
pan_troglodytes ENSPTRG00000018065
homo_sapiens ENSG00000124664
gorilla_gorilla ENSGGOG00000000383
pongo_abelii ENSPPYG00000016518
nomascus_leucogenys ENSNLEG00000008374
rhinopithecus_roxellana ENSRROG00000030067
rhinopithecus_bieti ENSRBIG00000002665
piliocolobus_tephrosceles ENSPTEG00000029891
colobus_angolensis ENSCANG00000027955
macaca_mulatta ENSMMUG00000056340
macaca_nemestrina ENSMNEG00000044984
macaca_fascicularis ENSMFAG00000043637
mandrillus_leucophaeus ENSMLEG00000043720
cercocebus_atys ENSCATG00000018528
chlorocebus_sabaeus ENSCSAG00000009798
papio_anubis ENSPANG00000016482
theropithecus_gelada ENSTGEG00000029496
ochotona_princeps ENSOPRG00000009328
echinops_telfairi ENSETEG00000005883
tupaia_belangeri ENSTBEG00000015013
oryctolagus_cuniculus ENSOCUG00000024862
sus_scrofa ENSSSCG00000036573
dasypus_novemcinctus ENSDNOG00000047693
vombatus_ursinus ENSVURG00010016586
phascolarctos_cinereus ENSPCIG00000006374
notamacropus_eugenii ENSMEUG00000016755
sarcophilus_harrisii ENSSHAG00000004899
monodelphis_domestica ENSMODG00000013916
ornithorhynchus_anatinus ENSOANG00000008044
xenopus_tropicalis ENSXETG00000018879
clupea_harengus ENSCHAG00000006771
denticeps_clupeoides ENSDCDG00000021037
astyanax_mexicanus ENSAMXG00000040721
astyanax_mexicanus ENSAMXG00005006687
pygocentrus_nattereri ENSPNAG00000006574
electrophorus_electricus ENSEEEG00000009896
ictalurus_punctatus ENSIPUG00000017654
hucho_hucho ENSHHUG00000028931
hucho_hucho ENSHHUG00000025441
esox_lucius ENSELUG00000019175
hippocampus_comes ENSHCOG00000020452
periophthalmus_magnuspinnatus ENSPMGG00000003589
gasterosteus_aculeatus ENSGACG00000003298
parambassis_ranga ENSPRNG00000023290
cynoglossus_semilaevis ENSCSEG00000017844
scophthalmus_maximus ENSSMAG00000005268
betta_splendens ENSBSLG00000014928
seriola_dumerili ENSSDUG00000019525
seriola_lalandi ENSSLDG00000008101
lates_calcarifer ENSLCAG00010010811
amphiprion_ocellaris ENSAOCG00000023268
amphiprion_percula ENSAPEG00000018147
acanthochromis_polyacanthus ENSAPOG00000015237
