mus_musculus ENSMUSG00000029875
mus_spretus MGP_SPRETEiJ_G0021119
mus_spicilegus ENSMSIG00000000285
mus_caroli MGP_CAROLIEiJ_G0020223
mus_pahari MGP_PahariEiJ_G0020226
rattus_norvegicus ENSRNOG00000021945
meriones_unguiculatus ENSMUGG00000000678
cricetulus_griseus ENSCGRG00000019569
cricetulus_griseus ENSCGRG00015005172
cricetulus_griseus ENSCGRG00001009478
mesocricetus_auratus ENSMAUG00000010780
microtus_ochrogaster ENSMOCG00000003788
peromyscus_maniculatus ENSPEMG00000014959
castor_canadensis ENSCCNG00000012311
spermophilus_dauricus ENSSDAG00000015670
urocitellus_parryii ENSUPAG00010002458
ictidomys_tridecemlineatus ENSSTOG00000001957
marmota_marmota ENSMMMG00000022863
dipodomys_ordii ENSDORG00000000096
nannospalax_galili ENSNGAG00000007436
jaculus_jaculus ENSJJAG00000014181
heterocephalus_glaber ENSHGLG00000021111
heterocephalus_glaber ENSHGLG00100020984
fukomys_damarensis ENSFDAG00000013262
chinchilla_lanigera ENSCLAG00000017612
octodon_degus ENSODEG00000019270
cavia_porcellus ENSCPOG00000008369
tupaia_belangeri ENSTBEG00000005958
prolemur_simus ENSPSMG00000006359
otolemur_garnettii ENSOGAG00000030121
gorilla_gorilla ENSGGOG00000026078
homo_sapiens ENSG00000177875
pan_paniscus ENSPPAG00000001304
pan_troglodytes ENSPTRG00000029702
pongo_abelii ENSPPYG00000004455
nomascus_leucogenys ENSNLEG00000019275
rhinopithecus_roxellana ENSRROG00000000771
rhinopithecus_bieti ENSRBIG00000020435
piliocolobus_tephrosceles ENSPTEG00000012027
colobus_angolensis ENSCANG00000014959
macaca_fascicularis ENSMFAG00000030879
macaca_nemestrina ENSMNEG00000000953
macaca_mulatta ENSMMUG00000052412
papio_anubis ENSPANG00000014422
mandrillus_leucophaeus ENSMLEG00000004337
theropithecus_gelada ENSTGEG00000024929
chlorocebus_sabaeus ENSCSAG00000019250
saimiri_boliviensis ENSSBOG00000016554
callithrix_jacchus ENSCJAG00000048154
cebus_capucinus ENSCCAG00000017226
aotus_nancymaae ENSANAG00000014439
erinaceus_europaeus ENSEEUG00000006190
sorex_araneus ENSSARG00000011635
myotis_lucifugus ENSMLUG00000017738
ailuropoda_melanoleuca ENSAMEG00000020148
ursus_americanus ENSUAMG00000000230
canis_lupus ENSCAFG00020013264
canis_lupus ENSCAFG00000009024
vulpes_vulpes ENSVVUG00000019524
mustela_putorius ENSMPUG00000018945
neovison_vison ENSNVIG00000004152
ursus_maritimus ENSUMAG00000006363
panthera_tigris ENSPTIG00000000266
panthera_pardus ENSPPRG00000021325
felis_catus ENSFCAG00000024252
pteropus_vampyrus ENSPVAG00000004229
sus_scrofa ENSSSCG00000039340
tursiops_truncatus ENSTTRG00000015506
bos_indicus ENSBIXG00005021363
bos_indicus ENSBIXG00000021666
bos_mutus ENSBMUG00000002197
bos_taurus ENSBTAG00000002390
bison_bison ENSBBBG00000014636
ovis_aries ENSOARG00000017714
equus_caballus ENSECAG00000036797
equus_asinus ENSEASG00005023521
oryctolagus_cuniculus ENSOCUG00000031603
procavia_capensis ENSPCAG00000003510
echinops_telfairi ENSETEG00000010387
dasypus_novemcinctus ENSDNOG00000007955
phascolarctos_cinereus ENSPCIG00000016483
notamacropus_eugenii ENSMEUG00000005820
monodelphis_domestica ENSMODG00000047381
