acanthochromis_polyacanthus ENSAPOG00000013513
amphiprion_percula ENSAPEG00000014292
stegastes_partitus ENSSPAG00000010922
oryzias_latipes_asm223469v1 ENSORLG00015003886
pundamilia_nyererei ENSPNYG00000014551
maylandia_zebra ENSMZEG00005018882
neolamprologus_brichardi ENSNBRG00000020673
mastacembelus_armatus ENSMAMG00000012216
anabas_testudineus ENSATEG00000022157
labrus_bergylta ENSLBEG00000015012
cynoglossus_semilaevis ENSCSEG00000019429
periophthalmus_magnuspinnatus ENSPMGG00000014671
danio_rerio ENSDARG00000093150
scleropages_formosus ENSSFOG00015004340
