zonotrichia_albicollis ENSZALG00000012917
junco_hyemalis ENSJHYG00000017997
cyanistes_caeruleus ENSCCEG00000015514
calidris_pugnax ENSCPUG00000013610
meleagris_gallopavo ENSMGAG00000007277
anolis_carolinensis ENSACAG00000014063
pelodiscus_sinensis ENSPSIG00000008530
prolemur_simus ENSPSMG00000016277
otolemur_garnettii ENSOGAG00000009418
gorilla_gorilla ENSGGOG00000004587
colobus_angolensis ENSCANG00000039863
cebus_capucinus ENSCCAG00000037861
spermophilus_dauricus ENSSDAG00000016225
panthera_pardus ENSPPRG00000006067
dasypus_novemcinctus ENSDNOG00000040758
cricetulus_griseus ENSCGRG00000000812
sorex_araneus ENSSARG00000014324
loxodonta_africana ENSLAFG00000021590
echinops_telfairi ENSETEG00000006778
procavia_capensis ENSPCAG00000005498
macaca_nemestrina ENSMNEG00000031949
ornithorhynchus_anatinus ENSOANG00000013304
tetraodon_nigroviridis ENSTNIG00000019400
