oryzias_melastigma ENSOMEG00000005842
periophthalmus_magnuspinnatus ENSPMGG00000009945
pogona_vitticeps ENSPVIG00000024560
salvator_merianae ENSSMRG00000022251
anas_platyrhynchos_platyrhynchos ENSAPLG00000022985
anser_brachyrhynchus ENSABRG00000021619
numida_meleagris ENSNMEG00000023091
coturnix_japonica ENSCJPG00005020588
cyanistes_caeruleus ENSCCEG00000009107
parus_major ENSPMJG00000009583
lonchura_striata_domestica ENSLSDG00000008113
serinus_canaria ENSSCAG00000008002
junco_hyemalis ENSJHYG00000012801
zonotrichia_albicollis ENSZALG00000005689
melopsittacus_undulatus ENSMUNG00000006387
dromaius_novaehollandiae ENSDNVG00000003938
crocodylus_porosus ENSCPRG00005017604
gopherus_agassizii ENSGAGG00000019150
chelonoidis_abingdonii ENSCABG00000020905
mus_spicilegus ENSMSIG00000000214
