canis_lupus_familiaris ENSCAFG00000014199
canis_lupus_dingo ENSCAFG00020013956
vulpes_vulpes ENSVVUG00000023456
neovison_vison ENSNVIG00000001204
mustela_putorius_furo ENSMPUG00000015698
ursus_americanus ENSUAMG00000028219
ursus_maritimus ENSUMAG00000010773
ailuropoda_melanoleuca ENSAMEG00000014875
panthera_pardus ENSPPRG00000011173
panthera_tigris_altaica ENSPTIG00000012732
felis_catus ENSFCAG00000006844
capra_hircus ENSCHIG00000012056
bos_taurus ENSBTAG00000026246
ovis_aries ENSOARG00000016544
tursiops_truncatus ENSTTRG00000008904
sus_scrofa ENSSSCG00000023255
pteropus_vampyrus ENSPVAG00000012011
myotis_lucifugus ENSMLUG00000010017
equus_asinus_asinus ENSEASG00005017021
erinaceus_europaeus ENSEEUG00000012457
echinops_telfairi ENSETEG00000010557
loxodonta_africana ENSLAFG00000016990
procavia_capensis ENSPCAG00000010638
dasypus_novemcinctus ENSDNOG00000046202
mus_spicilegus ENSMSIG00000008208
mus_spicilegus ENSMSIG00000003585
mus_musculus ENSMUSG00000037221
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028886
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027881
rattus_norvegicus ENSRNOG00000001396
meriones_unguiculatus ENSMUGG00000015029
peromyscus_maniculatus_bairdii ENSPEMG00000000348
microtus_ochrogaster ENSMOCG00000002893
cricetulus_griseus_crigri ENSCGRG00000011739
cricetulus_griseus_chok1gshd ENSCGRG00001015885
cricetulus_griseus_crigri-picr ENSCGRG00015010478
mesocricetus_auratus ENSMAUG00000003865
jaculus_jaculus ENSJJAG00000001049
ictidomys_tridecemlineatus ENSSTOG00000013615
urocitellus_parryii ENSUPAG00010017720
marmota_marmota_marmota ENSMMMG00000012218
spermophilus_dauricus ENSSDAG00000021930
cavia_aperea ENSCAPG00000004012
cavia_porcellus ENSCPOG00000006113
chinchilla_lanigera ENSCLAG00000001074
octodon_degus ENSODEG00000019770
octodon_degus ENSODEG00000000135
heterocephalus_glaber_male ENSHGLG00100008705
heterocephalus_glaber_female ENSHGLG00000012604
fukomys_damarensis ENSFDAG00000015638
dipodomys_ordii ENSDORG00000014386
ochotona_princeps ENSOPRG00000015075
carlito_syrichta ENSTSYG00000036744
tupaia_belangeri ENSTBEG00000000748
propithecus_coquereli ENSPCOG00000027444
microcebus_murinus ENSMICG00000009344
prolemur_simus ENSPSMG00000004597
otolemur_garnettii ENSOGAG00000029348
pan_troglodytes ENSPTRG00000019498
pan_paniscus ENSPPAG00000043356
pan_troglodytes ENSPTRG00000046456
homo_sapiens ENSG00000106330
gorilla_gorilla ENSGGOG00000010749
pongo_abelii ENSPPYG00000017421
rhinopithecus_roxellana ENSRROG00000041508
rhinopithecus_bieti ENSRBIG00000028825
colobus_angolensis_palliatus ENSCANG00000033658
macaca_nemestrina ENSMNEG00000027355
macaca_fascicularis ENSMFAG00000044802
macaca_mulatta ENSMMUG00000002949
mandrillus_leucophaeus ENSMLEG00000041217
papio_anubis ENSPANG00000031105
chlorocebus_sabaeus ENSCSAG00000017925
cercocebus_atys ENSCATG00000019847
theropithecus_gelada ENSTGEG00000009895
cebus_capucinus ENSCCAG00000034234
saimiri_boliviensis_boliviensis ENSSBOG00000025292
callithrix_jacchus ENSCJAG00000041075
aotus_nancymaae ENSANAG00000027443
oryctolagus_cuniculus ENSOCUG00000005694
oryctolagus_cuniculus ENSOCUG00000011845
piliocolobus_tephrosceles ENSPTEG00000024170
castor_canadensis ENSCCNG00000016498
tupaia_belangeri ENSTBEG00000014982
equus_caballus ENSECAG00000023837
bos_mutus ENSBMUG00000001342
