pygocentrus_nattereri ENSPNAG00000017301
astyanax_mexicanus ENSAMXG00000015433
ictalurus_punctatus ENSIPUG00000001280
danio_rerio ENSDARG00000005518
esox_lucius ENSELUG00000001089
scleropages_formosus ENSSFOG00015015681
paramormyrops_kingsleyae ENSPKIG00000006772
lepisosteus_oculatus ENSLOCG00000009664
takifugu_rubripes ENSTRUG00000010971
takifugu_rubripes ENSTRUG00000010932
tetraodon_nigroviridis ENSTNIG00000005145
tetraodon_nigroviridis ENSTNIG00000005144
mola_mola ENSMMOG00000009047
cynoglossus_semilaevis ENSCSEG00000000483
periophthalmus_magnuspinnatus ENSPMGG00000023626
labrus_bergylta ENSLBEG00000010966
gasterosteus_aculeatus ENSGACG00000002137
seriola_lalandi_dorsalis ENSSLDG00000019441
seriola_dumerili ENSSDUG00000022566
scophthalmus_maximus ENSSMAG00000004336
amphiprion_ocellaris ENSAOCG00000016126
amphiprion_percula ENSAPEG00000022360
acanthochromis_polyacanthus ENSAPOG00000007590
stegastes_partitus ENSSPAG00000011624
neolamprologus_brichardi ENSNBRG00000019467
oreochromis_niloticus ENSONIG00000007647
haplochromis_burtoni ENSHBUG00000000957
astatotilapia_calliptera ENSACLG00000018671
pundamilia_nyererei ENSPNYG00000002899
maylandia_zebra ENSMZEG00005018087
amphilophus_citrinellus ENSACIG00000001720
xiphophorus_maculatus ENSXMAG00000011126
xiphophorus_couchianus ENSXCOG00000004602
gambusia_affinis ENSGAFG00000013121
poecilia_reticulata ENSPREG00000020124
cyprinodon_variegatus ENSCVAG00000016097
kryptolebias_marmoratus ENSKMAG00000015453
oryzias_latipes_asm223469v1 ENSORLG00015008824
oryzias_latipes ENSORLG00000000128
oryzias_latipes ENSORLG00020013012
oryzias_melastigma ENSOMEG00000017016
monopterus_albus ENSMALG00000019778
anabas_testudineus ENSATEG00000005205
mastacembelus_armatus ENSMAMG00000022245
gadus_morhua ENSGMOG00000019014
pogona_vitticeps ENSPVIG00000003681
anolis_carolinensis ENSACAG00000005693
notechis_scutatus ENSNSUG00000016192
salvator_merianae ENSSMRG00000018304
sphenodon_punctatus ENSSPUG00000011544
chelonoidis_abingdonii ENSCABG00000013394
chrysemys_picta_bellii ENSCPBG00000009981
gopherus_agassizii ENSGAGG00000006266
pelodiscus_sinensis ENSPSIG00000009335
crocodylus_porosus ENSCPRG00005018045
lepidothrix_coronata ENSLCOG00000015949
manacus_vitellinus ENSMVIG00005011708
parus_major ENSPMJG00000000463
cyanistes_caeruleus ENSCCEG00000013355
ficedula_albicollis ENSFALG00000005278
zonotrichia_albicollis ENSZALG00000001704
junco_hyemalis ENSJHYG00000009081
serinus_canaria ENSSCAG00000003587
lonchura_striata_domestica ENSLSDG00000012759
calidris_pygmaea ENSCPGG00000012644
calidris_pugnax ENSCPUG00000011846
melopsittacus_undulatus ENSMUNG00000010987
anas_platyrhynchos_platyrhynchos ENSAPLG00000007144
anser_brachyrhynchus ENSABRG00000015750
coturnix_japonica ENSCJPG00005010085
meleagris_gallopavo ENSMGAG00000010829
gallus_gallus ENSGALG00000010494
numida_meleagris ENSNMEG00000021522
apteryx_owenii ENSAOWG00000008693
apteryx_haastii ENSAHAG00000013642
apteryx_rowi ENSARWG00000017969
dromaius_novaehollandiae ENSDNVG00000008777
nothoprocta_perdicaria ENSNPEG00000015135
phascolarctos_cinereus ENSPCIG00000019164
notamacropus_eugenii ENSMEUG00000008217
monodelphis_domestica ENSMODG00000001399
monodelphis_domestica ENSMODG00000029007
pan_troglodytes ENSPTRG00000000716
pan_paniscus ENSPPAG00000034646
homo_sapiens ENSG00000117834
gorilla_gorilla ENSGGOG00000012140
pongo_abelii ENSPPYG00000001373
nomascus_leucogenys ENSNLEG00000016351
cercocebus_atys ENSCATG00000003291
mandrillus_leucophaeus ENSMLEG00000034147
papio_anubis ENSPANG00000005046
theropithecus_gelada ENSTGEG00000002807
macaca_fascicularis ENSMFAG00000035463
macaca_nemestrina ENSMNEG00000028284
macaca_mulatta ENSMMUG00000007558
chlorocebus_sabaeus ENSCSAG00000001253
colobus_angolensis_palliatus ENSCANG00000039737
piliocolobus_tephrosceles ENSPTEG00000038342
rhinopithecus_bieti ENSRBIG00000010075
rhinopithecus_roxellana ENSRROG00000044270
cebus_capucinus ENSCCAG00000024082
saimiri_boliviensis_boliviensis ENSSBOG00000031062
callithrix_jacchus ENSCJAG00000021271
aotus_nancymaae ENSANAG00000022766
carlito_syrichta ENSTSYG00000008041
prolemur_simus ENSPSMG00000012801
propithecus_coquereli ENSPCOG00000004667
microcebus_murinus ENSMICG00000012426
otolemur_garnettii ENSOGAG00000005008
castor_canadensis ENSCCNG00000008939
dipodomys_ordii ENSDORG00000010547
cricetulus_griseus_crigri-picr ENSCGRG00015023123
cricetulus_griseus_crigri ENSCGRG00000008087
cricetulus_griseus_chok1gshd ENSCGRG00001019511
mesocricetus_auratus ENSMAUG00000016902
peromyscus_maniculatus_bairdii ENSPEMG00000021770
microtus_ochrogaster ENSMOCG00000022328
mus_musculus ENSMUSG00000028544
mus_spicilegus ENSMSIG00000021541
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027262
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026293
mus_pahari MGP_PahariEiJ_G0028626
rattus_norvegicus ENSRNOG00000042950
meriones_unguiculatus ENSMUGG00000016801
nannospalax_galili ENSNGAG00000013342
nannospalax_galili ENSNGAG00000000613
urocitellus_parryii ENSUPAG00010016240
spermophilus_dauricus ENSSDAG00000011726
ictidomys_tridecemlineatus ENSSTOG00000006889
marmota_marmota_marmota ENSMMMG00000017850
heterocephalus_glaber_female ENSHGLG00000003161
heterocephalus_glaber_male ENSHGLG00100008082
fukomys_damarensis ENSFDAG00000008244
chinchilla_lanigera ENSCLAG00000007839
octodon_degus ENSODEG00000007740
cavia_porcellus ENSCPOG00000032674
cavia_porcellus ENSCPOG00000024246
cavia_aperea ENSCAPG00000013477
cavia_porcellus ENSCPOG00000006492
cavia_porcellus ENSCPOG00000002481
tupaia_belangeri ENSTBEG00000016725
pteropus_vampyrus ENSPVAG00000003625
myotis_lucifugus ENSMLUG00000010198
ursus_americanus ENSUAMG00000003748
ursus_maritimus ENSUMAG00000023291
ursus_americanus ENSUAMG00000011795
ailuropoda_melanoleuca ENSAMEG00000008581
neovison_vison ENSNVIG00000002273
mustela_putorius_furo ENSMPUG00000012383
canis_lupus_dingo ENSCAFG00020014477
canis_lupus_familiaris ENSCAFG00000003982
vulpes_vulpes ENSVVUG00000006359
panthera_tigris_altaica ENSPTIG00000007011
panthera_pardus ENSPPRG00000020008
felis_catus ENSFCAG00000000548
capra_hircus ENSCHIG00000008499
ovis_aries ENSOARG00000003846
bison_bison_bison ENSBBBG00000009762
bos_taurus ENSBTAG00000014225
bos_mutus ENSBMUG00000011605
sus_scrofa ENSSSCG00000003882
tursiops_truncatus ENSTTRG00000012358
equus_caballus ENSECAG00000011684
equus_asinus_asinus ENSEASG00005010710
erinaceus_europaeus ENSEEUG00000015307
sorex_araneus ENSSARG00000004212
loxodonta_africana ENSLAFG00000016268
procavia_capensis ENSPCAG00000016839
echinops_telfairi ENSETEG00000002143
dasypus_novemcinctus ENSDNOG00000004042
choloepus_hoffmanni ENSCHOG00000013251
oryctolagus_cuniculus ENSOCUG00000007119
ochotona_princeps ENSOPRG00000005236
ornithorhynchus_anatinus ENSOANG00000004257
xenopus_tropicalis ENSXETG00000006935
latimeria_chalumnae ENSLACG00000016140
hippocampus_comes ENSHCOG00000003563
hippocampus_comes ENSHCOG00000003593
hippocampus_comes ENSHCOG00000003501
sarcophilus_harrisii ENSSHAG00000003787
ornithorhynchus_anatinus ENSOANG00000021319
ficedula_albicollis ENSFALG00000001409
petromyzon_marinus ENSPMAG00000006859
eptatretus_burgeri ENSEBUG00000004852
