ochotona_princeps ENSOPRG00000004838
procavia_capensis ENSPCAG00000007916
tupaia_belangeri ENSTBEG00000012168
pongo_abelii ENSPPYG00000005278
ursus_americanus ENSUAMG00000003080
canis_lupus_dingo ENSCAFG00020001508
panthera_tigris_altaica ENSPTIG00000012629
bison_bison_bison ENSBBBG00000004270
bos_mutus ENSBMUG00000013709
vulpes_vulpes ENSVVUG00000019665
pteropus_vampyrus ENSPVAG00000007262
propithecus_coquereli ENSPCOG00000012239
loxodonta_africana ENSLAFG00000031057
choloepus_hoffmanni ENSCHOG00000006126
calidris_pygmaea ENSCPGG00000017341
calidris_pugnax ENSCPUG00000013212
lonchura_striata_domestica ENSLSDG00000017186
latimeria_chalumnae ENSLACG00000003879
