mandrillus_leucophaeus ENSMLEG00000036625
papio_anubis ENSPANG00000015092
cercocebus_atys ENSCATG00000037109
theropithecus_gelada ENSTGEG00000021012
macaca_fascicularis ENSMFAG00000035559
piliocolobus_tephrosceles ENSPTEG00000023929
colobus_angolensis_palliatus ENSCANG00000042684
colobus_angolensis_palliatus ENSCANG00000042277
neovison_vison ENSNVIG00000021850
neovison_vison ENSNVIG00000010994
neovison_vison ENSNVIG00000023880
crocodylus_porosus ENSCPRG00005017743
acanthochromis_polyacanthus ENSAPOG00000019373
acanthochromis_polyacanthus ENSAPOG00000021859
maylandia_zebra ENSMZEG00005025309
