oreochromis_niloticus ENSONIG00000002559
amphilophus_citrinellus ENSACIG00000021125
kryptolebias_marmoratus ENSKMAG00000017507
pygocentrus_nattereri ENSPNAG00000003441
seriola_lalandi_dorsalis ENSSLDG00000009261
pogona_vitticeps ENSPVIG00000023367
pogona_vitticeps ENSPVIG00000023366
pogona_vitticeps ENSPVIG00000023365
eptatretus_burgeri ENSEBUG00000007598
eptatretus_burgeri ENSEBUG00000003582
piliocolobus_tephrosceles ENSPTEG00000006782
piliocolobus_tephrosceles ENSPTEG00000003460
latimeria_chalumnae ENSLACG00000001181
ciona_savignyi ENSCSAVG00000008097
