poecilia_reticulata ENSPREG00000013416
cyprinodon_variegatus ENSCVAG00000010636
pundamilia_nyererei ENSPNYG00000005100
haplochromis_burtoni ENSHBUG00000015917
maylandia_zebra ENSMZEG00005014512
astatotilapia_calliptera ENSACLG00000007687
neolamprologus_brichardi ENSNBRG00000010604
amphilophus_citrinellus ENSACIG00000007115
anabas_testudineus ENSATEG00000004641
esox_lucius ENSELUG00000022690
junco_hyemalis ENSJHYG00000000985
zonotrichia_albicollis ENSZALG00000015533
lonchura_striata_domestica ENSLSDG00000009393
taeniopygia_guttata ENSTGUG00000017176
ficedula_albicollis ENSFALG00000003566
parus_major ENSPMJG00000009942
cyanistes_caeruleus ENSCCEG00000022307
lepidothrix_coronata ENSLCOG00000010610
calidris_pygmaea ENSCPGG00000004960
calidris_pugnax ENSCPUG00000000852
anser_brachyrhynchus ENSABRG00000022948
anas_platyrhynchos_platyrhynchos ENSAPLG00000014982
serinus_canaria ENSSCAG00000006145
melopsittacus_undulatus ENSMUNG00000000525
apteryx_owenii ENSAOWG00000011202
apteryx_rowi ENSARWG00000003609
apteryx_haastii ENSAHAG00000014021
coturnix_japonica ENSCJPG00005021228
meleagris_gallopavo ENSMGAG00000017246
gallus_gallus ENSGALG00000002771
numida_meleagris ENSNMEG00000020584
nothoprocta_perdicaria ENSNPEG00000004290
vulpes_vulpes ENSVVUG00000006266
canis_lupus_dingo ENSCAFG00020007525
neovison_vison ENSNVIG00000006499
felis_catus ENSFCAG00000016258
panthera_pardus ENSPPRG00000009728
sus_scrofa ENSSSCG00000037142
sus_scrofa ENSSSCG00000032399
bos_mutus ENSBMUG00000026812
bos_taurus ENSBTAG00000047229
capra_hircus ENSCHIG00000000407
equus_caballus ENSECAG00000031569
piliocolobus_tephrosceles ENSPTEG00000016703
piliocolobus_tephrosceles ENSPTEG00000016664
rhinopithecus_bieti ENSRBIG00000027349
mandrillus_leucophaeus ENSMLEG00000039626
theropithecus_gelada ENSTGEG00000015419
cercocebus_atys ENSCATG00000031525
pteropus_vampyrus ENSPVAG00000014240
dasypus_novemcinctus ENSDNOG00000038186
cricetulus_griseus_chok1gshd ENSCGRG00001013609
cricetulus_griseus_crigri-picr ENSCGRG00015021625
cricetulus_griseus_crigri-picr ENSCGRG00015008837
cricetulus_griseus_chok1gshd ENSCGRG00001008851
mesocricetus_auratus ENSMAUG00000014051
peromyscus_maniculatus_bairdii ENSPEMG00000006620
mus_spicilegus ENSMSIG00000022630
mus_musculus ENSMUSG00000006360
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019022
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018173
mus_pahari MGP_PahariEiJ_G0029930
rattus_norvegicus ENSRNOG00000027990
meriones_unguiculatus ENSMUGG00000014201
nannospalax_galili ENSNGAG00000000499
jaculus_jaculus ENSJJAG00000021448
heterocephalus_glaber_female ENSHGLG00000015816
heterocephalus_glaber_male ENSHGLG00100013433
ictidomys_tridecemlineatus ENSSTOG00000025103
spermophilus_dauricus ENSSDAG00000022764
ochotona_princeps ENSOPRG00000018188
microcebus_murinus ENSMICG00000047747
microcebus_murinus ENSMICG00000038052
propithecus_coquereli ENSPCOG00000002514
homo_sapiens ENSG00000257341
homo_sapiens ENSG00000213145
gorilla_gorilla ENSGGOG00000027381
pan_troglodytes ENSPTRG00000033768
pan_paniscus ENSPPAG00000029039
macaca_nemestrina ENSMNEG00000041546
macaca_fascicularis ENSMFAG00000039395
papio_anubis ENSPANG00000020548
theropithecus_gelada ENSTGEG00000012585
cercocebus_atys ENSCATG00000035521
chlorocebus_sabaeus ENSCSAG00000009369
rhinopithecus_bieti ENSRBIG00000041997
piliocolobus_tephrosceles ENSPTEG00000029966
callithrix_jacchus ENSCJAG00000023048
callithrix_jacchus ENSCJAG00000019788
cebus_capucinus ENSCCAG00000030536
aotus_nancymaae ENSANAG00000031961
pongo_abelii ENSPPYG00000011652
colobus_angolensis_palliatus ENSCANG00000026739
mandrillus_leucophaeus ENSMLEG00000040391
pongo_abelii ENSPPYG00000006209
bison_bison_bison ENSBBBG00000024375
equus_asinus_asinus ENSEASG00005004655
ursus_maritimus ENSUMAG00000024559
ursus_americanus ENSUAMG00000010278
procavia_capensis ENSPCAG00000010543
loxodonta_africana ENSLAFG00000030344
notamacropus_eugenii ENSMEUG00000001631
phascolarctos_cinereus ENSPCIG00000016446
monodelphis_domestica ENSMODG00000014633
sarcophilus_harrisii ENSSHAG00000000807
chelonoidis_abingdonii ENSCABG00000002812
gopherus_agassizii ENSGAGG00000020055
chrysemys_picta_bellii ENSCPBG00000000094
notechis_scutatus ENSNSUG00000017343
notechis_scutatus ENSNSUG00000016252
anolis_carolinensis ENSACAG00000027899
salvator_merianae ENSSMRG00000023505
pogona_vitticeps ENSPVIG00000010783
xenopus_tropicalis ENSXETG00000024478
pelodiscus_sinensis ENSPSIG00000014406
crocodylus_porosus ENSCPRG00005001226
sphenodon_punctatus ENSSPUG00000018100
melopsittacus_undulatus ENSMUNG00000000521
meleagris_gallopavo ENSMGAG00000004954
ornithorhynchus_anatinus ENSOANG00000021722
poecilia_formosa ENSPFOG00000022582
paramormyrops_kingsleyae ENSPKIG00000009319
ciona_intestinalis ENSCING00000018089
