parus_major ENSPMJG00000002238
cyanistes_caeruleus ENSCCEG00000009854
ficedula_albicollis ENSFALG00000012759
taeniopygia_guttata ENSTGUG00000001934
lonchura_striata_domestica ENSLSDG00000010060
serinus_canaria ENSSCAG00000003904
zonotrichia_albicollis ENSZALG00000013624
junco_hyemalis ENSJHYG00000009382
lepidothrix_coronata ENSLCOG00000010470
manacus_vitellinus ENSMVIG00005014811
calidris_pygmaea ENSCPGG00000011576
calidris_pugnax ENSCPUG00000015747
melopsittacus_undulatus ENSMUNG00000003751
anas_platyrhynchos_platyrhynchos ENSAPLG00000005927
anser_brachyrhynchus ENSABRG00000007915
meleagris_gallopavo ENSMGAG00000017213
meleagris_gallopavo ENSMGAG00000005239
coturnix_japonica ENSCJPG00005015547
gallus_gallus ENSGALG00000012923
numida_meleagris ENSNMEG00000005225
apteryx_owenii ENSAOWG00000006555
apteryx_haastii ENSAHAG00000014233
apteryx_rowi ENSARWG00000009844
dromaius_novaehollandiae ENSDNVG00000017824
nothoprocta_perdicaria ENSNPEG00000010624
crocodylus_porosus ENSCPRG00005016570
chelonoidis_abingdonii ENSCABG00000012643
gopherus_agassizii ENSGAGG00000002204
chrysemys_picta_bellii ENSCPBG00000004514
pelodiscus_sinensis ENSPSIG00000013748
anolis_carolinensis ENSACAG00000000244
pogona_vitticeps ENSPVIG00000014390
notechis_scutatus ENSNSUG00000018894
salvator_merianae ENSSMRG00000009260
sphenodon_punctatus ENSSPUG00000017194
phascolarctos_cinereus ENSPCIG00000029078
notamacropus_eugenii ENSMEUG00000011670
sarcophilus_harrisii ENSSHAG00000004715
monodelphis_domestica ENSMODG00000004237
pan_paniscus ENSPPAG00000033800
pan_troglodytes ENSPTRG00000016759
homo_sapiens ENSG00000113100
gorilla_gorilla ENSGGOG00000012370
pongo_abelii ENSPPYG00000015368
nomascus_leucogenys ENSNLEG00000012011
papio_anubis ENSPANG00000012091
theropithecus_gelada ENSTGEG00000003810
mandrillus_leucophaeus ENSMLEG00000007380
cercocebus_atys ENSCATG00000035114
chlorocebus_sabaeus ENSCSAG00000017215
macaca_fascicularis ENSMFAG00000001139
macaca_mulatta ENSMMUG00000019846
macaca_nemestrina ENSMNEG00000031449
colobus_angolensis_palliatus ENSCANG00000019686
piliocolobus_tephrosceles ENSPTEG00000036930
rhinopithecus_roxellana ENSRROG00000035093
rhinopithecus_bieti ENSRBIG00000030325
cebus_capucinus ENSCCAG00000018303
saimiri_boliviensis_boliviensis ENSSBOG00000026094
callithrix_jacchus ENSCJAG00000007662
aotus_nancymaae ENSANAG00000023798
carlito_syrichta ENSTSYG00000006051
prolemur_simus ENSPSMG00000009024
microcebus_murinus ENSMICG00000008404
propithecus_coquereli ENSPCOG00000014871
otolemur_garnettii ENSOGAG00000014717
tupaia_belangeri ENSTBEG00000012328
castor_canadensis ENSCCNG00000006142
dipodomys_ordii ENSDORG00000002684
mus_musculus ENSMUSG00000025370
mus_spicilegus ENSMSIG00000015068
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020582
