apteryx_haastii ENSAHAG00000005277
apteryx_owenii ENSAOWG00000013552
apteryx_rowi ENSARWG00000011380
dromaius_novaehollandiae ENSDNVG00000016167
nothoprocta_perdicaria ENSNPEG00000009061
calidris_pygmaea ENSCPGG00000017374
calidris_pugnax ENSCPUG00000005148
junco_hyemalis ENSJHYG00000012583
zonotrichia_albicollis ENSZALG00000009073
serinus_canaria ENSSCAG00000006130
lonchura_striata_domestica ENSLSDG00000012230
taeniopygia_guttata ENSTGUG00000012936
ficedula_albicollis ENSFALG00000003203
cyanistes_caeruleus ENSCCEG00000004068
cyanistes_caeruleus ENSCCEG00000005745
parus_major ENSPMJG00000001516
lepidothrix_coronata ENSLCOG00000005679
manacus_vitellinus ENSMVIG00005008845
melopsittacus_undulatus ENSMUNG00000002477
anas_platyrhynchos_platyrhynchos ENSAPLG00000010974
anser_brachyrhynchus ENSABRG00000009207
gallus_gallus ENSGALG00000011797
meleagris_gallopavo ENSMGAG00000013505
coturnix_japonica ENSCJPG00005003119
numida_meleagris ENSNMEG00000016887
crocodylus_porosus ENSCPRG00005016135
chelonoidis_abingdonii ENSCABG00000011451
gopherus_agassizii ENSGAGG00000007976
chrysemys_picta_bellii ENSCPBG00000022332
pelodiscus_sinensis ENSPSIG00000003368
anolis_carolinensis ENSACAG00000015800
pogona_vitticeps ENSPVIG00000020533
notechis_scutatus ENSNSUG00000018295
salvator_merianae ENSSMRG00000013557
sphenodon_punctatus ENSSPUG00000003935
phascolarctos_cinereus ENSPCIG00000028452
notamacropus_eugenii ENSMEUG00000016397
sarcophilus_harrisii ENSSHAG00000009220
monodelphis_domestica ENSMODG00000009457
loxodonta_africana ENSLAFG00000018519
procavia_capensis ENSPCAG00000008279
echinops_telfairi ENSETEG00000006220
choloepus_hoffmanni ENSCHOG00000001253
dasypus_novemcinctus ENSDNOG00000013671
oryctolagus_cuniculus ENSOCUG00000011720
ochotona_princeps ENSOPRG00000005246
carlito_syrichta ENSTSYG00000013545
carlito_syrichta ENSTSYG00000030167
tupaia_belangeri ENSTBEG00000013456
chinchilla_lanigera ENSCLAG00000003998
octodon_degus ENSODEG00000014455
cavia_porcellus ENSCPOG00000013111
cavia_aperea ENSCAPG00000017927
heterocephalus_glaber_female ENSHGLG00000009911
heterocephalus_glaber_male ENSHGLG00100007594
fukomys_damarensis ENSFDAG00000012007
urocitellus_parryii ENSUPAG00010011349
ictidomys_tridecemlineatus ENSSTOG00000015527
spermophilus_dauricus ENSSDAG00000009402
marmota_marmota_marmota ENSMMMG00000020925
castor_canadensis ENSCCNG00000010696
