mastacembelus_armatus ENSMAMG00000010448
monopterus_albus ENSMALG00000002446
xiphophorus_couchianus ENSXCOG00000015533
seriola_lalandi_dorsalis ENSSLDG00000017373
seriola_dumerili ENSSDUG00000008915
scophthalmus_maximus ENSSMAG00000002559
periophthalmus_magnuspinnatus ENSPMGG00000002202
gasterosteus_aculeatus ENSGACG00000006228
oryzias_latipes ENSORLG00020022172
oryzias_latipes ENSORLG00000022678
oryzias_latipes_asm223469v1 ENSORLG00015015248
oryzias_melastigma ENSOMEG00000009981
kryptolebias_marmoratus ENSKMAG00000010974
fundulus_heteroclitus ENSFHEG00000009552
fundulus_heteroclitus ENSFHEG00000009563
cyprinodon_variegatus ENSCVAG00000007606
poecilia_formosa ENSPFOG00000023856
poecilia_mexicana ENSPMEG00000016345
poecilia_reticulata ENSPREG00000013823
xiphophorus_maculatus ENSXMAG00000025108
gambusia_affinis ENSGAFG00000014259
poecilia_latipinna ENSPLAG00000009603
poecilia_latipinna ENSPLAG00000009597
haplochromis_burtoni ENSHBUG00000020107
maylandia_zebra ENSMZEG00005002492
astatotilapia_calliptera ENSACLG00000001461
pundamilia_nyererei ENSPNYG00000001849
neolamprologus_brichardi ENSNBRG00000010276
oreochromis_niloticus ENSONIG00000021071
amphilophus_citrinellus ENSACIG00000020612
amphiprion_ocellaris ENSAOCG00000000134
amphiprion_percula ENSAPEG00000017539
acanthochromis_polyacanthus ENSAPOG00000022214
stegastes_partitus ENSSPAG00000008866
cynoglossus_semilaevis ENSCSEG00000016423
labrus_bergylta ENSLBEG00000005979
labrus_bergylta ENSLBEG00000021751
mola_mola ENSMMOG00000006316
hippocampus_comes ENSHCOG00000009817
gadus_morhua ENSGMOG00000020119
esox_lucius ENSELUG00000010461
danio_rerio ENSDARG00000116871
