homo_sapiens ENSG00000254245
mandrillus_leucophaeus ENSMLEG00000023632
otolemur_garnettii ENSOGAG00000025480
mesocricetus_auratus ENSMAUG00000017598
microtus_ochrogaster ENSMOCG00000010228
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023093
mus_musculus ENSMUSG00000104346
mus_spicilegus ENSMSIG00000002666
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022183
mus_pahari MGP_PahariEiJ_G0018917
rattus_norvegicus ENSRNOG00000039461
nannospalax_galili ENSNGAG00000022037
octodon_degus ENSODEG00000011289
spermophilus_dauricus ENSSDAG00000016483
bos_taurus ENSBTAG00000040473
bos_mutus ENSBMUG00000017211
sus_scrofa ENSSSCG00000033765
ursus_americanus ENSUAMG00000000627
ursus_maritimus ENSUMAG00000012704
vulpes_vulpes ENSVVUG00000017457
dasypus_novemcinctus ENSDNOG00000046135
choloepus_hoffmanni ENSCHOG00000003308
