echinops_telfairi ENSETEG00000008173
procavia_capensis ENSPCAG00000015650
loxodonta_africana ENSLAFG00000004679
pteropus_vampyrus ENSPVAG00000004093
myotis_lucifugus ENSMLUG00000011976
vulpes_vulpes ENSVVUG00000000235
ursus_americanus ENSUAMG00000010261
neovison_vison ENSNVIG00000012174
erinaceus_europaeus ENSEEUG00000006755
nannospalax_galili ENSNGAG00000016172
marmota_marmota_marmota ENSMMMG00000001245
ochotona_princeps ENSOPRG00000013115
macaca_nemestrina ENSMNEG00000041334
macaca_nemestrina ENSMNEG00000029794
theropithecus_gelada ENSTGEG00000011357
mandrillus_leucophaeus ENSMLEG00000035353
cebus_capucinus ENSCCAG00000032359
callithrix_jacchus ENSCJAG00000045901
microcebus_murinus ENSMICG00000042624
castor_canadensis ENSCCNG00000026343
nannospalax_galili ENSNGAG00000023571
oryctolagus_cuniculus ENSOCUG00000007447
ursus_maritimus ENSUMAG00000023425
ailuropoda_melanoleuca ENSAMEG00000018384
mustela_putorius_furo ENSMPUG00000002228
neovison_vison ENSNVIG00000001933
canis_lupus_familiaris ENSCAFG00000015904
canis_lupus_dingo ENSCAFG00020012749
panthera_pardus ENSPPRG00000016099
panthera_tigris_altaica ENSPTIG00000015727
felis_catus ENSFCAG00000034397
capra_hircus ENSCHIG00000016405
ovis_aries ENSOARG00000020910
bos_taurus ENSBTAG00000001342
bos_mutus ENSBMUG00000009011
bison_bison_bison ENSBBBG00000000926
sus_scrofa ENSSSCG00000024983
macaca_fascicularis ENSMFAG00000030861
mandrillus_leucophaeus ENSMLEG00000034026
macaca_mulatta ENSMMUG00000021090
macaca_fascicularis ENSMFAG00000042645
rhinopithecus_roxellana ENSRROG00000041855
rhinopithecus_bieti ENSRBIG00000034696
rhinopithecus_bieti ENSRBIG00000029978
piliocolobus_tephrosceles ENSPTEG00000030166
rhinopithecus_bieti ENSRBIG00000019450
colobus_angolensis_palliatus ENSCANG00000029571
chlorocebus_sabaeus ENSCSAG00000011613
macaca_nemestrina ENSMNEG00000033431
macaca_mulatta ENSMMUG00000020693
papio_anubis ENSPANG00000011550
papio_anubis ENSPANG00000018986
theropithecus_gelada ENSTGEG00000016656
papio_anubis ENSPANG00000017320
macaca_fascicularis ENSMFAG00000040831
mandrillus_leucophaeus ENSMLEG00000036597
cercocebus_atys ENSCATG00000035416
piliocolobus_tephrosceles ENSPTEG00000023275
rhinopithecus_bieti ENSRBIG00000043868
rhinopithecus_roxellana ENSRROG00000036089
rhinopithecus_bieti ENSRBIG00000038112
mandrillus_leucophaeus ENSMLEG00000042005
homo_sapiens ENSG00000137876
gorilla_gorilla ENSGGOG00000005195
pan_troglodytes ENSPTRG00000007094
pongo_abelii ENSPPYG00000006495
nomascus_leucogenys ENSNLEG00000006578
pan_paniscus ENSPPAG00000040741
pan_troglodytes ENSPTRG00000049698
gorilla_gorilla ENSGGOG00000022509
rhinopithecus_roxellana ENSRROG00000029201
pan_paniscus ENSPPAG00000041232
gorilla_gorilla ENSGGOG00000024311
nomascus_leucogenys ENSNLEG00000033292
macaca_nemestrina ENSMNEG00000037632
macaca_fascicularis ENSMFAG00000002029
mandrillus_leucophaeus ENSMLEG00000030628
rhinopithecus_roxellana ENSRROG00000038071
rhinopithecus_bieti ENSRBIG00000042654
colobus_angolensis_palliatus ENSCANG00000039473
pan_troglodytes ENSPTRG00000046354
pan_paniscus ENSPPAG00000031291
gorilla_gorilla ENSGGOG00000041514
nomascus_leucogenys ENSNLEG00000028829
rhinopithecus_bieti ENSRBIG00000032730
chlorocebus_sabaeus ENSCSAG00000003498
chlorocebus_sabaeus ENSCSAG00000003493
macaca_mulatta ENSMMUG00000004914
pan_troglodytes ENSPTRG00000044995
pan_paniscus ENSPPAG00000040891
gorilla_gorilla ENSGGOG00000039927
callithrix_jacchus ENSCJAG00000039819
callithrix_jacchus ENSCJAG00000044849
callithrix_jacchus ENSCJAG00000048377
cebus_capucinus ENSCCAG00000029762
aotus_nancymaae ENSANAG00000035359
aotus_nancymaae ENSANAG00000030994
saimiri_boliviensis_boliviensis ENSSBOG00000031225
callithrix_jacchus ENSCJAG00000040837
aotus_nancymaae ENSANAG00000031790
aotus_nancymaae ENSANAG00000027063
cebus_capucinus ENSCCAG00000028157
callithrix_jacchus ENSCJAG00000040419
cebus_capucinus ENSCCAG00000002687
papio_anubis ENSPANG00000005032
theropithecus_gelada ENSTGEG00000003925
piliocolobus_tephrosceles ENSPTEG00000027723
theropithecus_gelada ENSTGEG00000008880
macaca_mulatta ENSMMUG00000039173
carlito_syrichta ENSTSYG00000001271
urocitellus_parryii ENSUPAG00010023838
spermophilus_dauricus ENSSDAG00000004337
prolemur_simus ENSPSMG00000014481
prolemur_simus ENSPSMG00000015987
propithecus_coquereli ENSPCOG00000020651
propithecus_coquereli ENSPCOG00000021850
microcebus_murinus ENSMICG00000036329
otolemur_garnettii ENSOGAG00000010400
microcebus_murinus ENSMICG00000033442
sus_scrofa ENSSSCG00000036533
piliocolobus_tephrosceles ENSPTEG00000021075
rhinopithecus_roxellana ENSRROG00000036389
piliocolobus_tephrosceles ENSPTEG00000036984
cercocebus_atys ENSCATG00000037605
saimiri_boliviensis_boliviensis ENSSBOG00000019571
felis_catus ENSFCAG00000019272
urocitellus_parryii ENSUPAG00010023366
marmota_marmota_marmota ENSMMMG00000015334
spermophilus_dauricus ENSSDAG00000007247
ictidomys_tridecemlineatus ENSSTOG00000009408
fukomys_damarensis ENSFDAG00000018164
heterocephalus_glaber_female ENSHGLG00000006561
chinchilla_lanigera ENSCLAG00000008785
cavia_porcellus ENSCPOG00000009371
tupaia_belangeri ENSTBEG00000010750
equus_caballus ENSECAG00000005903
tursiops_truncatus ENSTTRG00000008479
panthera_pardus ENSPPRG00000010009
canis_lupus_dingo ENSCAFG00020011472
equus_asinus_asinus ENSEASG00005009830
propithecus_coquereli ENSPCOG00000021180
dasypus_novemcinctus ENSDNOG00000045923
dasypus_novemcinctus ENSDNOG00000042262
dasypus_novemcinctus ENSDNOG00000010812
choloepus_hoffmanni ENSCHOG00000011799
mus_spicilegus ENSMSIG00000029963
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033569
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032431
mus_spicilegus ENSMSIG00000011376
mus_musculus ENSMUSG00000032215
rattus_norvegicus ENSRNOG00000052787
meriones_unguiculatus ENSMUGG00000012277
cricetulus_griseus_crigri ENSCGRG00000013876
cricetulus_griseus_chok1gshd ENSCGRG00001009123
cricetulus_griseus_crigri-picr ENSCGRG00015015686
cricetulus_griseus_chok1gshd ENSCGRG00001004312
cricetulus_griseus_crigri-picr ENSCGRG00015016738
cricetulus_griseus_crigri-picr ENSCGRG00015022979
cricetulus_griseus_crigri ENSCGRG00000002462
cricetulus_griseus_crigri ENSCGRG00000000555
cricetulus_griseus_chok1gshd ENSCGRG00001012406
cricetulus_griseus_crigri ENSCGRG00000000054
cricetulus_griseus_chok1gshd ENSCGRG00001017651
cricetulus_griseus_crigri ENSCGRG00000000342
mesocricetus_auratus ENSMAUG00000011146
microtus_ochrogaster ENSMOCG00000003818
microtus_ochrogaster ENSMOCG00000009935
microtus_ochrogaster ENSMOCG00000020963
microtus_ochrogaster ENSMOCG00000002891
peromyscus_maniculatus_bairdii ENSPEMG00000000267
jaculus_jaculus ENSJJAG00000010150
jaculus_jaculus ENSJJAG00000002766
octodon_degus ENSODEG00000005430
dipodomys_ordii ENSDORG00000030252
heterocephalus_glaber_male ENSHGLG00100000900
phascolarctos_cinereus ENSPCIG00000007604
notamacropus_eugenii ENSMEUG00000010179
sarcophilus_harrisii ENSSHAG00000011494
monodelphis_domestica ENSMODG00000007966
ornithorhynchus_anatinus ENSOANG00000028838
lepidothrix_coronata ENSLCOG00000005020
manacus_vitellinus ENSMVIG00005016238
zonotrichia_albicollis ENSZALG00000002321
junco_hyemalis ENSJHYG00000016430
lonchura_striata_domestica ENSLSDG00000014378
taeniopygia_guttata ENSTGUG00000006530
serinus_canaria ENSSCAG00000000580
ficedula_albicollis ENSFALG00000012001
parus_major ENSPMJG00000018477
cyanistes_caeruleus ENSCCEG00000019889
calidris_pygmaea ENSCPGG00000012072
calidris_pugnax ENSCPUG00000016170
melopsittacus_undulatus ENSMUNG00000016544
meleagris_gallopavo ENSMGAG00000006032
gallus_gallus ENSGALG00000032858
coturnix_japonica ENSCJPG00005016253
numida_meleagris ENSNMEG00000022403
anser_brachyrhynchus ENSABRG00000020189
anas_platyrhynchos_platyrhynchos ENSAPLG00000016498
apteryx_haastii ENSAHAG00000005901
apteryx_owenii ENSAOWG00000007482
apteryx_rowi ENSARWG00000014180
dromaius_novaehollandiae ENSDNVG00000014291
