labrus_bergylta ENSLBEG00000003055
mola_mola ENSMMOG00000001407
gasterosteus_aculeatus ENSGACG00000006978
seriola_lalandi_dorsalis ENSSLDG00000018616
seriola_dumerili ENSSDUG00000012369
scophthalmus_maximus ENSSMAG00000002316
amphiprion_percula ENSAPEG00000005436
amphiprion_ocellaris ENSAOCG00000004469
acanthochromis_polyacanthus ENSAPOG00000009141
stegastes_partitus ENSSPAG00000004468
mastacembelus_armatus ENSMAMG00000020920
monopterus_albus ENSMALG00000017101
cynoglossus_semilaevis ENSCSEG00000017681
xiphophorus_maculatus ENSXMAG00000015794
gambusia_affinis ENSGAFG00000012379
poecilia_latipinna ENSPLAG00000001414
poecilia_mexicana ENSPMEG00000013391
poecilia_formosa ENSPFOG00000019343
poecilia_reticulata ENSPREG00000016662
cyprinodon_variegatus ENSCVAG00000011884
fundulus_heteroclitus ENSFHEG00000017920
kryptolebias_marmoratus ENSKMAG00000013874
oryzias_latipes_asm223469v1 ENSORLG00015010301
oryzias_latipes ENSORLG00020002183
oryzias_latipes ENSORLG00000004277
oryzias_melastigma ENSOMEG00000021928
maylandia_zebra ENSMZEG00005006554
haplochromis_burtoni ENSHBUG00000004399
pundamilia_nyererei ENSPNYG00000015390
astatotilapia_calliptera ENSACLG00000015058
neolamprologus_brichardi ENSNBRG00000013769
oreochromis_niloticus ENSONIG00000015146
amphilophus_citrinellus ENSACIG00000003292
anabas_testudineus ENSATEG00000016802
tetraodon_nigroviridis ENSTNIG00000005026
takifugu_rubripes ENSTRUG00000014687
hippocampus_comes ENSHCOG00000018410
periophthalmus_magnuspinnatus ENSPMGG00000003341
gadus_morhua ENSGMOG00000007745
esox_lucius ENSELUG00000002287
astyanax_mexicanus ENSAMXG00000037805
pygocentrus_nattereri ENSPNAG00000001720
ictalurus_punctatus ENSIPUG00000000280
danio_rerio ENSDARG00000023287
paramormyrops_kingsleyae ENSPKIG00000016875
scleropages_formosus ENSSFOG00015006410
lepisosteus_oculatus ENSLOCG00000009228
apteryx_haastii ENSAHAG00000011318
apteryx_rowi ENSARWG00000010972
apteryx_owenii ENSAOWG00000014544
dromaius_novaehollandiae ENSDNVG00000009237
nothoprocta_perdicaria ENSNPEG00000007060
calidris_pygmaea ENSCPGG00000007706
calidris_pugnax ENSCPUG00000015012
melopsittacus_undulatus ENSMUNG00000011966
anser_brachyrhynchus ENSABRG00000016146
anas_platyrhynchos_platyrhynchos ENSAPLG00000006227
coturnix_japonica ENSCJPG00005009524
gallus_gallus ENSGALG00000045920
numida_meleagris ENSNMEG00000017651
crocodylus_porosus ENSCPRG00005010085
chelonoidis_abingdonii ENSCABG00000019591
gopherus_agassizii ENSGAGG00000021672
chrysemys_picta_bellii ENSCPBG00000005430
salvator_merianae ENSSMRG00000019207
notechis_scutatus ENSNSUG00000014354
pogona_vitticeps ENSPVIG00000015705
sphenodon_punctatus ENSSPUG00000004509
loxodonta_africana ENSLAFG00000013420
echinops_telfairi ENSETEG00000010492
procavia_capensis ENSPCAG00000014630
choloepus_hoffmanni ENSCHOG00000010560
dasypus_novemcinctus ENSDNOG00000017101
ovis_aries ENSOARG00000008514
capra_hircus ENSCHIG00000027090
bos_taurus ENSBTAG00000016867
bos_mutus ENSBMUG00000015622
bison_bison_bison ENSBBBG00000011138
tursiops_truncatus ENSTTRG00000001730
vicugna_pacos ENSVPAG00000002180
sus_scrofa ENSSSCG00000010937
sorex_araneus ENSSARG00000003160
erinaceus_europaeus ENSEEUG00000003512
ursus_maritimus ENSUMAG00000009841
ursus_americanus ENSUAMG00000007172
ursus_americanus ENSUAMG00000021599
ailuropoda_melanoleuca ENSAMEG00000007099
mustela_putorius_furo ENSMPUG00000006799
neovison_vison ENSNVIG00000012109
canis_lupus_familiaris ENSCAFG00000001218
canis_lupus_dingo ENSCAFG00020022744
vulpes_vulpes ENSVVUG00000022907
panthera_pardus ENSPPRG00000019886
panthera_tigris_altaica ENSPTIG00000009924
felis_catus ENSFCAG00000002732
pteropus_vampyrus ENSPVAG00000007646
myotis_lucifugus ENSMLUG00000016311
equus_caballus ENSECAG00000002868
equus_asinus_asinus ENSEASG00005020025
pan_troglodytes ENSPTRG00000021150
pan_paniscus ENSPPAG00000040278
homo_sapiens ENSG00000130948
gorilla_gorilla ENSGGOG00000002825
pongo_abelii ENSPPYG00000019414
nomascus_leucogenys ENSNLEG00000032342
theropithecus_gelada ENSTGEG00000005119
papio_anubis ENSPANG00000024646
cercocebus_atys ENSCATG00000035198
mandrillus_leucophaeus ENSMLEG00000027057
macaca_mulatta ENSMMUG00000007990
macaca_nemestrina ENSMNEG00000031910
macaca_fascicularis ENSMFAG00000033598
chlorocebus_sabaeus ENSCSAG00000006626
piliocolobus_tephrosceles ENSPTEG00000025117
colobus_angolensis_palliatus ENSCANG00000040823
rhinopithecus_roxellana ENSRROG00000002674
rhinopithecus_bieti ENSRBIG00000036582
cebus_capucinus ENSCCAG00000032712
saimiri_boliviensis_boliviensis ENSSBOG00000028438
callithrix_jacchus ENSCJAG00000008899
aotus_nancymaae ENSANAG00000032106
carlito_syrichta ENSTSYG00000009929
propithecus_coquereli ENSPCOG00000024790
prolemur_simus ENSPSMG00000009565
microcebus_murinus ENSMICG00000002001
otolemur_garnettii ENSOGAG00000004332
ochotona_princeps ENSOPRG00000011683
ochotona_princeps ENSOPRG00000010928
oryctolagus_cuniculus ENSOCUG00000008531
spermophilus_dauricus ENSSDAG00000000540
marmota_marmota_marmota ENSMMMG00000002462
ictidomys_tridecemlineatus ENSSTOG00000004893
tupaia_belangeri ENSTBEG00000010642
dipodomys_ordii ENSDORG00000015937
castor_canadensis ENSCCNG00000025457
cricetulus_griseus_chok1gshd ENSCGRG00001009870
cricetulus_griseus_crigri-picr ENSCGRG00015013200
cricetulus_griseus_crigri ENSCGRG00000005572
mesocricetus_auratus ENSMAUG00000018759
peromyscus_maniculatus_bairdii ENSPEMG00000021000
microtus_ochrogaster ENSMOCG00000014078
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019516
mus_spicilegus ENSMSIG00000021249
mus_musculus ENSMUSG00000033122
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018636
mus_pahari MGP_PahariEiJ_G0019700
rattus_norvegicus ENSRNOG00000019096
meriones_unguiculatus ENSMUGG00000018422
nannospalax_galili ENSNGAG00000015712
jaculus_jaculus ENSJJAG00000001953
cavia_porcellus ENSCPOG00000000609
cavia_aperea ENSCAPG00000015208
chinchilla_lanigera ENSCLAG00000016961
octodon_degus ENSODEG00000015880
heterocephalus_glaber_male ENSHGLG00100000410
heterocephalus_glaber_female ENSHGLG00000016253
fukomys_damarensis ENSFDAG00000010517
monodelphis_domestica ENSMODG00000002712
monodelphis_domestica ENSMODG00000029000
notamacropus_eugenii ENSMEUG00000015429
phascolarctos_cinereus ENSPCIG00000011963
sarcophilus_harrisii ENSSHAG00000007500
xenopus_tropicalis ENSXETG00000014837
latimeria_chalumnae ENSLACG00000022633
