astatotilapia_calliptera ENSACLG00000023667
haplochromis_burtoni ENSHBUG00000014843
pundamilia_nyererei ENSPNYG00000023168
maylandia_zebra ENSMZEG00005017540
neolamprologus_brichardi ENSNBRG00000001168
oreochromis_niloticus ENSONIG00000012892
amphiprion_ocellaris ENSAOCG00000006505
amphiprion_percula ENSAPEG00000011127
acanthochromis_polyacanthus ENSAPOG00000023234
stegastes_partitus ENSSPAG00000005448
poecilia_mexicana ENSPMEG00000016812
poecilia_formosa ENSPFOG00000013022
poecilia_latipinna ENSPLAG00000006036
poecilia_reticulata ENSPREG00000010390
gambusia_affinis ENSGAFG00000014132
xiphophorus_maculatus ENSXMAG00000011523
fundulus_heteroclitus ENSFHEG00000014344
kryptolebias_marmoratus ENSKMAG00000007054
oryzias_melastigma ENSOMEG00000012664
oryzias_latipes ENSORLG00000024076
seriola_dumerili ENSSDUG00000011328
