tursiops_truncatus ENSTTRG00000012596
ovis_aries ENSOARG00000012209
sus_scrofa ENSSSCG00000017259
vicugna_pacos ENSVPAG00000000135
panthera_pardus ENSPPRG00000006459
panthera_tigris_altaica ENSPTIG00000016199
felis_catus ENSFCAG00000010997
equus_asinus_asinus ENSEASG00005016108
equus_caballus ENSECAG00000000737
oryctolagus_cuniculus ENSOCUG00000017419
ochotona_princeps ENSOPRG00000001991
marmota_marmota_marmota ENSMMMG00000014989
spermophilus_dauricus ENSSDAG00000006531
urocitellus_parryii ENSUPAG00010015910
ictidomys_tridecemlineatus ENSSTOG00000014334
erinaceus_europaeus ENSEEUG00000007216
myotis_lucifugus ENSMLUG00000001538
pteropus_vampyrus ENSPVAG00000014993
ursus_americanus ENSUAMG00000025649
ursus_maritimus ENSUMAG00000001042
ailuropoda_melanoleuca ENSAMEG00000010670
mustela_putorius_furo ENSMPUG00000014551
neovison_vison ENSNVIG00000008576
canis_lupus_dingo ENSCAFG00020024929
canis_lupus_familiaris ENSCAFG00000010999
vulpes_vulpes ENSVVUG00000007548
saimiri_boliviensis_boliviensis ENSSBOG00000035795
cebus_capucinus ENSCCAG00000027723
callithrix_jacchus ENSCJAG00000000214
aotus_nancymaae ENSANAG00000014199
pan_troglodytes ENSPTRG00000009579
pan_paniscus ENSPPAG00000032989
gorilla_gorilla ENSGGOG00000016507
homo_sapiens ENSG00000108946
pongo_abelii ENSPPYG00000008962
nomascus_leucogenys ENSNLEG00000030484
rhinopithecus_bieti ENSRBIG00000000067
rhinopithecus_roxellana ENSRROG00000036621
colobus_angolensis_palliatus ENSCANG00000009019
piliocolobus_tephrosceles ENSPTEG00000004935
mandrillus_leucophaeus ENSMLEG00000000918
cercocebus_atys ENSCATG00000030683
theropithecus_gelada ENSTGEG00000026032
papio_anubis ENSPANG00000020503
macaca_fascicularis ENSMFAG00000031285
macaca_mulatta ENSMMUG00000002194
macaca_nemestrina ENSMNEG00000043975
chlorocebus_sabaeus ENSCSAG00000004240
macaca_nemestrina ENSMNEG00000035460
macaca_mulatta ENSMMUG00000040442
macaca_fascicularis ENSMFAG00000033068
mandrillus_leucophaeus ENSMLEG00000032322
cercocebus_atys ENSCATG00000035493
papio_anubis ENSPANG00000029353
nomascus_leucogenys ENSNLEG00000028497
cebus_capucinus ENSCCAG00000029619
carlito_syrichta ENSTSYG00000012531
microcebus_murinus ENSMICG00000017128
propithecus_coquereli ENSPCOG00000003090
prolemur_simus ENSPSMG00000001386
otolemur_garnettii ENSOGAG00000015619
tupaia_belangeri ENSTBEG00000008048
cricetulus_griseus_chok1gshd ENSCGRG00001013954
cricetulus_griseus_crigri ENSCGRG00000015864
cricetulus_griseus_crigri-picr ENSCGRG00015011854
mesocricetus_auratus ENSMAUG00000004040
microtus_ochrogaster ENSMOCG00000014659
peromyscus_maniculatus_bairdii ENSPEMG00000015071
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018198
mus_spicilegus ENSMSIG00000018398
mus_musculus ENSMUSG00000020612
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017352
mus_pahari MGP_PahariEiJ_G0018482
rattus_norvegicus ENSRNOG00000049876
meriones_unguiculatus ENSMUGG00000024965
nannospalax_galili ENSNGAG00000024019
jaculus_jaculus ENSJJAG00000019242
heterocephalus_glaber_female ENSHGLG00000002266
heterocephalus_glaber_male ENSHGLG00100001331
fukomys_damarensis ENSFDAG00000001160
octodon_degus ENSODEG00000009704
octodon_degus ENSODEG00000008806
chinchilla_lanigera ENSCLAG00000002745
cavia_aperea ENSCAPG00000014367
cavia_porcellus ENSCPOG00000004159
castor_canadensis ENSCCNG00000002193
dipodomys_ordii ENSDORG00000024956
urocitellus_parryii ENSUPAG00010002168
spermophilus_dauricus ENSSDAG00000007174
ictidomys_tridecemlineatus ENSSTOG00000012903
marmota_marmota_marmota ENSMMMG00000012397
choloepus_hoffmanni ENSCHOG00000013670
choloepus_hoffmanni ENSCHOG00000013955
dasypus_novemcinctus ENSDNOG00000017959
loxodonta_africana ENSLAFG00000000375
procavia_capensis ENSPCAG00000016546
bos_mutus ENSBMUG00000025529
bos_taurus ENSBTAG00000008621
bison_bison_bison ENSBBBG00000024098
capra_hircus ENSCHIG00000011507
ovis_aries ENSOARG00000015024
sorex_araneus ENSSARG00000000120
echinops_telfairi ENSETEG00000018207
spermophilus_dauricus ENSSDAG00000006555
