seriola_lalandi_dorsalis ENSSLDG00000015700
seriola_dumerili ENSSDUG00000013020
labrus_bergylta ENSLBEG00000003317
mola_mola ENSMMOG00000016299
takifugu_rubripes ENSTRUG00000019613
cynoglossus_semilaevis ENSCSEG00000019993
monopterus_albus ENSMALG00000020073
mastacembelus_armatus ENSMAMG00000012844
anabas_testudineus ENSATEG00000012906
scophthalmus_maximus ENSSMAG00000016799
xiphophorus_couchianus ENSXCOG00000006289
xiphophorus_maculatus ENSXMAG00000025471
gambusia_affinis ENSGAFG00000006114
poecilia_mexicana ENSPMEG00000003080
poecilia_latipinna ENSPLAG00000005885
poecilia_reticulata ENSPREG00000021663
fundulus_heteroclitus ENSFHEG00000001592
cyprinodon_variegatus ENSCVAG00000021637
kryptolebias_marmoratus ENSKMAG00000012774
oryzias_latipes ENSORLG00020001962
oryzias_latipes_asm223469v1 ENSORLG00015006452
oryzias_latipes ENSORLG00000022452
oryzias_melastigma ENSOMEG00000004120
astatotilapia_calliptera ENSACLG00000011806
maylandia_zebra ENSMZEG00005015769
haplochromis_burtoni ENSHBUG00000000083
pundamilia_nyererei ENSPNYG00000020159
neolamprologus_brichardi ENSNBRG00000017936
amphilophus_citrinellus ENSACIG00000014878
amphiprion_ocellaris ENSAOCG00000012684
amphiprion_percula ENSAPEG00000005451
acanthochromis_polyacanthus ENSAPOG00000016875
stegastes_partitus ENSSPAG00000000303
hippocampus_comes ENSHCOG00000006301
esox_lucius ENSELUG00000008169
astyanax_mexicanus ENSAMXG00000030473
pygocentrus_nattereri ENSPNAG00000001997
ictalurus_punctatus ENSIPUG00000021491
danio_rerio ENSDARG00000099693
paramormyrops_kingsleyae ENSPKIG00000021264
paramormyrops_kingsleyae ENSPKIG00000025608
scleropages_formosus ENSSFOG00015003746
