callorhinchus_milii ENSCMIG00000006782
monopterus_albus ENSMALG00000020053
castor_canadensis ENSCCNG00000005013
eptatretus_burgeri ENSEBUG00000003764
petromyzon_marinus ENSPMAG00000008375
ciona_intestinalis ENSCING00000011799
pygocentrus_nattereri ENSPNAG00000000522
pygocentrus_nattereri ENSPNAG00000006409
astyanax_mexicanus ENSAMXG00000000506
astyanax_mexicanus ENSAMXG00000043596
astyanax_mexicanus ENSAMXG00005024700
ictalurus_punctatus ENSIPUG00000002546
electrophorus_electricus ENSEEEG00000001125
danio_rerio ENSDARG00000063068
clupea_harengus ENSCHAG00000016116
poecilia_mexicana ENSPMEG00000004782
poecilia_latipinna ENSPLAG00000006618
gambusia_affinis ENSGAFG00000018339
cyprinodon_variegatus ENSCVAG00000007146
oryzias_latipes ENSORLG00000022048
oryzias_latipes ENSORLG00000022341
oryzias_latipes ENSORLG00020005404
oryzias_latipes ENSORLG00020005380
oryzias_melastigma ENSOMEG00000005288
cottoperca_gobio ENSCGOG00000020177
cynoglossus_semilaevis ENSCSEG00000006808
cynoglossus_semilaevis ENSCSEG00000006735
periophthalmus_magnuspinnatus ENSPMGG00000002017
periophthalmus_magnuspinnatus ENSPMGG00000002030
mola_mola ENSMMOG00000011139
fundulus_heteroclitus ENSFHEG00000001606
fundulus_heteroclitus ENSFHEG00000001640
fundulus_heteroclitus ENSFHEG00000001583
cyprinodon_variegatus ENSCVAG00000006998
xiphophorus_couchianus ENSXCOG00000003271
xiphophorus_couchianus ENSXCOG00000003304
xiphophorus_couchianus ENSXCOG00000003308
xiphophorus_maculatus ENSXMAG00000021462
gambusia_affinis ENSGAFG00000018313
poecilia_mexicana ENSPMEG00000004890
poecilia_mexicana ENSPMEG00000004927
poecilia_formosa ENSPFOG00000018166
poecilia_formosa ENSPFOG00000022722
poecilia_mexicana ENSPMEG00000018092
poecilia_latipinna ENSPLAG00000019911
poecilia_reticulata ENSPREG00000015478
hippocampus_comes ENSHCOG00000014287
kryptolebias_marmoratus ENSKMAG00000014539
oryzias_melastigma ENSOMEG00000005365
oryzias_melastigma ENSOMEG00000005398
oryzias_latipes ENSORLG00015002833
oryzias_latipes ENSORLG00015002789
oryzias_latipes ENSORLG00020005570
oryzias_latipes ENSORLG00020005543
oryzias_latipes ENSORLG00000000306
mola_mola ENSMMOG00000011146
mola_mola ENSMMOG00000011155
takifugu_rubripes ENSTRUG00000021580
takifugu_rubripes ENSTRUG00000023635
takifugu_rubripes ENSTRUG00000025257
tetraodon_nigroviridis ENSTNIG00000019299
tetraodon_nigroviridis ENSTNIG00000019300
periophthalmus_magnuspinnatus ENSPMGG00000001848
hippocampus_comes ENSHCOG00000011630
amphiprion_percula ENSAPEG00000015411
mastacembelus_armatus ENSMAMG00000000250
mastacembelus_armatus ENSMAMG00000000247
monopterus_albus ENSMALG00000019941
lates_calcarifer ENSLCAG00010019681
parambassis_ranga ENSPRNG00000024937
labrus_bergylta ENSLBEG00000005445
gasterosteus_aculeatus ENSGACG00000011511
stegastes_partitus ENSSPAG00000015631
stegastes_partitus ENSSPAG00000015332
amphiprion_percula ENSAPEG00000015188
amphiprion_ocellaris ENSAOCG00000018425
amphiprion_ocellaris ENSAOCG00000018219
amphiprion_ocellaris ENSAOCG00000018142
acanthochromis_polyacanthus ENSAPOG00000011151
hippocampus_comes ENSHCOG00000011747
hippocampus_comes ENSHCOG00000011776
poecilia_reticulata ENSPREG00000015739
poecilia_reticulata ENSPREG00000015758
xiphophorus_maculatus ENSXMAG00000026171
xiphophorus_maculatus ENSXMAG00000022706
oryzias_latipes ENSORLG00015000063
oryzias_latipes ENSORLG00015000055
oryzias_melastigma ENSOMEG00000005278
amphilophus_citrinellus ENSACIG00000002064
amphilophus_citrinellus ENSACIG00000001765
neolamprologus_brichardi ENSNBRG00000007903
neolamprologus_brichardi ENSNBRG00000008146
maylandia_zebra ENSMZEG00005013279
maylandia_zebra ENSMZEG00005013348
astatotilapia_calliptera ENSACLG00000004503
astatotilapia_calliptera ENSACLG00000004151
pundamilia_nyererei ENSPNYG00000007504
haplochromis_burtoni ENSHBUG00000013735
oreochromis_niloticus ENSONIG00000000692
seriola_dumerili ENSSDUG00000008403
seriola_dumerili ENSSDUG00000008466
seriola_dumerili ENSSDUG00000008552
seriola_lalandi ENSSLDG00000000644
seriola_lalandi ENSSLDG00000001050
scophthalmus_maximus ENSSMAG00000013704
anabas_testudineus ENSATEG00000002257
gadus_morhua ENSGMOG00000019433
hucho_hucho ENSHHUG00000022378
paramormyrops_kingsleyae ENSPKIG00000023758
hucho_hucho ENSHHUG00000035255
hucho_hucho ENSHHUG00000050307
esox_lucius ENSELUG00000020147
scleropages_formosus ENSSFOG00015011197
paramormyrops_kingsleyae ENSPKIG00000018556
paramormyrops_kingsleyae ENSPKIG00000018887
lepisosteus_oculatus ENSLOCG00000016272
erpetoichthys_calabaricus ENSECRG00000002759
eptatretus_burgeri ENSEBUG00000012970
eptatretus_burgeri ENSEBUG00000005297
ciona_intestinalis ENSCING00000010861
sphenodon_punctatus ENSSPUG00000000903
sphenodon_punctatus ENSSPUG00000000768
crocodylus_porosus ENSCPRG00005018130
crocodylus_porosus ENSCPRG00005018146
anas_platyrhynchos ENSAPLG00000017771
anas_platyrhynchos ENSAPLG00000019803
anser_brachyrhynchus ENSABRG00000005369
anas_platyrhynchos ENSAPLG00000006495
numida_meleagris ENSNMEG00000004575
numida_meleagris ENSNMEG00000004428
meleagris_gallopavo ENSMGAG00000012698
meleagris_gallopavo ENSMGAG00000017413
gallus_gallus ENSGALG00000049497
gallus_gallus ENSGALG00000013505
coturnix_japonica ENSCJPG00005007605
coturnix_japonica ENSCJPG00005007549
calidris_pugnax ENSCPUG00000014371
melopsittacus_undulatus ENSMUNG00000005388
lepidothrix_coronata ENSLCOG00000013174
lepidothrix_coronata ENSLCOG00000013177
manacus_vitellinus ENSMVIG00005016498
manacus_vitellinus ENSMVIG00005016512
ficedula_albicollis ENSFALG00000012387
ficedula_albicollis ENSFALG00000012360
lonchura_striata ENSLSDG00000014433
lonchura_striata ENSLSDG00000014387
taeniopygia_guttata ENSTGUG00000011195
serinus_canaria ENSSCAG00000012054
zonotrichia_albicollis ENSZALG00000010740
zonotrichia_albicollis ENSZALG00000010721
junco_hyemalis ENSJHYG00000004678
cyanistes_caeruleus ENSCCEG00000013242
cyanistes_caeruleus ENSCCEG00000013087
cyanistes_caeruleus ENSCCEG00000013149
parus_major ENSPMJG00000008965
parus_major ENSPMJG00000009003
calidris_pygmaea ENSCPGG00000019104
calidris_pygmaea ENSCPGG00000019065
calidris_pygmaea ENSCPGG00000019076
calidris_pugnax ENSCPUG00000014436
melopsittacus_undulatus ENSMUNG00000005381
dromaius_novaehollandiae ENSDNVG00000005927
dromaius_novaehollandiae ENSDNVG00000006206
nothoprocta_perdicaria ENSNPEG00000015589
nothoprocta_perdicaria ENSNPEG00000015588
apteryx_owenii ENSAOWG00000004601
apteryx_owenii ENSAOWG00000004531
apteryx_rowi ENSARWG00000002366
apteryx_rowi ENSARWG00000002460
apteryx_rowi ENSARWG00000008615
apteryx_owenii ENSAOWG00000010458
apteryx_haastii ENSAHAG00000012018
apteryx_haastii ENSAHAG00000011862
pelodiscus_sinensis ENSPSIG00000004530
pelodiscus_sinensis ENSPSIG00000004853
pelodiscus_sinensis ENSPSIG00000004808
chelonoidis_abingdonii ENSCABG00000007218
chelonoidis_abingdonii ENSCABG00000007223
chrysemys_picta ENSCPBG00000016476
chrysemys_picta ENSCPBG00000016384
chelonoidis_abingdonii ENSCABG00000007204
gopherus_agassizii ENSGAGG00000025112
sphenodon_punctatus ENSSPUG00000001024
sphenodon_punctatus ENSSPUG00000001093
notechis_scutatus ENSNSUG00000011587
notechis_scutatus ENSNSUG00000011591
pogona_vitticeps ENSPVIG00000012427
salvator_merianae ENSSMRG00000022621
salvator_merianae ENSSMRG00000022490
pogona_vitticeps ENSPVIG00000012396
anolis_carolinensis ENSACAG00000005645
nothoprocta_perdicaria ENSNPEG00000015582
nothoprocta_perdicaria ENSNPEG00000015583
notechis_scutatus ENSNSUG00000011594
ornithorhynchus_anatinus ENSOANG00000015557
dasypus_novemcinctus ENSDNOG00000048000
myotis_lucifugus ENSMLUG00000014185
oryctolagus_cuniculus ENSOCUG00000023878
ochotona_princeps ENSOPRG00000012680
ictidomys_tridecemlineatus ENSSTOG00000034176
pan_troglodytes ENSPTRG00000018717
pan_paniscus ENSPPAG00000027499
homo_sapiens ENSG00000131018
gorilla_gorilla ENSGGOG00000014892
pongo_abelii ENSPPYG00000017113
nomascus_leucogenys ENSNLEG00000015419
theropithecus_gelada ENSTGEG00000026471
papio_anubis ENSPANG00000024958
macaca_fascicularis ENSMFAG00000037479
macaca_mulatta ENSMMUG00000019048
macaca_nemestrina ENSMNEG00000030564
mandrillus_leucophaeus ENSMLEG00000042879
cercocebus_atys ENSCATG00000040903
chlorocebus_sabaeus ENSCSAG00000014028
piliocolobus_tephrosceles ENSPTEG00000036169
colobus_angolensis ENSCANG00000020122
rhinopithecus_bieti ENSRBIG00000040191
rhinopithecus_bieti ENSRBIG00000006739
rhinopithecus_roxellana ENSRROG00000038744
cebus_capucinus ENSCCAG00000034147
saimiri_boliviensis ENSSBOG00000023809
callithrix_jacchus ENSCJAG00000012842
aotus_nancymaae ENSANAG00000028713
carlito_syrichta ENSTSYG00000010468
propithecus_coquereli ENSPCOG00000022140
prolemur_simus ENSPSMG00000021005
microcebus_murinus ENSMICG00000007620
otolemur_garnettii ENSOGAG00000012587
tupaia_belangeri ENSTBEG00000006296
pteropus_vampyrus ENSPVAG00000001924
myotis_lucifugus ENSMLUG00000023701
sorex_araneus ENSSARG00000003280
erinaceus_europaeus ENSEEUG00000007762
ailuropoda_melanoleuca ENSAMEG00000010887
ursus_maritimus ENSUMAG00000024192
ursus_maritimus ENSUMAG00000001138
