caenorhabditis_elegans_strain_n2 WBGene00017014
drosophila_melanogaster FBgn0033243
gallus_gallus ENSGALG00000027722
meleagris_gallopavo ENSMGAG00000007672
coturnix_japonica ENSCJPG00005013605
numida_meleagris ENSNMEG00000005690
anser_brachyrhynchus ENSABRG00000008319
anas_platyrhynchos_platyrhynchos ENSAPLG00000003527
taeniopygia_guttata ENSTGUG00000009476
lonchura_striata_domestica ENSLSDG00000010014
cyanistes_caeruleus ENSCCEG00000014441
parus_major ENSPMJG00000019597
lepidothrix_coronata ENSLCOG00000000766
manacus_vitellinus ENSMVIG00005003560
zonotrichia_albicollis ENSZALG00000006497
junco_hyemalis ENSJHYG00000012181
serinus_canaria ENSSCAG00000014873
ficedula_albicollis ENSFALG00000007443
calidris_pugnax ENSCPUG00000017116
calidris_pygmaea ENSCPGG00000018377
melopsittacus_undulatus ENSMUNG00000008416
apteryx_haastii ENSAHAG00000006488
apteryx_rowi ENSARWG00000007275
apteryx_owenii ENSAOWG00000018404
dromaius_novaehollandiae ENSDNVG00000006463
nothoprocta_perdicaria ENSNPEG00000008091
gopherus_agassizii ENSGAGG00000023266
chelonoidis_abingdonii ENSCABG00000004942
chrysemys_picta_bellii ENSCPBG00000008185
pelodiscus_sinensis ENSPSIG00000002203
anolis_carolinensis ENSACAG00000006954
notechis_scutatus ENSNSUG00000005105
salvator_merianae ENSSMRG00000016401
sphenodon_punctatus ENSSPUG00000011138
ovis_aries ENSOARG00000020321
capra_hircus ENSCHIG00000026495
bos_taurus ENSBTAG00000032684
bos_mutus ENSBMUG00000021295
bison_bison_bison ENSBBBG00000010788
tursiops_truncatus ENSTTRG00000012700
vicugna_pacos ENSVPAG00000010019
sus_scrofa ENSSSCG00000032918
pteropus_vampyrus ENSPVAG00000000912
equus_asinus_asinus ENSEASG00005006738
equus_caballus ENSECAG00000015913
myotis_lucifugus ENSMLUG00000023709
canis_lupus_dingo ENSCAFG00020003156
canis_lupus_familiaris ENSCAFG00000031671
canis_lupus_familiaris ENSCAFG00000012977
canis_lupus_dingo ENSCAFG00020023786
ursus_americanus ENSUAMG00000028405
ursus_maritimus ENSUMAG00000003236
ailuropoda_melanoleuca ENSAMEG00000003829
mustela_putorius_furo ENSMPUG00000003923
neovison_vison ENSNVIG00000007599
panthera_tigris_altaica ENSPTIG00000009241
panthera_pardus ENSPPRG00000023973
felis_catus ENSFCAG00000029725
loxodonta_africana ENSLAFG00000020611
propithecus_coquereli ENSPCOG00000003635
prolemur_simus ENSPSMG00000007079
microcebus_murinus ENSMICG00000049156
otolemur_garnettii ENSOGAG00000024532
carlito_syrichta ENSTSYG00000033500
cricetulus_griseus_crigri ENSCGRG00000016086
cricetulus_griseus_chok1gshd ENSCGRG00001002556
cricetulus_griseus_crigri-picr ENSCGRG00015022026
mesocricetus_auratus ENSMAUG00000011124
