piliocolobus_tephrosceles ENSPTEG00000004458
rhinopithecus_roxellana ENSRROG00000040715
macaca_mulatta ENSMMUG00000052301
macaca_nemestrina ENSMNEG00000021838
macaca_fascicularis ENSMFAG00000029168
mandrillus_leucophaeus ENSMLEG00000001403
papio_anubis ENSPANG00000031238
cercocebus_atys ENSCATG00000013474
theropithecus_gelada ENSTGEG00000003098
pan_troglodytes ENSPTRG00000052572
pan_paniscus ENSPPAG00000024964
gorilla_gorilla ENSGGOG00000025546
nomascus_leucogenys ENSNLEG00000033643
cebus_capucinus ENSCCAG00000034004
