homo_sapiens ENSG00000120055
pan_troglodytes ENSPTRG00000045273
gorilla_gorilla ENSGGOG00000000806
macaca_fascicularis ENSMFAG00000037112
papio_anubis ENSPANG00000030159
colobus_angolensis_palliatus ENSCANG00000031024
aotus_nancymaae ENSANAG00000032530
callithrix_jacchus ENSCJAG00000048294
prolemur_simus ENSPSMG00000011751
mus_musculus ENSMUSG00000099655
mus_spicilegus ENSMSIG00000011343
meriones_unguiculatus ENSMUGG00000015464
panthera_pardus ENSPPRG00000019037
felis_catus ENSFCAG00000042728
neovison_vison ENSNVIG00000017436
