haplochromis_burtoni ENSHBUG00000003347
pundamilia_nyererei ENSPNYG00000018479
astatotilapia_calliptera ENSACLG00000010575
maylandia_zebra ENSMZEG00005007359
neolamprologus_brichardi ENSNBRG00000012466
neolamprologus_brichardi ENSNBRG00000012427
neolamprologus_brichardi ENSNBRG00000012450
amphilophus_citrinellus ENSACIG00000022091
maylandia_zebra ENSMZEG00005007378
maylandia_zebra ENSMZEG00005028535
astatotilapia_calliptera ENSACLG00000010591
pundamilia_nyererei ENSPNYG00000018523
neolamprologus_brichardi ENSNBRG00000012417
oreochromis_niloticus ENSONIG00000018383
amphilophus_citrinellus ENSACIG00000022080
amphiprion_ocellaris ENSAOCG00000008061
amphiprion_percula ENSAPEG00000017350
acanthochromis_polyacanthus ENSAPOG00000019316
stegastes_partitus ENSSPAG00000008090
labrus_bergylta ENSLBEG00000021293
labrus_bergylta ENSLBEG00000025642
labrus_bergylta ENSLBEG00000014598
labrus_bergylta ENSLBEG00000021960
labrus_bergylta ENSLBEG00000025450
labrus_bergylta ENSLBEG00000015501
labrus_bergylta ENSLBEG00000000889
mola_mola ENSMMOG00000012141
monopterus_albus ENSMALG00000002975
mastacembelus_armatus ENSMAMG00000004837
anabas_testudineus ENSATEG00000019270
anabas_testudineus ENSATEG00000019279
anabas_testudineus ENSATEG00000019297
seriola_lalandi_dorsalis ENSSLDG00000017218
seriola_dumerili ENSSDUG00000018472
seriola_lalandi_dorsalis ENSSLDG00000019133
