cyanistes_caeruleus ENSCCEG00000023109
ficedula_albicollis ENSFALG00000013657
nothoprocta_perdicaria ENSNPEG00000014337
crocodylus_porosus ENSCPRG00005015014
meleagris_gallopavo ENSMGAG00000005341
manacus_vitellinus ENSMVIG00005013578
anser_brachyrhynchus ENSABRG00000014311
melopsittacus_undulatus ENSMUNG00000013993
apteryx_rowi ENSARWG00000017290
apteryx_owenii ENSAOWG00000016163
apteryx_haastii ENSAHAG00000014292
pelodiscus_sinensis ENSPSIG00000007448
gallus_gallus ENSGALG00000005263
coturnix_japonica ENSCJPG00005005532
numida_meleagris ENSNMEG00000011949
anas_platyrhynchos_platyrhynchos ENSAPLG00000003216
calidris_pygmaea ENSCPGG00000001000
calidris_pugnax ENSCPUG00000012149
lepidothrix_coronata ENSLCOG00000012693
zonotrichia_albicollis ENSZALG00000005320
taeniopygia_guttata ENSTGUG00000006856
lonchura_striata_domestica ENSLSDG00000008912
serinus_canaria ENSSCAG00000006170
parus_major ENSPMJG00000017558
junco_hyemalis ENSJHYG00000004275
dromaius_novaehollandiae ENSDNVG00000013326
chelonoidis_abingdonii ENSCABG00000020941
gopherus_agassizii ENSGAGG00000002702
chrysemys_picta_bellii ENSCPBG00000021068
pogona_vitticeps ENSPVIG00000014501
anolis_carolinensis ENSACAG00000006111
notechis_scutatus ENSNSUG00000002934
salvator_merianae ENSSMRG00000016979
sphenodon_punctatus ENSSPUG00000005016
loxodonta_africana ENSLAFG00000010824
echinops_telfairi ENSETEG00000015470
procavia_capensis ENSPCAG00000012287
dasypus_novemcinctus ENSDNOG00000037685
pan_troglodytes ENSPTRG00000007570
pan_paniscus ENSPPAG00000029154
homo_sapiens ENSG00000005513
gorilla_gorilla ENSGGOG00000006906
pongo_abelii ENSPPYG00000006937
nomascus_leucogenys ENSNLEG00000008488
macaca_mulatta ENSMMUG00000029283
macaca_fascicularis ENSMFAG00000038228
macaca_nemestrina ENSMNEG00000040290
papio_anubis ENSPANG00000011265
theropithecus_gelada ENSTGEG00000006095
cercocebus_atys ENSCATG00000038928
mandrillus_leucophaeus ENSMLEG00000038862
chlorocebus_sabaeus ENSCSAG00000011890
rhinopithecus_roxellana ENSRROG00000038995
rhinopithecus_bieti ENSRBIG00000040054
piliocolobus_tephrosceles ENSPTEG00000002091
colobus_angolensis_palliatus ENSCANG00000030668
cebus_capucinus ENSCCAG00000024300
saimiri_boliviensis_boliviensis ENSSBOG00000032429
callithrix_jacchus ENSCJAG00000002684
aotus_nancymaae ENSANAG00000032947
carlito_syrichta ENSTSYG00000006321
propithecus_coquereli ENSPCOG00000022917
prolemur_simus ENSPSMG00000020891
microcebus_murinus ENSMICG00000011516
otolemur_garnettii ENSOGAG00000007992
castor_canadensis ENSCCNG00000015318
jaculus_jaculus ENSJJAG00000020117
chinchilla_lanigera ENSCLAG00000013288
octodon_degus ENSODEG00000015896
cavia_aperea ENSCAPG00000016490
cavia_porcellus ENSCPOG00000002664
heterocephalus_glaber_female ENSHGLG00000002777
heterocephalus_glaber_male ENSHGLG00100012223
fukomys_damarensis ENSFDAG00000019055
urocitellus_parryii ENSUPAG00010014033
ictidomys_tridecemlineatus ENSSTOG00000008722
spermophilus_dauricus ENSSDAG00000018215
marmota_marmota_marmota ENSMMMG00000017696
mus_spicilegus ENSMSIG00000012675
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022151
mus_musculus ENSMUSG00000024176
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021240
mus_pahari MGP_PahariEiJ_G0023558
rattus_norvegicus ENSRNOG00000018841
meriones_unguiculatus ENSMUGG00000015268
cricetulus_griseus_crigri ENSCGRG00000015309
cricetulus_griseus_chok1gshd ENSCGRG00001014870
cricetulus_griseus_crigri-picr ENSCGRG00015017524
mesocricetus_auratus ENSMAUG00000013294
microtus_ochrogaster ENSMOCG00000016165
peromyscus_maniculatus_bairdii ENSPEMG00000028510
nannospalax_galili ENSNGAG00000021786
dipodomys_ordii ENSDORG00000025495
capra_hircus ENSCHIG00000016901
ovis_aries ENSOARG00000014473
bos_taurus ENSBTAG00000020737
