manacus_vitellinus ENSMVIG00005014126
lepidothrix_coronata ENSLCOG00000001926
lonchura_striata_domestica ENSLSDG00000008771
taeniopygia_guttata ENSTGUG00000016051
zonotrichia_albicollis ENSZALG00000015616
junco_hyemalis ENSJHYG00000015670
serinus_canaria ENSSCAG00000017250
cyanistes_caeruleus ENSCCEG00000009013
parus_major ENSPMJG00000007837
ficedula_albicollis ENSFALG00000010607
melopsittacus_undulatus ENSMUNG00000004763
calidris_pygmaea ENSCPGG00000005340
calidris_pugnax ENSCPUG00000005867
anser_brachyrhynchus ENSABRG00000022445
anas_platyrhynchos_platyrhynchos ENSAPLG00000015960
gallus_gallus ENSGALG00000005540
meleagris_gallopavo ENSMGAG00000005642
numida_meleagris ENSNMEG00000009437
coturnix_japonica ENSCJPG00005001002
dromaius_novaehollandiae ENSDNVG00000007768
nothoprocta_perdicaria ENSNPEG00000013544
apteryx_haastii ENSAHAG00000006544
apteryx_owenii ENSAOWG00000011962
apteryx_rowi ENSARWG00000015394
crocodylus_porosus ENSCPRG00005006268
gopherus_agassizii ENSGAGG00000007541
chelonoidis_abingdonii ENSCABG00000016060
chrysemys_picta_bellii ENSCPBG00000016465
pelodiscus_sinensis ENSPSIG00000010200
anolis_carolinensis ENSACAG00000004829
pogona_vitticeps ENSPVIG00000016476
notechis_scutatus ENSNSUG00000013510
salvator_merianae ENSSMRG00000016051
sphenodon_punctatus ENSSPUG00000002665
latimeria_chalumnae ENSLACG00000011541
xenopus_tropicalis ENSXETG00000013702
periophthalmus_magnuspinnatus ENSPMGG00000021066
labrus_bergylta ENSLBEG00000028773
poecilia_reticulata ENSPREG00000001738
poecilia_formosa ENSPFOG00000009015
poecilia_mexicana ENSPMEG00000016678
gambusia_affinis ENSGAFG00000021913
xiphophorus_maculatus ENSXMAG00000015506
kryptolebias_marmoratus ENSKMAG00000007101
amphiprion_percula ENSAPEG00000008244
amphiprion_ocellaris ENSAOCG00000000196
acanthochromis_polyacanthus ENSAPOG00000010111
haplochromis_burtoni ENSHBUG00000002268
astatotilapia_calliptera ENSACLG00000012897
pundamilia_nyererei ENSPNYG00000008666
neolamprologus_brichardi ENSNBRG00000001508
oreochromis_niloticus ENSONIG00000010999
amphilophus_citrinellus ENSACIG00000000256
oryzias_latipes ENSORLG00000022801
oryzias_latipes ENSORLG00000026538
oryzias_latipes_asm223469v1 ENSORLG00015002773
oryzias_latipes ENSORLG00020008959
oryzias_melastigma ENSOMEG00000016636
takifugu_rubripes ENSTRUG00000006568
tetraodon_nigroviridis ENSTNIG00000008859
mola_mola ENSMMOG00000019393
gasterosteus_aculeatus ENSGACG00000003448
hippocampus_comes ENSHCOG00000013301
anabas_testudineus ENSATEG00000008763
mastacembelus_armatus ENSMAMG00000014413
seriola_dumerili ENSSDUG00000003944
scophthalmus_maximus ENSSMAG00000016473
cynoglossus_semilaevis ENSCSEG00000021687
cynoglossus_semilaevis ENSCSEG00000021686
maylandia_zebra ENSMZEG00005012911
maylandia_zebra ENSMZEG00005012897
pundamilia_nyererei ENSPNYG00000008704
neolamprologus_brichardi ENSNBRG00000001493
labrus_bergylta ENSLBEG00000019069
poecilia_latipinna ENSPLAG00000007615
cyprinodon_variegatus ENSCVAG00000017802
fundulus_heteroclitus ENSFHEG00000022058
oryzias_latipes_asm223469v1 ENSORLG00015000077
monopterus_albus ENSMALG00000004788
seriola_lalandi_dorsalis ENSSLDG00000004193
seriola_lalandi_dorsalis ENSSLDG00000004160
monopterus_albus ENSMALG00000004771
labrus_bergylta ENSLBEG00000028772
periophthalmus_magnuspinnatus ENSPMGG00000021062
fundulus_heteroclitus ENSFHEG00000022039
cyprinodon_variegatus ENSCVAG00000017824
xiphophorus_couchianus ENSXCOG00000020671
gambusia_affinis ENSGAFG00000021914
poecilia_mexicana ENSPMEG00000016706
poecilia_latipinna ENSPLAG00000007638
esox_lucius ENSELUG00000015452
