chinchilla_lanigera ENSCLAG00000012493
octodon_degus ENSODEG00000019900
fukomys_damarensis ENSFDAG00000012027
fukomys_damarensis ENSFDAG00000006553
heterocephalus_glaber ENSHGLG00100015157
heterocephalus_glaber ENSHGLG00000007882
cavia_porcellus ENSCPOG00000008817
cavia_aperea ENSCAPG00000012780
bos_indicus ENSBIXG00000018794
bos_indicus ENSBIXG00005010690
bos_taurus ENSBTAG00000004993
bos_mutus ENSBMUG00000003048
sus_scrofa ENSSSCG00000007119
tursiops_truncatus ENSTTRG00000011348
equus_asinus ENSEASG00005002553
equus_caballus ENSECAG00000035032
oryctolagus_cuniculus ENSOCUG00000025924
ochotona_princeps ENSOPRG00000006167
carlito_syrichta ENSTSYG00000007592
dasypus_novemcinctus ENSDNOG00000040022
mus_spicilegus ENSMSIG00000003067
mus_caroli MGP_CAROLIEiJ_G0024408
mus_spretus MGP_SPRETEiJ_G0025326
mus_musculus ENSMUSG00000036992
mus_pahari MGP_PahariEiJ_G0025851
rattus_norvegicus ENSRNOG00000004700
meriones_unguiculatus ENSMUGG00000020466
microtus_ochrogaster ENSMOCG00000018712
peromyscus_maniculatus ENSPEMG00000010397
cricetulus_griseus ENSCGRG00000012771
cricetulus_griseus ENSCGRG00001007062
cricetulus_griseus ENSCGRG00015005546
cricetulus_griseus ENSCGRG00000005554
cricetulus_griseus ENSCGRG00001014411
mesocricetus_auratus ENSMAUG00000004141
nannospalax_galili ENSNGAG00000000803
jaculus_jaculus ENSJJAG00000012022
jaculus_jaculus ENSJJAG00000013926
dipodomys_ordii ENSDORG00000024690
spermophilus_dauricus ENSSDAG00000016536
ictidomys_tridecemlineatus ENSSTOG00000026331
urocitellus_parryii ENSUPAG00010009776
marmota_marmota ENSMMMG00000004405
castor_canadensis ENSCCNG00000008606
prolemur_simus ENSPSMG00000008668
microcebus_murinus ENSMICG00000044853
propithecus_coquereli ENSPCOG00000025624
otolemur_garnettii ENSOGAG00000000717
saimiri_boliviensis ENSSBOG00000036378
callithrix_jacchus ENSCJAG00000044836
cebus_capucinus ENSCCAG00000015478
aotus_nancymaae ENSANAG00000010003
pan_troglodytes ENSPTRG00000013319
pan_paniscus ENSPPAG00000020479
gorilla_gorilla ENSGGOG00000022722
homo_sapiens ENSG00000132661
pongo_abelii ENSPPYG00000010765
gorilla_gorilla ENSGGOG00000012539
macaca_fascicularis ENSMFAG00000019296
macaca_mulatta ENSMMUG00000022386
macaca_nemestrina ENSMNEG00000027745
chlorocebus_sabaeus ENSCSAG00000018678
mandrillus_leucophaeus ENSMLEG00000027268
cercocebus_atys ENSCATG00000019026
theropithecus_gelada ENSTGEG00000019897
papio_anubis ENSPANG00000023254
rhinopithecus_bieti ENSRBIG00000021433
rhinopithecus_roxellana ENSRROG00000026657
colobus_angolensis ENSCANG00000001309
piliocolobus_tephrosceles ENSPTEG00000003213
pteropus_vampyrus ENSPVAG00000014055
myotis_lucifugus ENSMLUG00000006881
canis_lupus ENSCAFG00020027465
vulpes_vulpes ENSVVUG00000012091
mustela_putorius ENSMPUG00000019260
ursus_americanus ENSUAMG00000021860
ursus_maritimus ENSUMAG00000004062
ailuropoda_melanoleuca ENSAMEG00000018729
panthera_tigris ENSPTIG00000003788
panthera_pardus ENSPPRG00000021392
felis_catus ENSFCAG00000006482
erinaceus_europaeus ENSEEUG00000013818
sorex_araneus ENSSARG00000007842
tupaia_belangeri ENSTBEG00000012251
loxodonta_africana ENSLAFG00000029098
procavia_capensis ENSPCAG00000009373
choloepus_hoffmanni ENSCHOG00000007142
dasypus_novemcinctus ENSDNOG00000015112
