pundamilia_nyererei ENSPNYG00000000105
maylandia_zebra ENSMZEG00005006603
neolamprologus_brichardi ENSNBRG00000020365
amphilophus_citrinellus ENSACIG00000021507
amphiprion_percula ENSAPEG00000009454
mola_mola ENSMMOG00000009610
takifugu_rubripes ENSTRUG00000022165
labrus_bergylta ENSLBEG00000016045
gambusia_affinis ENSGAFG00000001651
xiphophorus_couchianus ENSXCOG00000011734
oryzias_latipes ENSORLG00020000545
periophthalmus_magnuspinnatus ENSPMGG00000010361
pygocentrus_nattereri ENSPNAG00000019545
