seriola_dumerili ENSSDUG00000017785
seriola_lalandi_dorsalis ENSSLDG00000009623
poecilia_mexicana ENSPMEG00000003434
poecilia_reticulata ENSPREG00000005748
xiphophorus_maculatus ENSXMAG00000019947
poecilia_latipinna ENSPLAG00000016164
gambusia_affinis ENSGAFG00000003509
cyprinodon_variegatus ENSCVAG00000014135
fundulus_heteroclitus ENSFHEG00000010069
oryzias_latipes ENSORLG00000017187
oryzias_latipes_asm223469v1 ENSORLG00015010683
oryzias_latipes ENSORLG00020018154
oryzias_melastigma ENSOMEG00000012807
amphiprion_percula ENSAPEG00000006038
amphiprion_ocellaris ENSAOCG00000011393
stegastes_partitus ENSSPAG00000009679
acanthochromis_polyacanthus ENSAPOG00000009527
astatotilapia_calliptera ENSACLG00000010981
maylandia_zebra ENSMZEG00005022824
neolamprologus_brichardi ENSNBRG00000003294
amphilophus_citrinellus ENSACIG00000018003
labrus_bergylta ENSLBEG00000002875
periophthalmus_magnuspinnatus ENSPMGG00000008081
anabas_testudineus ENSATEG00000008575
mastacembelus_armatus ENSMAMG00000004416
cynoglossus_semilaevis ENSCSEG00000011798
hippocampus_comes ENSHCOG00000010593
scophthalmus_maximus ENSSMAG00000014856
esox_lucius ENSELUG00000006133
