oryctolagus_cuniculus ENSOCUG00000027232
chinchilla_lanigera ENSCLAG00000003030
vulpes_vulpes ENSVVUG00000009104
canis_lupus_dingo ENSCAFG00020025325
mustela_putorius_furo ENSMPUG00000001231
ursus_americanus ENSUAMG00000027804
panthera_pardus ENSPPRG00000024460
felis_catus ENSFCAG00000028804
castor_canadensis ENSCCNG00000003206
otolemur_garnettii ENSOGAG00000027131
prolemur_simus ENSPSMG00000007665
urocitellus_parryii ENSUPAG00010006095
spermophilus_dauricus ENSSDAG00000017613
ailuropoda_melanoleuca ENSAMEG00000001773
ursus_maritimus ENSUMAG00000016800
mustela_putorius_furo ENSMPUG00000006540
neovison_vison ENSNVIG00000024509
canis_lupus_familiaris ENSCAFG00000006926
canis_lupus_dingo ENSCAFG00020025328
vulpes_vulpes ENSVVUG00000009036
panthera_pardus ENSPPRG00000019469
capra_hircus ENSCHIG00000018640
ovis_aries ENSOARG00000012842
bison_bison_bison ENSBBBG00000012975
bos_taurus ENSBTAG00000025428
bos_mutus ENSBMUG00000023532
sus_scrofa ENSSSCG00000023771
loxodonta_africana ENSLAFG00000030917
dasypus_novemcinctus ENSDNOG00000034737
