peromyscus_maniculatus_bairdii ENSPEMG00000007595
cricetulus_griseus_crigri-picr ENSCGRG00015027129
mus_musculus ENSMUSG00000062040
mus_spicilegus ENSMSIG00000003393
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030587
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029491
mus_pahari MGP_PahariEiJ_G0012725
rattus_norvegicus ENSRNOG00000048116
rattus_norvegicus ENSRNOG00000047627
meriones_unguiculatus ENSMUGG00000012047
choloepus_hoffmanni ENSCHOG00000003082
bos_taurus ENSBTAG00000038627
echinops_telfairi ENSETEG00000012587
