peromyscus_maniculatus ENSPEMG00000013814
microtus_ochrogaster ENSMOCG00000020239
cricetulus_griseus ENSCGRG00001024499
cricetulus_griseus ENSCGRG00000013404
cricetulus_griseus ENSCGRG00015028067
mesocricetus_auratus ENSMAUG00000007418
nannospalax_galili ENSNGAG00000017070
mus_spicilegus ENSMSIG00000020129
mus_spicilegus ENSMSIG00000014664
mus_musculus ENSMUSG00000078713
rattus_norvegicus ENSRNOG00000062108
castor_canadensis ENSCCNG00000024286
meriones_unguiculatus ENSMUGG00000018823
dipodomys_ordii ENSDORG00000028709
jaculus_jaculus ENSJJAG00000011290
heterocephalus_glaber ENSHGLG00100017122
heterocephalus_glaber ENSHGLG00000002216
fukomys_damarensis ENSFDAG00000016360
octodon_degus ENSODEG00000018962
octodon_degus ENSODEG00000019791
cavia_porcellus ENSCPOG00000040729
piliocolobus_tephrosceles ENSPTEG00000006938
theropithecus_gelada ENSTGEG00000019730
mandrillus_leucophaeus ENSMLEG00000027885
pongo_abelii ENSPPYG00000019059
cebus_capucinus ENSCCAG00000017888
piliocolobus_tephrosceles ENSPTEG00000036585
piliocolobus_tephrosceles ENSPTEG00000013353
macaca_fascicularis ENSMFAG00000027916
papio_anubis ENSPANG00000031390
mandrillus_leucophaeus ENSMLEG00000005806
theropithecus_gelada ENSTGEG00000027191
papio_anubis ENSPANG00000031237
cebus_capucinus ENSCCAG00000025504
callithrix_jacchus ENSCJAG00000047913
aotus_nancymaae ENSANAG00000002761
urocitellus_parryii ENSUPAG00010016729
spermophilus_dauricus ENSSDAG00000020789
marmota_marmota ENSMMMG00000005643
ictidomys_tridecemlineatus ENSSTOG00000031862
oryctolagus_cuniculus ENSOCUG00000001996
carlito_syrichta ENSTSYG00000031943
sus_scrofa ENSSSCG00000050320
sus_scrofa ENSSSCG00000043481
myotis_lucifugus ENSMLUG00000012711
equus_caballus ENSECAG00000043111
ursus_maritimus ENSUMAG00000011536
ursus_americanus ENSUAMG00000004959
canis_lupus ENSCAFG00000031129
canis_lupus ENSCAFG00020017874
vulpes_vulpes ENSVVUG00000019916
panthera_tigris ENSPTIG00000008834
panthera_pardus ENSPPRG00000006121
felis_catus ENSFCAG00000038791
ovis_aries ENSOARG00000011430
capra_hircus ENSCHIG00000022492
bos_taurus ENSBTAG00000032777
bos_mutus ENSBMUG00000002125
bison_bison ENSBBBG00000004619
phascolarctos_cinereus ENSPCIG00000035940
vombatus_ursinus ENSVURG00010005062
vombatus_ursinus ENSVURG00010011628
phascolarctos_cinereus ENSPCIG00000019307
monodelphis_domestica ENSMODG00000039025
pogona_vitticeps ENSPVIG00000017710
notechis_scutatus ENSNSUG00000015401
salvator_merianae ENSSMRG00000013380
sphenodon_punctatus ENSSPUG00000009417
sphenodon_punctatus ENSSPUG00000008103
apteryx_owenii ENSAOWG00000005265
apteryx_haastii ENSAHAG00000000386
apteryx_rowi ENSARWG00000006698
dromaius_novaehollandiae ENSDNVG00000017901
parus_major ENSPMJG00000001485
cyanistes_caeruleus ENSCCEG00000002392
lepidothrix_coronata ENSLCOG00000004622
manacus_vitellinus ENSMVIG00005020053
ficedula_albicollis ENSFALG00000012909
lonchura_striata ENSLSDG00000009292
gallus_gallus ENSGALG00000026300
coturnix_japonica ENSCJPG00005006206
numida_meleagris ENSNMEG00000005016
anas_platyrhynchos ENSAPLG00000028667
calidris_pygmaea ENSCPGG00000003916
calidris_pugnax ENSCPUG00000005670
melopsittacus_undulatus ENSMUNG00000003698
crocodylus_porosus ENSCPRG00005012084
gopherus_agassizii ENSGAGG00000017400
chelonoidis_abingdonii ENSCABG00000002934
chrysemys_picta ENSCPBG00000007006
xenopus_tropicalis ENSXETG00000001629
astyanax_mexicanus ENSAMXG00000033871
astyanax_mexicanus ENSAMXG00005006925
pygocentrus_nattereri ENSPNAG00000019715
danio_rerio ENSDARG00000068265
electrophorus_electricus ENSEEEG00000014367
clupea_harengus ENSCHAG00000009006
cyprinodon_variegatus ENSCVAG00000011890
fundulus_heteroclitus ENSFHEG00000022277
xiphophorus_maculatus ENSXMAG00000021590
xiphophorus_couchianus ENSXCOG00000003108
gambusia_affinis ENSGAFG00000009030
poecilia_mexicana ENSPMEG00000008882
poecilia_latipinna ENSPLAG00000018113
poecilia_reticulata ENSPREG00000002340
oryzias_latipes ENSORLG00000024232
oryzias_latipes ENSORLG00020001050
oryzias_latipes ENSORLG00015022055
oryzias_melastigma ENSOMEG00000004236
gouania_willdenowi ENSGWIG00000005830
labrus_bergylta ENSLBEG00000005720
labrus_bergylta ENSLBEG00000004165
betta_splendens ENSBSLG00000020263
maylandia_zebra ENSMZEG00005013452
pundamilia_nyererei ENSPNYG00000000971
astatotilapia_calliptera ENSACLG00000009584
haplochromis_burtoni ENSHBUG00000008587
neolamprologus_brichardi ENSNBRG00000009756
amphilophus_citrinellus ENSACIG00000015525
parambassis_ranga ENSPRNG00000015885
amphiprion_percula ENSAPEG00000015962
amphiprion_ocellaris ENSAOCG00000020563
acanthochromis_polyacanthus ENSAPOG00000017563
stegastes_partitus ENSSPAG00000008442
kryptolebias_marmoratus ENSKMAG00000010055
larimichthys_crocea ENSLCRG00005000954
mastacembelus_armatus ENSMAMG00000006743
monopterus_albus ENSMALG00000011163
anabas_testudineus ENSATEG00000009020
cottoperca_gobio ENSCGOG00000002548
mola_mola ENSMMOG00000003074
seriola_lalandi ENSSLDG00000002634
seriola_dumerili ENSSDUG00000003177
