cricetulus_griseus_chok1gshd ENSCGRG00001014198
cricetulus_griseus_crigri ENSCGRG00000004754
cricetulus_griseus_crigri-picr ENSCGRG00015011426
mesocricetus_auratus ENSMAUG00000022196
peromyscus_maniculatus_bairdii ENSPEMG00000029333
mus_musculus ENSMUSG00000043747
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022065
mus_spicilegus ENSMSIG00000014434
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021155
rattus_norvegicus ENSRNOG00000028231
otolemur_garnettii ENSOGAG00000031889
canis_lupus_familiaris ENSCAFG00000023132
ailuropoda_melanoleuca ENSAMEG00000008414
mustela_putorius_furo ENSMPUG00000015249
homo_sapiens ENSG00000270168
gorilla_gorilla ENSGGOG00000038450
pan_paniscus ENSPPAG00000028568
pan_troglodytes ENSPTRG00000049969
nomascus_leucogenys ENSNLEG00000028943
cercocebus_atys ENSCATG00000035119
mandrillus_leucophaeus ENSMLEG00000029514
papio_anubis ENSPANG00000031857
macaca_nemestrina ENSMNEG00000043262
macaca_fascicularis ENSMFAG00000003184
rhinopithecus_roxellana ENSRROG00000037703
rhinopithecus_bieti ENSRBIG00000031190
colobus_angolensis_palliatus ENSCANG00000042050
callithrix_jacchus ENSCJAG00000046604
saimiri_boliviensis_boliviensis ENSSBOG00000005560
carlito_syrichta ENSTSYG00000035213
mustela_putorius_furo ENSMPUG00000016981
monodelphis_domestica ENSMODG00000028217
ornithorhynchus_anatinus ENSOANG00000021600
