oryzias_latipes ENSORLG00000025358
oryzias_melastigma ENSOMEG00000011439
gambusia_affinis ENSGAFG00000010608
astatotilapia_calliptera ENSACLG00000026175
cynoglossus_semilaevis ENSCSEG00000019497
pygocentrus_nattereri ENSPNAG00000006097
oryzias_latipes_asm223469v1 ENSORLG00015012838
ursus_maritimus ENSUMAG00000006918
mustela_putorius_furo ENSMPUG00000002377
sus_scrofa ENSSSCG00000026097
dasypus_novemcinctus ENSDNOG00000033820
myotis_lucifugus ENSMLUG00000012272
bison_bison_bison ENSBBBG00000003901
ailuropoda_melanoleuca ENSAMEG00000015997
ursus_americanus ENSUAMG00000008804
neovison_vison ENSNVIG00000016242
panthera_tigris_altaica ENSPTIG00000018429
panthera_pardus ENSPPRG00000023853
felis_catus ENSFCAG00000028212
loxodonta_africana ENSLAFG00000022746
choloepus_hoffmanni ENSCHOG00000000020
pan_paniscus ENSPPAG00000027592
pan_troglodytes ENSPTRG00000015663
homo_sapiens ENSG00000078081
gorilla_gorilla ENSGGOG00000005729
pongo_abelii ENSPPYG00000014332
nomascus_leucogenys ENSNLEG00000006034
theropithecus_gelada ENSTGEG00000024628
papio_anubis ENSPANG00000008975
mandrillus_leucophaeus ENSMLEG00000016550
macaca_mulatta ENSMMUG00000010555
macaca_fascicularis ENSMFAG00000042658
macaca_nemestrina ENSMNEG00000039831
cercocebus_atys ENSCATG00000044257
piliocolobus_tephrosceles ENSPTEG00000028143
aotus_nancymaae ENSANAG00000021411
callithrix_jacchus ENSCJAG00000005094
prolemur_simus ENSPSMG00000002367
tupaia_belangeri ENSTBEG00000011548
castor_canadensis ENSCCNG00000018340
dipodomys_ordii ENSDORG00000000477
mesocricetus_auratus ENSMAUG00000012889
spermophilus_dauricus ENSSDAG00000022252
phascolarctos_cinereus ENSPCIG00000013028
notamacropus_eugenii ENSMEUG00000009845
chrysemys_picta_bellii ENSCPBG00000000571
chelonoidis_abingdonii ENSCABG00000013119
pelodiscus_sinensis ENSPSIG00000017491
salvator_merianae ENSSMRG00000023595
crocodylus_porosus ENSCPRG00005010688
