hucho_hucho ENSHHUG00000046421
ictalurus_punctatus ENSIPUG00000009684
amphiprion_percula ENSAPEG00000006374
amphiprion_ocellaris ENSAOCG00000012695
amphiprion_ocellaris ENSAOCG00000009077
gouania_willdenowi ENSGWIG00000010977
gouania_willdenowi ENSGWIG00000023896
gouania_willdenowi ENSGWIG00000026375
gouania_willdenowi ENSGWIG00000011405
fundulus_heteroclitus ENSFHEG00000017391
kryptolebias_marmoratus ENSKMAG00000007727
oryzias_latipes ENSORLG00015010650
oryzias_latipes ENSORLG00015002587
oryzias_latipes ENSORLG00020006378
seriola_lalandi ENSSLDG00000007923
xiphophorus_maculatus ENSXMAG00000024066
xiphophorus_couchianus ENSXCOG00000009004
xiphophorus_maculatus ENSXMAG00000009923
poecilia_formosa ENSPFOG00000011907
maylandia_zebra ENSMZEG00005017642
maylandia_zebra ENSMZEG00005023715
astatotilapia_calliptera ENSACLG00000015699
haplochromis_burtoni ENSHBUG00000009354
pundamilia_nyererei ENSPNYG00000014588
periophthalmus_magnuspinnatus ENSPMGG00000009836
periophthalmus_magnuspinnatus ENSPMGG00000023881
fundulus_heteroclitus ENSFHEG00000007181
denticeps_clupeoides ENSDCDG00000029441
paramormyrops_kingsleyae ENSPKIG00000024160
oryzias_latipes ENSORLG00000029902
oryzias_latipes ENSORLG00015017455
oryzias_latipes ENSORLG00020017009
lates_calcarifer ENSLCAG00010003591
acanthochromis_polyacanthus ENSAPOG00000011560
mastacembelus_armatus ENSMAMG00000020083
stegastes_partitus ENSSPAG00000003790
stegastes_partitus ENSSPAG00000008251
mastacembelus_armatus ENSMAMG00000003931
esox_lucius ENSELUG00000010273
lepisosteus_oculatus ENSLOCG00000017982
lepisosteus_oculatus ENSLOCG00000008305
lepisosteus_oculatus ENSLOCG00000010626
lepisosteus_oculatus ENSLOCG00000010425
lepisosteus_oculatus ENSLOCG00000016805
lepisosteus_oculatus ENSLOCG00000009426
lepisosteus_oculatus ENSLOCG00000010939
lepisosteus_oculatus ENSLOCG00000012424
lates_calcarifer ENSLCAG00010002418
fundulus_heteroclitus ENSFHEG00000002513
fundulus_heteroclitus ENSFHEG00000002713
poecilia_mexicana ENSPMEG00000001029
maylandia_zebra ENSMZEG00005015988
electrophorus_electricus ENSEEEG00000012953
esox_lucius ENSELUG00000001714
denticeps_clupeoides ENSDCDG00000015431
pundamilia_nyererei ENSPNYG00000018567
paramormyrops_kingsleyae ENSPKIG00000009392
ciona_intestinalis ENSCING00000016651
