salvator_merianae ENSSMRG00000020381
notechis_scutatus ENSNSUG00000001338
anolis_carolinensis ENSACAG00000014877
sphenodon_punctatus ENSSPUG00000008131
chelonoidis_abingdonii ENSCABG00000017426
gopherus_agassizii ENSGAGG00000006810
chrysemys_picta_bellii ENSCPBG00000022586
pelodiscus_sinensis ENSPSIG00000003077
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023446
mus_spicilegus ENSMSIG00000004421
mus_musculus ENSMUSG00000056481
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022532
mus_pahari MGP_PahariEiJ_G0014029
rattus_norvegicus ENSRNOG00000050278
rattus_norvegicus ENSRNOG00000052685
rattus_norvegicus ENSRNOG00000020197
meriones_unguiculatus ENSMUGG00000004936
microtus_ochrogaster ENSMOCG00000009999
peromyscus_maniculatus_bairdii ENSPEMG00000007105
cricetulus_griseus_crigri-picr ENSCGRG00015016896
cricetulus_griseus_chok1gshd ENSCGRG00001005986
mesocricetus_auratus ENSMAUG00000002285
nannospalax_galili ENSNGAG00000005426
jaculus_jaculus ENSJJAG00000012280
castor_canadensis ENSCCNG00000024478
urocitellus_parryii ENSUPAG00010008816
marmota_marmota_marmota ENSMMMG00000021574
spermophilus_dauricus ENSSDAG00000011747
heterocephalus_glaber_male ENSHGLG00100010108
heterocephalus_glaber_female ENSHGLG00000012270
fukomys_damarensis ENSFDAG00000014213
chinchilla_lanigera ENSCLAG00000016488
octodon_degus ENSODEG00000017863
cavia_porcellus ENSCPOG00000023828
cavia_aperea ENSCAPG00000015918
tupaia_belangeri ENSTBEG00000004859
pan_troglodytes ENSPTRG00000028521
pan_paniscus ENSPPAG00000041860
homo_sapiens ENSG00000174807
gorilla_gorilla ENSGGOG00000000467
piliocolobus_tephrosceles ENSPTEG00000029888
colobus_angolensis_palliatus ENSCANG00000008855
rhinopithecus_roxellana ENSRROG00000026482
rhinopithecus_bieti ENSRBIG00000025883
macaca_mulatta ENSMMUG00000015986
macaca_fascicularis ENSMFAG00000029297
macaca_nemestrina ENSMNEG00000023668
cercocebus_atys ENSCATG00000002489
mandrillus_leucophaeus ENSMLEG00000005642
papio_anubis ENSPANG00000004783
theropithecus_gelada ENSTGEG00000006812
chlorocebus_sabaeus ENSCSAG00000019169
cebus_capucinus ENSCCAG00000033138
saimiri_boliviensis_boliviensis ENSSBOG00000021872
aotus_nancymaae ENSANAG00000034174
carlito_syrichta ENSTSYG00000030824
prolemur_simus ENSPSMG00000025911
microcebus_murinus ENSMICG00000032904
otolemur_garnettii ENSOGAG00000026351
equus_caballus ENSECAG00000030452
myotis_lucifugus ENSMLUG00000014579
ursus_maritimus ENSUMAG00000011193
ursus_americanus ENSUAMG00000026946
ailuropoda_melanoleuca ENSAMEG00000017113
neovison_vison ENSNVIG00000014592
canis_lupus_dingo ENSCAFG00020015417
canis_lupus_familiaris ENSCAFG00000028875
vulpes_vulpes ENSVVUG00000027018
panthera_pardus ENSPPRG00000008403
bos_taurus ENSBTAG00000044073
bos_mutus ENSBMUG00000020492
bison_bison_bison ENSBBBG00000007862
capra_hircus ENSCHIG00000006635
ovis_aries ENSOARG00000004015
tursiops_truncatus ENSTTRG00000014420
sus_scrofa ENSSSCG00000029949
vicugna_pacos ENSVPAG00000012511
loxodonta_africana ENSLAFG00000029985
procavia_capensis ENSPCAG00000015726
echinops_telfairi ENSETEG00000018131
oryctolagus_cuniculus ENSOCUG00000004282
ochotona_princeps ENSOPRG00000007668
dasypus_novemcinctus ENSDNOG00000032537
erinaceus_europaeus ENSEEUG00000006640
notamacropus_eugenii ENSMEUG00000004994
phascolarctos_cinereus ENSPCIG00000003730
monodelphis_domestica ENSMODG00000029765
xenopus_tropicalis ENSXETG00000020537
amphilophus_citrinellus ENSACIG00000012719
