chlorocebus_sabaeus ENSCSAG00000016325
ovis_aries ENSOARG00000019472
sarcophilus_harrisii ENSSHAG00000004126
ornithorhynchus_anatinus ENSOANG00000010731
chrysemys_picta_bellii ENSCPBG00000022429
chrysemys_picta_bellii ENSCPBG00000022427
chelonoidis_abingdonii ENSCABG00000011027
chelonoidis_abingdonii ENSCABG00000011001
chelonoidis_abingdonii ENSCABG00000010989
gopherus_agassizii ENSGAGG00000011776
chrysemys_picta_bellii ENSCPBG00000004833
xenopus_tropicalis ENSXETG00000034105
xenopus_tropicalis ENSXETG00000032276
latimeria_chalumnae ENSLACG00000013937
latimeria_chalumnae ENSLACG00000014163
latimeria_chalumnae ENSLACG00000014067
latimeria_chalumnae ENSLACG00000013831
lepisosteus_oculatus ENSLOCG00000017677
lepisosteus_oculatus ENSLOCG00000006172
lepisosteus_oculatus ENSLOCG00000006155
lepisosteus_oculatus ENSLOCG00000006188
lepisosteus_oculatus ENSLOCG00000006203
lepisosteus_oculatus ENSLOCG00000017676
lepisosteus_oculatus ENSLOCG00000006136
lepisosteus_oculatus ENSLOCG00000017310
lepisosteus_oculatus ENSLOCG00000006220
lepisosteus_oculatus ENSLOCG00000005934
esox_lucius ENSELUG00000010916
esox_lucius ENSELUG00000010897
esox_lucius ENSELUG00000001599
esox_lucius ENSELUG00000010034
esox_lucius ENSELUG00000010040
esox_lucius ENSELUG00000009652
stegastes_partitus ENSSPAG00000022013
amphiprion_ocellaris ENSAOCG00000024343
astatotilapia_calliptera ENSACLG00000020345
mastacembelus_armatus ENSMAMG00000007073
mastacembelus_armatus ENSMAMG00000007210
mastacembelus_armatus ENSMAMG00000006931
seriola_lalandi_dorsalis ENSSLDG00000002797
seriola_lalandi_dorsalis ENSSLDG00000022719
seriola_lalandi_dorsalis ENSSLDG00000003426
labrus_bergylta ENSLBEG00000013725
labrus_bergylta ENSLBEG00000026910
pygocentrus_nattereri ENSPNAG00000005396
pygocentrus_nattereri ENSPNAG00000005026
pygocentrus_nattereri ENSPNAG00000027629
pygocentrus_nattereri ENSPNAG00000021216
pygocentrus_nattereri ENSPNAG00000023743
pygocentrus_nattereri ENSPNAG00000014039
pygocentrus_nattereri ENSPNAG00000024737
astyanax_mexicanus ENSAMXG00000033431
astyanax_mexicanus ENSAMXG00000038441
astyanax_mexicanus ENSAMXG00000032635
astyanax_mexicanus ENSAMXG00000042043
astyanax_mexicanus ENSAMXG00000004305
ictalurus_punctatus ENSIPUG00000007375
ictalurus_punctatus ENSIPUG00000013132
ictalurus_punctatus ENSIPUG00000017209
danio_rerio ENSDARG00000104046
danio_rerio ENSDARG00000103876
danio_rerio ENSDARG00000100637
danio_rerio ENSDARG00000103104
danio_rerio ENSDARG00000103300
danio_rerio ENSDARG00000099434
danio_rerio ENSDARG00000100237
paramormyrops_kingsleyae ENSPKIG00000016885
paramormyrops_kingsleyae ENSPKIG00000012971
paramormyrops_kingsleyae ENSPKIG00000013012
paramormyrops_kingsleyae ENSPKIG00000019057
paramormyrops_kingsleyae ENSPKIG00000019167
paramormyrops_kingsleyae ENSPKIG00000019265
paramormyrops_kingsleyae ENSPKIG00000019421
paramormyrops_kingsleyae ENSPKIG00000007803
paramormyrops_kingsleyae ENSPKIG00000019275
scleropages_formosus ENSSFOG00015007169
lepisosteus_oculatus ENSLOCG00000006010
paramormyrops_kingsleyae ENSPKIG00000019250
