xiphophorus_couchianus ENSXCOG00000018925
gambusia_affinis ENSGAFG00000021294
mola_mola ENSMMOG00000020023
oryzias_latipes ENSORLG00020013630
cynoglossus_semilaevis ENSCSEG00000011155
pygocentrus_nattereri ENSPNAG00000008864
astyanax_mexicanus ENSAMXG00000031456
monopterus_albus ENSMALG00000006936
anabas_testudineus ENSATEG00000008368
scophthalmus_maximus ENSSMAG00000014834
tetraodon_nigroviridis ENSTNIG00000000804
amphiprion_ocellaris ENSAOCG00000023370
stegastes_partitus ENSSPAG00000021351
oryzias_latipes ENSORLG00000029039
oryzias_latipes ENSORLG00020011738
lepisosteus_oculatus ENSLOCG00000007114
esox_lucius ENSELUG00000021381
numida_meleagris ENSNMEG00000018061
serinus_canaria ENSSCAG00000004851
