heterocephalus_glaber_male ENSHGLG00100006858
heterocephalus_glaber_female ENSHGLG00000013098
fukomys_damarensis ENSFDAG00000018237
chinchilla_lanigera ENSCLAG00000014925
octodon_degus ENSODEG00000017360
cavia_porcellus ENSCPOG00000004066
cavia_aperea ENSCAPG00000016014
spermophilus_dauricus ENSSDAG00000012279
urocitellus_parryii ENSUPAG00010018409
ictidomys_tridecemlineatus ENSSTOG00000006365
marmota_marmota_marmota ENSMMMG00000018844
castor_canadensis ENSCCNG00000007922
dipodomys_ordii ENSDORG00000005538
peromyscus_maniculatus_bairdii ENSPEMG00000016932
microtus_ochrogaster ENSMOCG00000019797
cricetulus_griseus_chok1gshd ENSCGRG00001013044
cricetulus_griseus_crigri ENSCGRG00000008325
cricetulus_griseus_crigri-picr ENSCGRG00015006767
mesocricetus_auratus ENSMAUG00000018651
mus_spicilegus ENSMSIG00000019940
mus_musculus ENSMUSG00000000317
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017458
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016622
mus_pahari MGP_PahariEiJ_G0017753
rattus_norvegicus ENSRNOG00000059956
meriones_unguiculatus ENSMUGG00000022931
nannospalax_galili ENSNGAG00000017106
jaculus_jaculus ENSJJAG00000023524
pan_troglodytes ENSPTRG00000008656
pan_paniscus ENSPPAG00000033435
homo_sapiens ENSG00000161940
gorilla_gorilla ENSGGOG00000009787
pongo_abelii ENSPPYG00000007891
nomascus_leucogenys ENSNLEG00000009340
rhinopithecus_roxellana ENSRROG00000044570
rhinopithecus_bieti ENSRBIG00000041742
piliocolobus_tephrosceles ENSPTEG00000017492
colobus_angolensis_palliatus ENSCANG00000036710
mandrillus_leucophaeus ENSMLEG00000037861
cercocebus_atys ENSCATG00000006169
papio_anubis ENSPANG00000024201
chlorocebus_sabaeus ENSCSAG00000012171
theropithecus_gelada ENSTGEG00000022201
macaca_mulatta ENSMMUG00000016268
macaca_nemestrina ENSMNEG00000041667
macaca_fascicularis ENSMFAG00000042774
cebus_capucinus ENSCCAG00000023607
saimiri_boliviensis_boliviensis ENSSBOG00000025653
callithrix_jacchus ENSCJAG00000016905
aotus_nancymaae ENSANAG00000038241
carlito_syrichta ENSTSYG00000010666
propithecus_coquereli ENSPCOG00000026491
prolemur_simus ENSPSMG00000020700
microcebus_murinus ENSMICG00000041989
otolemur_garnettii ENSOGAG00000027908
tupaia_belangeri ENSTBEG00000005792
sus_scrofa ENSSSCG00000017927
vicugna_pacos ENSVPAG00000003583
ovis_aries ENSOARG00000009610
capra_hircus ENSCHIG00000013253
bos_mutus ENSBMUG00000004615
bos_taurus ENSBTAG00000020854
bison_bison_bison ENSBBBG00000014349
tursiops_truncatus ENSTTRG00000003982
equus_asinus_asinus ENSEASG00005017913
equus_caballus ENSECAG00000023771
sorex_araneus ENSSARG00000014055
erinaceus_europaeus ENSEEUG00000006349
myotis_lucifugus ENSMLUG00000003564
myotis_lucifugus ENSMLUG00000001364
pteropus_vampyrus ENSPVAG00000015197
ursus_americanus ENSUAMG00000021378
ursus_maritimus ENSUMAG00000014629
ailuropoda_melanoleuca ENSAMEG00000016319
neovison_vison ENSNVIG00000020335
mustela_putorius_furo ENSMPUG00000010670
canis_lupus_familiaris ENSCAFG00000015968
canis_lupus_dingo ENSCAFG00020010599
vulpes_vulpes ENSVVUG00000027606
panthera_pardus ENSPPRG00000001009
panthera_tigris_altaica ENSPTIG00000005476
felis_catus ENSFCAG00000001356
ochotona_princeps ENSOPRG00000006070
oryctolagus_cuniculus ENSOCUG00000002274
choloepus_hoffmanni ENSCHOG00000002000
dasypus_novemcinctus ENSDNOG00000035586
loxodonta_africana ENSLAFG00000006642
procavia_capensis ENSPCAG00000013548
echinops_telfairi ENSETEG00000012364
phascolarctos_cinereus ENSPCIG00000009639
notamacropus_eugenii ENSMEUG00000000375
sarcophilus_harrisii ENSSHAG00000000166
monodelphis_domestica ENSMODG00000006161
ornithorhynchus_anatinus ENSOANG00000006441
pelodiscus_sinensis ENSPSIG00000013071
takifugu_rubripes ENSTRUG00000013220
tetraodon_nigroviridis ENSTNIG00000002560
mola_mola ENSMMOG00000012539
labrus_bergylta ENSLBEG00000028080
anabas_testudineus ENSATEG00000020121
monopterus_albus ENSMALG00000009070
gasterosteus_aculeatus ENSGACG00000019349
fundulus_heteroclitus ENSFHEG00000001661
cyprinodon_variegatus ENSCVAG00000005449
xiphophorus_couchianus ENSXCOG00000001753
xiphophorus_maculatus ENSXMAG00000015613
