lepidothrix_coronata ENSLCOG00000000267
manacus_vitellinus ENSMVIG00005001579
calidris_pygmaea ENSCPGG00000013264
anser_brachyrhynchus ENSABRG00000015213
nothoprocta_perdicaria ENSNPEG00000004277
pogona_vitticeps ENSPVIG00000009900
castor_canadensis ENSCCNG00000017760
castor_canadensis ENSCCNG00000026474
colobus_angolensis_palliatus ENSCANG00000031849
piliocolobus_tephrosceles ENSPTEG00000005378
cercocebus_atys ENSCATG00000037972
pan_troglodytes ENSPTRG00000047345
pan_troglodytes ENSPTRG00000046843
pan_paniscus ENSPPAG00000027509
nomascus_leucogenys ENSNLEG00000029919
