stegastes_partitus ENSSPAG00000005300
amphiprion_ocellaris ENSAOCG00000003440
astatotilapia_calliptera ENSACLG00000006455
pundamilia_nyererei ENSPNYG00000021185
neolamprologus_brichardi ENSNBRG00000000926
oreochromis_niloticus ENSONIG00000020533
amphilophus_citrinellus ENSACIG00000006908
poecilia_latipinna ENSPLAG00000023597
poecilia_mexicana ENSPMEG00000018208
poecilia_reticulata ENSPREG00000005253
xiphophorus_maculatus ENSXMAG00000019445
xiphophorus_couchianus ENSXCOG00000016635
fundulus_heteroclitus ENSFHEG00000017708
kryptolebias_marmoratus ENSKMAG00000013140
mastacembelus_armatus ENSMAMG00000011296
monopterus_albus ENSMALG00000008436
anabas_testudineus ENSATEG00000003291
seriola_dumerili ENSSDUG00000018048
cynoglossus_semilaevis ENSCSEG00000015552
periophthalmus_magnuspinnatus ENSPMGG00000013642
hippocampus_comes ENSHCOG00000010766
mola_mola ENSMMOG00000005601
takifugu_rubripes ENSTRUG00000019622
esox_lucius ENSELUG00000017483
danio_rerio ENSDARG00000079697
latimeria_chalumnae ENSLACG00000011964
