monopterus_albus ENSMALG00000014903
mastacembelus_armatus ENSMAMG00000003417
anabas_testudineus ENSATEG00000011553
mola_mola ENSMMOG00000003358
takifugu_rubripes ENSTRUG00000020240
seriola_dumerili ENSSDUG00000013855
seriola_lalandi_dorsalis ENSSLDG00000000155
scophthalmus_maximus ENSSMAG00000018931
fundulus_heteroclitus ENSFHEG00000014041
cyprinodon_variegatus ENSCVAG00000008864
xiphophorus_couchianus ENSXCOG00000002340
xiphophorus_maculatus ENSXMAG00000022529
gambusia_affinis ENSGAFG00000003607
poecilia_mexicana ENSPMEG00000006963
poecilia_latipinna ENSPLAG00000009984
poecilia_reticulata ENSPREG00000018804
kryptolebias_marmoratus ENSKMAG00000012926
oryzias_latipes ENSORLG00020015729
oryzias_latipes_asm223469v1 ENSORLG00015020225
oryzias_latipes ENSORLG00000024984
oryzias_melastigma ENSOMEG00000021959
maylandia_zebra ENSMZEG00005002326
pundamilia_nyererei ENSPNYG00000018009
astatotilapia_calliptera ENSACLG00000013129
haplochromis_burtoni ENSHBUG00000009390
neolamprologus_brichardi ENSNBRG00000005915
amphilophus_citrinellus ENSACIG00000005758
amphiprion_percula ENSAPEG00000012848
amphiprion_ocellaris ENSAOCG00000007489
acanthochromis_polyacanthus ENSAPOG00000020070
stegastes_partitus ENSSPAG00000018695
hippocampus_comes ENSHCOG00000010824
oryzias_latipes ENSORLG00020020887
oryzias_latipes ENSORLG00000026282
oryzias_latipes_asm223469v1 ENSORLG00015003521
oryzias_melastigma ENSOMEG00000006970
xiphophorus_maculatus ENSXMAG00000023262
gambusia_affinis ENSGAFG00000013004
ictalurus_punctatus ENSIPUG00000019799
