numida_meleagris ENSNMEG00000003835
gallus_gallus ENSGALG00000047426
taeniopygia_guttata ENSTGUG00000001358
apteryx_owenii ENSAOWG00000014913
apteryx_rowi ENSARWG00000011262
calidris_pygmaea ENSCPGG00000002285
junco_hyemalis ENSJHYG00000012833
gallus_gallus ENSGALG00000052636
notechis_scutatus ENSNSUG00000002810
mus_spicilegus ENSMSIG00000029337
mus_spicilegus ENSMSIG00000005397
mus_spicilegus ENSMSIG00000030204
cricetulus_griseus_crigri-picr ENSCGRG00015019997
cricetulus_griseus_crigri-picr ENSCGRG00015003409
