poecilia_latipinna ENSPLAG00000014491
poecilia_mexicana ENSPMEG00000000034
poecilia_reticulata ENSPREG00000004602
gambusia_affinis ENSGAFG00000005524
xiphophorus_couchianus ENSXCOG00000005841
fundulus_heteroclitus ENSFHEG00000014577
amphiprion_percula ENSAPEG00000019104
scophthalmus_maximus ENSSMAG00000005598
cynoglossus_semilaevis ENSCSEG00000013049
seriola_lalandi_dorsalis ENSSLDG00000008372
anabas_testudineus ENSATEG00000011538
labrus_bergylta ENSLBEG00000017048
periophthalmus_magnuspinnatus ENSPMGG00000004429
