oryctolagus_cuniculus ENSOCUG00000014035
dipodomys_ordii ENSDORG00000026513
pan_paniscus ENSPPAG00000035293
pan_troglodytes ENSPTRG00000022061
homo_sapiens ENSG00000131171
gorilla_gorilla ENSGGOG00000009664
pongo_abelii ENSPPYG00000020509
nomascus_leucogenys ENSNLEG00000002464
macaca_mulatta ENSMMUG00000001689
macaca_nemestrina ENSMNEG00000032748
macaca_fascicularis ENSMFAG00000031027
papio_anubis ENSPANG00000008366
mandrillus_leucophaeus ENSMLEG00000036272
cercocebus_atys ENSCATG00000031766
theropithecus_gelada ENSTGEG00000026368
piliocolobus_tephrosceles ENSPTEG00000010609
colobus_angolensis_palliatus ENSCANG00000006063
rhinopithecus_roxellana ENSRROG00000039616
rhinopithecus_bieti ENSRBIG00000039061
chlorocebus_sabaeus ENSCSAG00000010614
callithrix_jacchus ENSCJAG00000047148
callithrix_jacchus ENSCJAG00000003568
callithrix_jacchus ENSCJAG00000038832
saimiri_boliviensis_boliviensis ENSSBOG00000023513
cebus_capucinus ENSCCAG00000027941
aotus_nancymaae ENSANAG00000033989
equus_asinus_asinus ENSEASG00005001354
equus_caballus ENSECAG00000005976
sus_scrofa ENSSSCG00000012452
bos_mutus ENSBMUG00000024364
bos_taurus ENSBTAG00000010587
capra_hircus ENSCHIG00000011349
equus_asinus_asinus ENSEASG00005000013
neovison_vison ENSNVIG00000016661
mustela_putorius_furo ENSMPUG00000017584
ursus_maritimus ENSUMAG00000023846
canis_lupus_familiaris ENSCAFG00000017353
canis_lupus_dingo ENSCAFG00020025027
panthera_pardus ENSPPRG00000019552
panthera_tigris_altaica ENSPTIG00000020533
felis_catus ENSFCAG00000030770
sorex_araneus ENSSARG00000004722
carlito_syrichta ENSTSYG00000036160
castor_canadensis ENSCCNG00000029722
equus_asinus_asinus ENSEASG00005010778
equus_caballus ENSECAG00000012612
ursus_americanus ENSUAMG00000015973
myotis_lucifugus ENSMLUG00000010051
otolemur_garnettii ENSOGAG00000017205
mus_spicilegus ENSMSIG00000022294
choloepus_hoffmanni ENSCHOG00000002703
choloepus_hoffmanni ENSCHOG00000004130
tursiops_truncatus ENSTTRG00000013663
vicugna_pacos ENSVPAG00000001218
ovis_aries ENSOARG00000001228
pteropus_vampyrus ENSPVAG00000002334
vulpes_vulpes ENSVVUG00000011096
microcebus_murinus ENSMICG00000016169
microcebus_murinus ENSMICG00000035690
microcebus_murinus ENSMICG00000034713
propithecus_coquereli ENSPCOG00000014464
tupaia_belangeri ENSTBEG00000014228
octodon_degus ENSODEG00000003326
octodon_degus ENSODEG00000019532
octodon_degus ENSODEG00000020490
chinchilla_lanigera ENSCLAG00000006693
heterocephalus_glaber_female ENSHGLG00000007722
heterocephalus_glaber_male ENSHGLG00100016480
heterocephalus_glaber_female ENSHGLG00000013687
heterocephalus_glaber_male ENSHGLG00100007103
fukomys_damarensis ENSFDAG00000008085
cavia_aperea ENSCAPG00000005608
cavia_porcellus ENSCPOG00000021120
cricetulus_griseus_chok1gshd ENSCGRG00001000603
cricetulus_griseus_crigri ENSCGRG00000012170
mesocricetus_auratus ENSMAUG00000000433
microtus_ochrogaster ENSMOCG00000002612
peromyscus_maniculatus_bairdii ENSPEMG00000027781
nannospalax_galili ENSNGAG00000008553
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034510
mus_musculus ENSMUSG00000031246
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033346
mus_pahari MGP_PahariEiJ_G0031882
rattus_norvegicus ENSRNOG00000002280
jaculus_jaculus ENSJJAG00000021895
jaculus_jaculus ENSJJAG00000022764
jaculus_jaculus ENSJJAG00000016539
spermophilus_dauricus ENSSDAG00000003942
urocitellus_parryii ENSUPAG00010010996
ictidomys_tridecemlineatus ENSSTOG00000013216
marmota_marmota_marmota ENSMMMG00000011328
loxodonta_africana ENSLAFG00000011746
echinops_telfairi ENSETEG00000009683
dasypus_novemcinctus ENSDNOG00000044282
cricetulus_griseus_crigri-picr ENSCGRG00015018428
cavia_porcellus ENSCPOG00000012267
urocitellus_parryii ENSUPAG00010001334
marmota_marmota_marmota ENSMMMG00000009397
spermophilus_dauricus ENSSDAG00000008877
ochotona_princeps ENSOPRG00000011167
microcebus_murinus ENSMICG00000037235
prolemur_simus ENSPSMG00000013173
meriones_unguiculatus ENSMUGG00000005685
bison_bison_bison ENSBBBG00000006452
ailuropoda_melanoleuca ENSAMEG00000004707
numida_meleagris ENSNMEG00000020696
dipodomys_ordii ENSDORG00000029190
dipodomys_ordii ENSDORG00000024201
notamacropus_eugenii ENSMEUG00000002300
sarcophilus_harrisii ENSSHAG00000006740
phascolarctos_cinereus ENSPCIG00000021959
monodelphis_domestica ENSMODG00000004322
pogona_vitticeps ENSPVIG00000008562
anolis_carolinensis ENSACAG00000014696
notechis_scutatus ENSNSUG00000020623
salvator_merianae ENSSMRG00000008544
calidris_pygmaea ENSCPGG00000013165
calidris_pugnax ENSCPUG00000017568
melopsittacus_undulatus ENSMUNG00000009133
serinus_canaria ENSSCAG00000002723
taeniopygia_guttata ENSTGUG00000002550
junco_hyemalis ENSJHYG00000008504
parus_major ENSPMJG00000004732
cyanistes_caeruleus ENSCCEG00000004517
zonotrichia_albicollis ENSZALG00000014920
lonchura_striata_domestica ENSLSDG00000014171
ficedula_albicollis ENSFALG00000004068
manacus_vitellinus ENSMVIG00005009491
anas_platyrhynchos_platyrhynchos ENSAPLG00000022802
anser_brachyrhynchus ENSABRG00000007222
meleagris_gallopavo ENSMGAG00000004838
coturnix_japonica ENSCJPG00005016498
gallus_gallus ENSGALG00000007128
apteryx_rowi ENSARWG00000004446
apteryx_haastii ENSAHAG00000006852
apteryx_owenii ENSAOWG00000013052
dromaius_novaehollandiae ENSDNVG00000018228
nothoprocta_perdicaria ENSNPEG00000013951
crocodylus_porosus ENSCPRG00005010868
chelonoidis_abingdonii ENSCABG00000005432
gopherus_agassizii ENSGAGG00000018967
chrysemys_picta_bellii ENSCPBG00000014487
pelodiscus_sinensis ENSPSIG00000008827
sphenodon_punctatus ENSSPUG00000007763
ornithorhynchus_anatinus ENSOANG00000012641
latimeria_chalumnae ENSLACG00000010473
latimeria_chalumnae ENSLACG00000016177
oryzias_latipes ENSORLG00000025296
oryzias_latipes_asm223469v1 ENSORLG00015013000
oryzias_latipes ENSORLG00020018283
cynoglossus_semilaevis ENSCSEG00000018177
takifugu_rubripes ENSTRUG00000010907
labrus_bergylta ENSLBEG00000015567
anabas_testudineus ENSATEG00000019497
amphiprion_percula ENSAPEG00000009698
amphiprion_ocellaris ENSAOCG00000018709
fundulus_heteroclitus ENSFHEG00000015052
cyprinodon_variegatus ENSCVAG00000006628
poecilia_mexicana ENSPMEG00000010110
poecilia_mexicana ENSPMEG00000012059
poecilia_formosa ENSPFOG00000003363
poecilia_formosa ENSPFOG00000003408
poecilia_latipinna ENSPLAG00000013291
poecilia_reticulata ENSPREG00000021923
xiphophorus_couchianus ENSXCOG00000011230
xiphophorus_maculatus ENSXMAG00000011817
gambusia_affinis ENSGAFG00000001920
maylandia_zebra ENSMZEG00005006795
pundamilia_nyererei ENSPNYG00000000118
astatotilapia_calliptera ENSACLG00000023996
haplochromis_burtoni ENSHBUG00000002233
neolamprologus_brichardi ENSNBRG00000020063
oreochromis_niloticus ENSONIG00000017647
scophthalmus_maximus ENSSMAG00000011626
gasterosteus_aculeatus ENSGACG00000018552
mastacembelus_armatus ENSMAMG00000014484
oryzias_melastigma ENSOMEG00000014658
kryptolebias_marmoratus ENSKMAG00000015648
amphilophus_citrinellus ENSACIG00000013553
acanthochromis_polyacanthus ENSAPOG00000008248
monopterus_albus ENSMALG00000010426
seriola_dumerili ENSSDUG00000011728
seriola_lalandi_dorsalis ENSSLDG00000023999
stegastes_partitus ENSSPAG00000009952
mola_mola ENSMMOG00000009565
hippocampus_comes ENSHCOG00000003351
periophthalmus_magnuspinnatus ENSPMGG00000015161
esox_lucius ENSELUG00000005294
kryptolebias_marmoratus ENSKMAG00000000741
cynoglossus_semilaevis ENSCSEG00000002075
stegastes_partitus ENSSPAG00000016427
amphiprion_ocellaris ENSAOCG00000000079
maylandia_zebra ENSMZEG00005012643
astatotilapia_calliptera ENSACLG00000002318
mastacembelus_armatus ENSMAMG00000003326
seriola_lalandi_dorsalis ENSSLDG00000018039
seriola_dumerili ENSSDUG00000011284
gasterosteus_aculeatus ENSGACG00000006900
esox_lucius ENSELUG00000009941
astyanax_mexicanus ENSAMXG00000034050
pygocentrus_nattereri ENSPNAG00000011852
ictalurus_punctatus ENSIPUG00000014499
danio_rerio ENSDARG00000058302
scleropages_formosus ENSSFOG00015011941
paramormyrops_kingsleyae ENSPKIG00000022441
lepisosteus_oculatus ENSLOCG00000015016
