monodelphis_domestica ENSMODG00000016640
phascolarctos_cinereus ENSPCIG00000020038
otolemur_garnettii ENSOGAG00000014127
otolemur_garnettii ENSOGAG00000026055
prolemur_simus ENSPSMG00000019678
pan_troglodytes ENSPTRG00000008635
pan_paniscus ENSPPAG00000007020
gorilla_gorilla ENSGGOG00000010632
homo_sapiens ENSG00000167842
pongo_abelii ENSPPYG00000007873
nomascus_leucogenys ENSNLEG00000018256
piliocolobus_tephrosceles ENSPTEG00000019771
colobus_angolensis_palliatus ENSCANG00000038590
rhinopithecus_roxellana ENSRROG00000022608
rhinopithecus_bieti ENSRBIG00000034181
papio_anubis ENSPANG00000023818
cercocebus_atys ENSCATG00000022669
theropithecus_gelada ENSTGEG00000020871
macaca_fascicularis ENSMFAG00000025370
macaca_nemestrina ENSMNEG00000023615
macaca_mulatta ENSMMUG00000046195
mandrillus_leucophaeus ENSMLEG00000026945
chlorocebus_sabaeus ENSCSAG00000000569
rhinopithecus_roxellana ENSRROG00000027723
rhinopithecus_bieti ENSRBIG00000038801
piliocolobus_tephrosceles ENSPTEG00000006055
colobus_angolensis_palliatus ENSCANG00000014044
macaca_nemestrina ENSMNEG00000037928
macaca_fascicularis ENSMFAG00000045594
cercocebus_atys ENSCATG00000014032
chlorocebus_sabaeus ENSCSAG00000000268
mandrillus_leucophaeus ENSMLEG00000007017
papio_anubis ENSPANG00000014726
theropithecus_gelada ENSTGEG00000004880
cebus_capucinus ENSCCAG00000016337
saimiri_boliviensis_boliviensis ENSSBOG00000019638
callithrix_jacchus ENSCJAG00000022816
aotus_nancymaae ENSANAG00000015438
tupaia_belangeri ENSTBEG00000009376
mus_spicilegus ENSMSIG00000024063
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017495
mus_musculus ENSMUSG00000040599
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016659
mus_pahari MGP_PahariEiJ_G0017790
rattus_norvegicus ENSRNOG00000007725
meriones_unguiculatus ENSMUGG00000006883
cricetulus_griseus_crigri ENSCGRG00000007982
cricetulus_griseus_crigri-picr ENSCGRG00015003241
