panthera_pardus ENSPPRG00000013133
panthera_tigris_altaica ENSPTIG00000003475
felis_catus ENSFCAG00000036860
capra_hircus ENSCHIG00000024932
ovis_aries ENSOARG00000019426
bos_taurus ENSBTAG00000019003
bos_mutus ENSBMUG00000025792
bison_bison_bison ENSBBBG00000001609
sus_scrofa ENSSSCG00000016179
vicugna_pacos ENSVPAG00000000295
ursus_americanus ENSUAMG00000015179
ursus_maritimus ENSUMAG00000020130
ailuropoda_melanoleuca ENSAMEG00000003356
mustela_putorius_furo ENSMPUG00000016502
neovison_vison ENSNVIG00000005093
canis_lupus_dingo ENSCAFG00020027140
canis_lupus_familiaris ENSCAFG00000014492
vulpes_vulpes ENSVVUG00000007592
equus_caballus ENSECAG00000014618
equus_asinus_asinus ENSEASG00005012563
tupaia_belangeri ENSTBEG00000015762
pteropus_vampyrus ENSPVAG00000003078
pteropus_vampyrus ENSPVAG00000017131
myotis_lucifugus ENSMLUG00000000771
microcebus_murinus ENSMICG00000045994
propithecus_coquereli ENSPCOG00000018405
otolemur_garnettii ENSOGAG00000008996
cebus_capucinus ENSCCAG00000030466
callithrix_jacchus ENSCJAG00000012458
saimiri_boliviensis_boliviensis ENSSBOG00000033620
aotus_nancymaae ENSANAG00000029968
pan_paniscus ENSPPAG00000026261
pan_troglodytes ENSPTRG00000012904
homo_sapiens ENSG00000118245
pongo_abelii ENSPPYG00000013158
nomascus_leucogenys ENSNLEG00000007281
chlorocebus_sabaeus ENSCSAG00000009030
theropithecus_gelada ENSTGEG00000009051
piliocolobus_tephrosceles ENSPTEG00000038082
oryctolagus_cuniculus ENSOCUG00000021367
ochotona_princeps ENSOPRG00000002892
dasypus_novemcinctus ENSDNOG00000018270
loxodonta_africana ENSLAFG00000032172
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015056
mus_spicilegus ENSMSIG00000020791
mus_musculus ENSMUSG00000026182
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014250
mus_pahari MGP_PahariEiJ_G0027488
rattus_norvegicus ENSRNOG00000017611
meriones_unguiculatus ENSMUGG00000012641
cricetulus_griseus_chok1gshd ENSCGRG00001024576
cricetulus_griseus_crigri ENSCGRG00000007831
cricetulus_griseus_crigri-picr ENSCGRG00015000366
mesocricetus_auratus ENSMAUG00000021536
peromyscus_maniculatus_bairdii ENSPEMG00000013633
microtus_ochrogaster ENSMOCG00000017865
jaculus_jaculus ENSJJAG00000015724
urocitellus_parryii ENSUPAG00010010377
spermophilus_dauricus ENSSDAG00000021991
ictidomys_tridecemlineatus ENSSTOG00000024911
marmota_marmota_marmota ENSMMMG00000018045
cavia_aperea ENSCAPG00000004983
cavia_porcellus ENSCPOG00000015208
octodon_degus ENSODEG00000011561
chinchilla_lanigera ENSCLAG00000009510
castor_canadensis ENSCCNG00000008971
carlito_syrichta ENSTSYG00000012303
sorex_araneus ENSSARG00000003332
erinaceus_europaeus ENSEEUG00000013576
procavia_capensis ENSPCAG00000011702
phascolarctos_cinereus ENSPCIG00000029428
notamacropus_eugenii ENSMEUG00000016291
