salvator_merianae ENSSMRG00000017064
anolis_carolinensis ENSACAG00000006602
sphenodon_punctatus ENSSPUG00000005880
junco_hyemalis ENSJHYG00000012230
ficedula_albicollis ENSFALG00000001973
melopsittacus_undulatus ENSMUNG00000003576
gallus_gallus ENSGALG00000039048
numida_meleagris ENSNMEG00000003764
anser_brachyrhynchus ENSABRG00000010134
notechis_scutatus ENSNSUG00000001542
lonchura_striata_domestica ENSLSDG00000000688
dromaius_novaehollandiae ENSDNVG00000016517
apteryx_haastii ENSAHAG00000000954
lepidothrix_coronata ENSLCOG00000012064
serinus_canaria ENSSCAG00000005650
coturnix_japonica ENSCJPG00005008056
pteropus_vampyrus ENSPVAG00000010866
myotis_lucifugus ENSMLUG00000010622
capra_hircus ENSCHIG00000020977
ovis_aries ENSOARG00000000147
tursiops_truncatus ENSTTRG00000015685
sus_scrofa ENSSSCG00000016773
equus_asinus_asinus ENSEASG00005009003
equus_caballus ENSECAG00000036335
ursus_americanus ENSUAMG00000026485
ailuropoda_melanoleuca ENSAMEG00000002702
mustela_putorius_furo ENSMPUG00000006666
canis_lupus_dingo ENSCAFG00020006727
panthera_pardus ENSPPRG00000021214
panthera_tigris_altaica ENSPTIG00000008840
felis_catus ENSFCAG00000007550
neovison_vison ENSNVIG00000003824
vulpes_vulpes ENSVVUG00000009685
bison_bison_bison ENSBBBG00000008200
bos_mutus ENSBMUG00000021019
canis_lupus_familiaris ENSCAFG00000004442
procavia_capensis ENSPCAG00000010115
loxodonta_africana ENSLAFG00000029727
cricetulus_griseus_crigri ENSCGRG00000016276
pan_troglodytes ENSPTRG00000019841
pan_paniscus ENSPPAG00000042171
homo_sapiens ENSG00000170265
gorilla_gorilla ENSGGOG00000043454
pongo_abelii ENSPPYG00000018151
nomascus_leucogenys ENSNLEG00000033482
cercocebus_atys ENSCATG00000011929
mandrillus_leucophaeus ENSMLEG00000043161
papio_anubis ENSPANG00000008719
theropithecus_gelada ENSTGEG00000002676
macaca_fascicularis ENSMFAG00000045369
macaca_mulatta ENSMMUG00000000767
macaca_nemestrina ENSMNEG00000042449
chlorocebus_sabaeus ENSCSAG00000007010
piliocolobus_tephrosceles ENSPTEG00000030450
colobus_angolensis_palliatus ENSCANG00000032064
rhinopithecus_bieti ENSRBIG00000037602
rhinopithecus_roxellana ENSRROG00000041857
saimiri_boliviensis_boliviensis ENSSBOG00000030816
cebus_capucinus ENSCCAG00000037828
callithrix_jacchus ENSCJAG00000010222
aotus_nancymaae ENSANAG00000028829
carlito_syrichta ENSTSYG00000029283
microcebus_murinus ENSMICG00000036931
prolemur_simus ENSPSMG00000015129
propithecus_coquereli ENSPCOG00000014038
otolemur_garnettii ENSOGAG00000030129
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029333
mus_spicilegus ENSMSIG00000001138
mus_musculus ENSMUSG00000025821
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028329
mus_pahari MGP_PahariEiJ_G0022086
rattus_norvegicus ENSRNOG00000026981
meriones_unguiculatus ENSMUGG00000021355
cricetulus_griseus_crigri-picr ENSCGRG00015008364
cricetulus_griseus_chok1gshd ENSCGRG00001011617
mesocricetus_auratus ENSMAUG00000018521
peromyscus_maniculatus_bairdii ENSPEMG00000018683
microtus_ochrogaster ENSMOCG00000000049
nannospalax_galili ENSNGAG00000018176
jaculus_jaculus ENSJJAG00000014865
ictidomys_tridecemlineatus ENSSTOG00000021295
urocitellus_parryii ENSUPAG00010020587
marmota_marmota_marmota ENSMMMG00000006992
castor_canadensis ENSCCNG00000013028
chinchilla_lanigera ENSCLAG00000001502
octodon_degus ENSODEG00000012954
cavia_porcellus ENSCPOG00000006586
cavia_aperea ENSCAPG00000012047
heterocephalus_glaber_female ENSHGLG00000018943
heterocephalus_glaber_male ENSHGLG00100010105
fukomys_damarensis ENSFDAG00000003545
dipodomys_ordii ENSDORG00000016708
oryctolagus_cuniculus ENSOCUG00000008423
ochotona_princeps ENSOPRG00000010540
tupaia_belangeri ENSTBEG00000000091
dasypus_novemcinctus ENSDNOG00000008361
ursus_maritimus ENSUMAG00000011335
notamacropus_eugenii ENSMEUG00000002529
sarcophilus_harrisii ENSSHAG00000018278
monodelphis_domestica ENSMODG00000001987
ornithorhynchus_anatinus ENSOANG00000015269
