bison_bison_bison ENSBBBG00000005850
capra_hircus ENSCHIG00000008063
sus_scrofa ENSSSCG00000010498
tursiops_truncatus ENSTTRG00000005306
vicugna_pacos ENSVPAG00000002732
pteropus_vampyrus ENSPVAG00000013003
ursus_americanus ENSUAMG00000002192
ailuropoda_melanoleuca ENSAMEG00000000358
canis_lupus_familiaris ENSCAFG00000030675
erinaceus_europaeus ENSEEUG00000006344
sorex_araneus ENSSARG00000006972
ochotona_princeps ENSOPRG00000007045
spermophilus_dauricus ENSSDAG00000017302
tupaia_belangeri ENSTBEG00000010276
carlito_syrichta ENSTSYG00000008707
propithecus_coquereli ENSPCOG00000000546
rhinopithecus_roxellana ENSRROG00000045775
piliocolobus_tephrosceles ENSPTEG00000033229
macaca_mulatta ENSMMUG00000020485
chlorocebus_sabaeus ENSCSAG00000006140
pongo_abelii ENSPPYG00000002512
cebus_capucinus ENSCCAG00000019439
aotus_nancymaae ENSANAG00000024392
procavia_capensis ENSPCAG00000011885
echinops_telfairi ENSETEG00000003489
choloepus_hoffmanni ENSCHOG00000006899
