paramormyrops_kingsleyae ENSPKIG00000011326
scleropages_formosus ENSSFOG00015014206
pygocentrus_nattereri ENSPNAG00000010286
astyanax_mexicanus ENSAMXG00000009638
ictalurus_punctatus ENSIPUG00000019834
danio_rerio ENSDARG00000088044
takifugu_rubripes ENSTRUG00000008497
tetraodon_nigroviridis ENSTNIG00000002945
mola_mola ENSMMOG00000012059
labrus_bergylta ENSLBEG00000021719
hippocampus_comes ENSHCOG00000010959
mastacembelus_armatus ENSMAMG00000017301
monopterus_albus ENSMALG00000015779
anabas_testudineus ENSATEG00000018062
anabas_testudineus ENSATEG00000018240
seriola_lalandi_dorsalis ENSSLDG00000001982
seriola_dumerili ENSSDUG00000014687
amphiprion_ocellaris ENSAOCG00000023243
amphiprion_percula ENSAPEG00000021576
acanthochromis_polyacanthus ENSAPOG00000003266
stegastes_partitus ENSSPAG00000017574
xiphophorus_maculatus ENSXMAG00000028289
xiphophorus_maculatus ENSXMAG00000026395
gambusia_affinis ENSGAFG00000014570
poecilia_formosa ENSPFOG00000004481
poecilia_latipinna ENSPLAG00000014670
poecilia_mexicana ENSPMEG00000022847
poecilia_reticulata ENSPREG00000016607
fundulus_heteroclitus ENSFHEG00000021884
cyprinodon_variegatus ENSCVAG00000009604
oryzias_latipes ENSORLG00000028056
oryzias_latipes ENSORLG00020010529
oryzias_latipes_asm223469v1 ENSORLG00015016326
oryzias_melastigma ENSOMEG00000005196
gadus_morhua ENSGMOG00000015486
esox_lucius ENSELUG00000010056
lepisosteus_oculatus ENSLOCG00000016339
