danio_rerio ENSDARG00000112739
astyanax_mexicanus ENSAMXG00000032818
hucho_hucho ENSHHUG00000020608
monopterus_albus ENSMALG00000007695
mastacembelus_armatus ENSMAMG00000014897
poecilia_latipinna ENSPLAG00000010564
poecilia_mexicana ENSPMEG00000003485
gambusia_affinis ENSGAFG00000012550
cyprinodon_variegatus ENSCVAG00000012197
oryzias_melastigma ENSOMEG00000021169
haplochromis_burtoni ENSHBUG00000015964
seriola_dumerili ENSSDUG00000015340
cynoglossus_semilaevis ENSCSEG00000021627
scleropages_formosus ENSSFOG00015011763
amphilophus_citrinellus ENSACIG00000011379
xiphophorus_couchianus ENSXCOG00000012881
denticeps_clupeoides ENSDCDG00000032452
astyanax_mexicanus ENSAMXG00005007799
paramormyrops_kingsleyae ENSPKIG00000016944
sphenodon_punctatus ENSSPUG00000012395
callorhinchus_milii ENSCMIG00000004135
