notamacropus_eugenii ENSMEUG00000015135
phascolarctos_cinereus ENSPCIG00000033631
vombatus_ursinus ENSVURG00010016407
sarcophilus_harrisii ENSSHAG00000017619
monodelphis_domestica ENSMODG00000004416
myotis_lucifugus ENSMLUG00000015319
myotis_lucifugus ENSMLUG00000024747
pteropus_vampyrus ENSPVAG00000004710
ursus_americanus ENSUAMG00000018215
ursus_maritimus ENSUMAG00000019382
ailuropoda_melanoleuca ENSAMEG00000013037
mustela_putorius ENSMPUG00000007888
neovison_vison ENSNVIG00000009334
canis_lupus ENSCAFG00020022768
canis_lupus ENSCAFG00000003238
vulpes_vulpes ENSVVUG00000003256
panthera_pardus ENSPPRG00000015782
panthera_tigris ENSPTIG00000011579
felis_catus ENSFCAG00000005517
sorex_araneus ENSSARG00000002979
vicugna_pacos ENSVPAG00000005284
sus_scrofa ENSSSCG00000020987
ovis_aries ENSOARG00000006300
capra_hircus ENSCHIG00000018231
bos_indicus ENSBIXG00005010785
bos_indicus ENSBIXG00000004496
bos_taurus ENSBTAG00000005884
bison_bison ENSBBBG00000001727
bos_mutus ENSBMUG00000023472
tursiops_truncatus ENSTTRG00000003248
equus_caballus ENSECAG00000007852
equus_asinus ENSEASG00005022674
loxodonta_africana ENSLAFG00000018236
procavia_capensis ENSPCAG00000002621
echinops_telfairi ENSETEG00000020373
choloepus_hoffmanni ENSCHOG00000001571
dasypus_novemcinctus ENSDNOG00000013243
pan_troglodytes ENSPTRG00000021276
pan_paniscus ENSPPAG00000035528
gorilla_gorilla ENSGGOG00000006963
homo_sapiens ENSG00000148225
pongo_abelii ENSPPYG00000019518
nomascus_leucogenys ENSNLEG00000016671
rhinopithecus_roxellana ENSRROG00000040464
rhinopithecus_bieti ENSRBIG00000041420
piliocolobus_tephrosceles ENSPTEG00000034206
colobus_angolensis ENSCANG00000032392
theropithecus_gelada ENSTGEG00000028260
papio_anubis ENSPANG00000025777
mandrillus_leucophaeus ENSMLEG00000040510
chlorocebus_sabaeus ENSCSAG00000012450
macaca_nemestrina ENSMNEG00000037519
macaca_fascicularis ENSMFAG00000038602
macaca_mulatta ENSMMUG00000005850
cercocebus_atys ENSCATG00000038746
callithrix_jacchus ENSCJAG00000017785
saimiri_boliviensis ENSSBOG00000020165
cebus_capucinus ENSCCAG00000027854
aotus_nancymaae ENSANAG00000019117
carlito_syrichta ENSTSYG00000010104
prolemur_simus ENSPSMG00000018015
propithecus_coquereli ENSPCOG00000010003
microcebus_murinus ENSMICG00000015057
otolemur_garnettii ENSOGAG00000007810
heterocephalus_glaber ENSHGLG00000017015
heterocephalus_glaber ENSHGLG00100010148
fukomys_damarensis ENSFDAG00000006585
chinchilla_lanigera ENSCLAG00000011928
cavia_aperea ENSCAPG00000000284
cavia_porcellus ENSCPOG00000030270
ictidomys_tridecemlineatus ENSSTOG00000000576
urocitellus_parryii ENSUPAG00010015504
marmota_marmota ENSMMMG00000001374
spermophilus_dauricus ENSSDAG00000009493
castor_canadensis ENSCCNG00000021907
dipodomys_ordii ENSDORG00000000492
mus_spicilegus ENSMSIG00000013102
mus_spretus MGP_SPRETEiJ_G0027044
mus_musculus ENSMUSG00000028391
mus_caroli MGP_CAROLIEiJ_G0026080
mus_pahari MGP_PahariEiJ_G0028415
rattus_norvegicus ENSRNOG00000014869
meriones_unguiculatus ENSMUGG00000012386
cricetulus_griseus ENSCGRG00001003496
cricetulus_griseus ENSCGRG00015014699
cricetulus_griseus ENSCGRG00000010814
mesocricetus_auratus ENSMAUG00000000183
peromyscus_maniculatus ENSPEMG00000023672
microtus_ochrogaster ENSMOCG00000022914
nannospalax_galili ENSNGAG00000018418
jaculus_jaculus ENSJJAG00000010149
octodon_degus ENSODEG00000018028
oryctolagus_cuniculus ENSOCUG00000014251
ochotona_princeps ENSOPRG00000005345
tupaia_belangeri ENSTBEG00000002899
erinaceus_europaeus ENSEEUG00000010130
ornithorhynchus_anatinus ENSOANG00000001397
anser_brachyrhynchus ENSABRG00000019313
anas_platyrhynchos ENSAPLG00000006902
gallus_gallus ENSGALG00000008859
coturnix_japonica ENSCJPG00005016057
meleagris_gallopavo ENSMGAG00000001819
numida_meleagris ENSNMEG00000001266
taeniopygia_guttata ENSTGUG00000016350
taeniopygia_guttata ENSTGUG00000002620
lonchura_striata ENSLSDG00000014945
serinus_canaria ENSSCAG00000010252
ficedula_albicollis ENSFALG00000005419
manacus_vitellinus ENSMVIG00005009126
lepidothrix_coronata ENSLCOG00000014759
zonotrichia_albicollis ENSZALG00000010596
junco_hyemalis ENSJHYG00000016575
melopsittacus_undulatus ENSMUNG00000001902
calidris_pugnax ENSCPUG00000019057
calidris_pygmaea ENSCPGG00000017074
apteryx_owenii ENSAOWG00000009194
apteryx_haastii ENSAHAG00000015500
apteryx_rowi ENSARWG00000018695
dromaius_novaehollandiae ENSDNVG00000019172
nothoprocta_perdicaria ENSNPEG00000012908
crocodylus_porosus ENSCPRG00005011789
gopherus_agassizii ENSGAGG00000007748
chelonoidis_abingdonii ENSCABG00000018533
chrysemys_picta ENSCPBG00000019143
pelodiscus_sinensis ENSPSIG00000010728
sphenodon_punctatus ENSSPUG00000015631
pogona_vitticeps ENSPVIG00000011857
ornithorhynchus_anatinus ENSOANG00000020954
paramormyrops_kingsleyae ENSPKIG00000001204
scleropages_formosus ENSSFOG00015016618
denticeps_clupeoides ENSDCDG00000004876
clupea_harengus ENSCHAG00000027079
astyanax_mexicanus ENSAMXG00000034443
astyanax_mexicanus ENSAMXG00005006100
pygocentrus_nattereri ENSPNAG00000017933
ictalurus_punctatus ENSIPUG00000023236
electrophorus_electricus ENSEEEG00000009565
danio_rerio ENSDARG00000073808
hucho_hucho ENSHHUG00000000453
hucho_hucho ENSHHUG00000013325
esox_lucius ENSELUG00000021614
monopterus_albus ENSMALG00000011471
scophthalmus_maximus ENSSMAG00000018777
takifugu_rubripes ENSTRUG00000004563
tetraodon_nigroviridis ENSTNIG00000015807
mola_mola ENSMMOG00000012936
xiphophorus_couchianus ENSXCOG00000001352
xiphophorus_maculatus ENSXMAG00000017218
gambusia_affinis ENSGAFG00000016604
poecilia_latipinna ENSPLAG00000019498
poecilia_formosa ENSPFOG00000018436
poecilia_reticulata ENSPREG00000020036
cyprinodon_variegatus ENSCVAG00000009467
oryzias_latipes ENSORLG00015006923
oryzias_latipes ENSORLG00000005644
oryzias_latipes ENSORLG00020000551
oryzias_melastigma ENSOMEG00000001382
gouania_willdenowi ENSGWIG00000003387
haplochromis_burtoni ENSHBUG00000008981
maylandia_zebra ENSMZEG00005004475
astatotilapia_calliptera ENSACLG00000019840
pundamilia_nyererei ENSPNYG00000012137
neolamprologus_brichardi ENSNBRG00000010801
oreochromis_niloticus ENSONIG00000014919
amphilophus_citrinellus ENSACIG00000004157
cottoperca_gobio ENSCGOG00000021145
gasterosteus_aculeatus ENSGACG00000007806
larimichthys_crocea ENSLCRG00005008543
mastacembelus_armatus ENSMAMG00000018505
betta_splendens ENSBSLG00000019230
anabas_testudineus ENSATEG00000013876
labrus_bergylta ENSLBEG00000006766
seriola_lalandi ENSSLDG00000019747
seriola_dumerili ENSSDUG00000021779
lates_calcarifer ENSLCAG00010028312
cynoglossus_semilaevis ENSCSEG00000014440
amphiprion_ocellaris ENSAOCG00000020729
amphiprion_percula ENSAPEG00000000956
acanthochromis_polyacanthus ENSAPOG00000022023
stegastes_partitus ENSSPAG00000000323
parambassis_ranga ENSPRNG00000006162
kryptolebias_marmoratus ENSKMAG00000020089
hippocampus_comes ENSHCOG00000017528
periophthalmus_magnuspinnatus ENSPMGG00000009381
poecilia_mexicana ENSPMEG00000022504
fundulus_heteroclitus ENSFHEG00000013068
gadus_morhua ENSGMOG00000005069
lepisosteus_oculatus ENSLOCG00000002358
erpetoichthys_calabaricus ENSECRG00000010044
latimeria_chalumnae ENSLACG00000016575
callorhinchus_milii ENSCMIG00000015196
caenorhabditis_elegans WBGene00020231
