pygocentrus_nattereri ENSPNAG00000007608
astyanax_mexicanus ENSAMXG00000031360
danio_rerio ENSDARG00000101051
mastacembelus_armatus ENSMAMG00000020531
monopterus_albus ENSMALG00000004753
anabas_testudineus ENSATEG00000008504
scophthalmus_maximus ENSSMAG00000012842
cynoglossus_semilaevis ENSCSEG00000020545
seriola_dumerili ENSSDUG00000015853
seriola_lalandi_dorsalis ENSSLDG00000002054
amphiprion_percula ENSAPEG00000003351
amphiprion_ocellaris ENSAOCG00000015869
acanthochromis_polyacanthus ENSAPOG00000004045
stegastes_partitus ENSSPAG00000005283
maylandia_zebra ENSMZEG00005016681
maylandia_zebra ENSMZEG00005016694
astatotilapia_calliptera ENSACLG00000014361
haplochromis_burtoni ENSHBUG00000011508
neolamprologus_brichardi ENSNBRG00000018306
amphilophus_citrinellus ENSACIG00000004873
xiphophorus_maculatus ENSXMAG00000003780
xiphophorus_couchianus ENSXCOG00000004766
gambusia_affinis ENSGAFG00000010072
poecilia_formosa ENSPFOG00000005337
poecilia_mexicana ENSPMEG00000001018
poecilia_latipinna ENSPLAG00000020076
poecilia_reticulata ENSPREG00000020258
fundulus_heteroclitus ENSFHEG00000001209
cyprinodon_variegatus ENSCVAG00000022308
kryptolebias_marmoratus ENSKMAG00000012243
oryzias_latipes ENSORLG00000017347
oryzias_latipes_asm223469v1 ENSORLG00015018744
oryzias_latipes ENSORLG00020001451
oryzias_melastigma ENSOMEG00000020921
mola_mola ENSMMOG00000015817
takifugu_rubripes ENSTRUG00000012315
gasterosteus_aculeatus ENSGACG00000010234
labrus_bergylta ENSLBEG00000011916
periophthalmus_magnuspinnatus ENSPMGG00000017077
gadus_morhua ENSGMOG00000008531
gadus_morhua ENSGMOG00000010815
petromyzon_marinus ENSPMAG00000000363
ciona_savignyi ENSCSAVG00000008975
ciona_intestinalis ENSCING00000018451
drosophila_melanogaster FBgn0030521
