panthera_pardus ENSPPRG00000015965
panthera_tigris_altaica ENSPTIG00000005830
felis_catus ENSFCAG00000037742
ursus_americanus ENSUAMG00000022782
ursus_maritimus ENSUMAG00000021506
neovison_vison ENSNVIG00000019656
equus_asinus_asinus ENSEASG00005020938
equus_caballus ENSECAG00000030689
rhinopithecus_roxellana ENSRROG00000021655
rhinopithecus_bieti ENSRBIG00000041095
colobus_angolensis_palliatus ENSCANG00000030660
macaca_nemestrina ENSMNEG00000029391
macaca_mulatta ENSMMUG00000039487
mandrillus_leucophaeus ENSMLEG00000039568
cercocebus_atys ENSCATG00000041545
pan_paniscus ENSPPAG00000005986
pan_troglodytes ENSPTRG00000046969
gorilla_gorilla ENSGGOG00000043164
nomascus_leucogenys ENSNLEG00000032740
aotus_nancymaae ENSANAG00000025118
saimiri_boliviensis_boliviensis ENSSBOG00000033289
